step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share
370000,251,4.102,0.168,11.48,19044,8257,5,10685,105,567,409912.6,22320.2,0.007,0.036,0.345,0.001,0.610,7151,53.98,8.90,34.71,7.96,2.38,5.58,0.55,2.09,16.33,3.45,2.14,4.76,0.041,0.094,89,0.151,0.908,0.084,0.000,0.008,6036,3862,3,0.550,0.303
380000,222,4.188,0.163,11.91,15279,7159,8,8072,69,277,406926.8,20148.9,0.016,0.026,0.417,0.002,0.538,9306,60.75,5.34,37.70,3.92,1.43,4.30,0.00,0.00,21.62,4.83,1.38,4.11,0.023,0.067,73,0.203,0.919,0.063,0.000,0.018,4400,2866,2,0.874,0.000
390000,213,4.255,0.166,12.25,14519,7486,19,6962,61,359,409999.8,17057.5,0.016,0.017,0.292,0.004,0.671,9949,62.58,4.12,38.11,5.67,3.14,6.47,0.03,0.30,21.30,4.31,3.03,6.29,0.050,0.103,69,0.127,0.850,0.136,0.000,0.014,4054,2567,2,0.859,0.000
400000,221,3.914,0.175,11.67,15666,7156,10,8370,122,222,410054.0,18730.8,0.022,0.016,0.385,0.003,0.575,9693,59.72,4.03,38.32,4.76,2.54,5.72,0.10,0.55,18.76,3.17,2.54,5.72,0.040,0.089,67,0.113,0.855,0.127,0.000,0.018,4952,2988,3,0.805,0.018
410000,306,3.362,0.159,10.76,16679,7901,30,8372,291,248,410123.0,18973.1,0.018,0.016,0.466,0.006,0.496,8959,42.56,21.16,23.09,15.24,3.53,7.46,0.20,0.78,15.74,7.82,3.12,6.53,0.069,0.153,115,0.101,0.784,0.176,0.000,0.039,6096,4666,2,0.775,0.000
420000,225,4.148,0.165,13.21,17033,5829,33,10939,313,443,409720.6,26336.4,0.009,0.021,0.459,0.002,0.509,8196,57.06,14.82,34.92,14.85,3.91,8.53,0.11,0.84,18.12,3.39,3.13,7.06,0.073,0.159,57,0.204,0.791,0.196,0.000,0.013,6076,4821,2,0.862,0.000
430000,215,4.358,0.168,12.42,14457,6086,25,8344,12,402,409950.2,20844.4,0.007,0.015,0.431,0.000,0.546,8928,63.07,3.64,41.53,5.92,2.63,6.30,0.14,0.62,18.77,3.25,2.60,6.19,0.042,0.099,50,0.456,0.935,0.056,0.000,0.009,3801,2402,2,0.907,0.000
440000,224,3.959,0.172,12.88,11363,6290,42,4977,45,159,409513.5,12056.2,0.002,0.013,0.380,0.001,0.605,12000,54.81,17.93,32.04,14.36,5.85,9.22,0.62,2.46,16.29,5.07,5.85,9.22,0.092,0.144,44,0.317,0.705,0.259,0.000,0.036,3011,2394,2,0.732,0.000
450000,224,4.203,0.168,12.30,13889,6140,49,7540,160,264,409428.3,16683.8,0.004,0.013,0.406,0.001,0.576,9563,59.88,10.06,39.38,8.53,1.94,5.85,0.66,1.18,17.89,4.04,1.94,5.85,0.035,0.112,43,0.455,0.911,0.076,0.000,0.013,4133,3251,2,0.915,0.000
460000,230,3.974,0.165,12.06,14866,7022,34,7553,251,166,409456.2,15989.4,0.004,0.012,0.406,0.003,0.576,10291,57.36,12.81,34.93,11.85,4.09,8.04,0.25,0.69,18.09,2.83,4.09,8.04,0.064,0.126,46,0.378,0.800,0.187,0.000,0.013,5004,4102,3,0.704,0.000
