step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,long_share,wide_share,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side
310000,5420,1.600,0.264,9.88,143574,91810,8811,12,42946,171,2147075.0,43.7,0.024,0.373,0.171,0.432,366,4.50,2.74,0.06,0.77,0.07,1.00,0.03,0.34,4.34,2.10,0.00,0.00,0.007,0.056,253,0.262,0.990,0.000,0.000,0.010,812764,796889,9,0.786,0.004,0.016,801467,0.093,1.307,0.031,327.63,277990,543,0.256,0.333,0.000,15094083,1.02,21.67,0.000,0.001,0.000,3,4,6,64,7864,0.120,326.13,0.0091,0.006,134,0.858,0.000,0.797,0.824,1.45,0.012,0.438,0.00,0.001,1.01,1.01,1.02
320000,5401,1.593,0.256,9.99,135820,86547,8693,5,40594,240,2147870.8,42.2,0.019,0.358,0.195,0.429,361,4.36,2.28,0.01,0.27,0.08,0.82,0.01,0.14,4.26,1.95,0.00,0.01,0.008,0.066,241,0.274,0.991,0.000,0.000,0.008,817392,802600,7,0.761,0.002,0.008,676098,0.100,1.282,0.030,327.58,284611,142,0.176,0.400,0.000,13974122,1.00,21.83,0.000,0.000,0.000,3,4,6,64,7851,0.120,326.18,0.0093,0.016,107,0.848,0.000,0.804,0.834,1.45,0.007,0.446,0.00,0.001,1.00,1.00,1.01
330000,5501,1.626,0.246,9.99,130004,82712,8436,8,38748,149,2149700.0,20.0,0.018,0.367,0.194,0.421,364,4.42,2.39,0.01,0.49,0.09,0.78,0.02,0.35,4.30,1.89,0.00,0.01,0.008,0.058,223,0.292,0.991,0.000,0.000,0.009,803855,789490,8,0.748,0.011,0.008,644848,0.109,1.267,0.029,320.89,282919,264,0.134,0.000,0.000,13757862,1.00,21.74,0.000,0.000,0.000,3,4,6,64,8060,0.123,332.87,0.0091,0.017,93,0.846,0.000,0.792,0.839,1.47,0.013,0.452,0.00,0.001,1.01,1.01,1.01
340000,5569,1.590,0.237,10.12,134074,87130,8881,5,37990,125,2151268.5,25.0,0.019,0.353,0.195,0.433,353,4.50,3.05,0.02,0.46,0.06,1.02,0.04,0.46,4.38,2.57,0.00,0.04,0.005,0.050,252,0.290,0.990,0.000,0.000,0.010,806406,787121,8,0.623,0.096,0.010,546366,0.105,1.231,0.028,328.41,281656,186,0.200,0.000,0.000,13650361,1.01,21.77,0.000,0.001,0.000,3,4,6,62,8164,0.125,325.34,0.0088,0.013,108,0.840,0.000,0.802,0.834,1.47,0.014,0.451,0.00,0.001,1.01,1.01,1.02
350000,5563,1.614,0.249,10.23,137790,89452,8380,7,39957,136,2168393.8,33.3,0.013,0.373,0.161,0.453,321,4.59,4.04,0.03,0.42,0.08,0.84,0.02,0.23,4.47,3.82,0.00,0.00,0.009,0.065,245,0.318,0.990,0.000,0.000,0.010,793090,772275,9,0.753,0.054,0.013,452775,0.114,1.266,0.029,327.59,281155,1029,0.245,0.000,0.000,14397567,1.01,21.68,0.003,0.001,0.000,3,4,6,64,8306,0.127,326.16,0.0087,0.008,107,0.843,0.000,0.786,0.827,1.49,0.009,0.480,0.00,0.001,1.01,1.01,1.01
360000,5639,1.594,0.235,10.17,139632,91248,8569,26,39713,359,2163421.0,43.6,0.013,0.369,0.141,0.477,345,4.58,3.19,0.01,0.26,0.07,0.69,0.02,0.24,4.47,3.01,0.00,0.00,0.007,0.056,245,0.319,0.989,0.000,0.000,0.011,790552,768688,13,0.715,0.014,0.015,818840,0.058,1.227,0.028,330.94,279757,452,0.122,0.462,0.000,14591788,1.01,21.71,0.000,0.000,0.000,3,4,6,58,8354,0.127,322.82,0.0086,0.007,138,0.841,0.000,0.783,0.824,1.48,0.007,0.471,0.00,0.001,1.00,1.01,1.01
370000,5559,1.618,0.253,9.92,135460,86895,8744,15,39886,156,2158474.8,25.7,0.017,0.364,0.166,0.454,359,4.49,3.50,0.06,1.07,0.06,0.74,0.03,0.27,4.35,2.79,0.00,0.00,0.007,0.056,247,0.311,0.990,0.000,0.000,0.010,770564,749862,12,0.708,0.021,0.012,558554,0.068,1.284,0.030,323.17,266544,623,0.165,0.200,0.000,14229692,1.02,21.79,0.002,0.000,0.000,3,4,6,64,8212,0.125,330.59,0.0089,0.010,96,0.846,0.000,0.794,0.825,1.48,0.012,0.463,0.00,0.001,1.02,1.01,1.02
380000,5242,1.611,0.263,9.75,134221,87370,8745,5,38418,272,2163313.5,25.0,0.016,0.351,0.171,0.461,366,4.52,2.97,0.03,0.56,0.07,0.60,0.02,0.20,4.40,2.60,0.00,0.00,0.007,0.054,250,0.295,0.990,0.001,0.000,0.009,790879,771257,15,0.642,0.013,0.009,652822,0.095,1.323,0.031,327.54,265940,983,0.092,0.000,0.000,13586242,1.01,21.83,0.000,0.001,0.000,3,4,6,59,7607,0.116,326.21,0.0094,0.012,113,0.849,0.000,0.807,0.831,1.45,0.014,0.436,0.00,0.001,1.01,1.02,1.02
390000,5303,1.588,0.261,9.91,135401,87104,8589,3,39644,176,2154581.0,20.0,0.018,0.376,0.181,0.425,373,4.27,2.29,0.01,0.23,0.07,1.15,0.02,0.25,4.18,1.86,0.00,0.00,0.007,0.065,207,0.291,0.990,0.000,0.000,0.010,788378,770683,10,0.707,0.034,0.007,513403,0.105,1.312,0.031,321.13,261009,370,0.114,0.000,0.000,14829769,1.01,22.01,0.000,0.000,0.000,3,4,6,64,7609,0.116,332.63,0.0097,0.010,114,0.861,0.000,0.804,0.829,1.43,0.004,0.430,0.00,0.001,1.00,1.00,1.01
400000,5548,1.597,0.276,9.82,140662,89602,8830,3,41982,93,2157520.0,12.5,0.022,0.359,0.200,0.419,336,4.41,2.56,0.03,0.53,0.07,0.80,0.02,0.27,4.29,2.15,0.00,0.01,0.006,0.048,264,0.296,0.988,0.000,0.000,0.011,803180,784298,10,0.736,0.054,0.008,496538,0.103,1.347,0.033,323.87,267227,1261,0.134,0.000,0.000,14276354,1.01,21.80,0.000,0.001,0.000,3,4,6,55,8246,0.126,329.88,0.0091,0.005,160,0.851,0.000,0.807,0.825,1.49,0.010,0.476,0.00,0.001,1.01,1.02,1.02
