step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,long,wide
100000,3,3,0,0,0,3,0,1.00,24,0.000,2826,2.06,169.56,0.00,200,8,8,0,1.00,1.00,1.00,1,0,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2824,1.79,164.79,0.00,289,1,8,0,1.00,1.00,1.00,3,1,1
100000,5,5,0,0,0,5,0,1.00,22,0.000,2823,1.34,256.78,0.00,289,8,8,0,1.00,1.00,1.00,1,0,0
100000,6,6,0,0,0,6,0,1.00,22,0.000,2823,2.38,249.78,0.00,271,8,8,0,1.00,1.00,1.00,2,1,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2821,1.19,169.26,0.00,77,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,22,0.000,2821,1.58,147.95,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,5,5,0,0,0,5,0,1.00,22,0.000,2820,2.21,274.36,0.00,200,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2818,1.25,204.86,0.00,77,8,8,0,1.00,1.00,1.00,4,1,1
100000,5,5,0,0,0,5,0,1.00,22,0.000,2818,2.38,281.81,0.00,289,8,8,0,1.00,1.00,1.00,1,0,0
100000,6,6,0,0,0,6,0,1.00,20,0.000,2817,1.68,338.03,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,22,0.000,2817,2.05,155.26,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,22,0.000,2812,2.09,187.42,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2810,1.72,224.80,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2809,2.02,146.05,0.00,88,8,8,0,1.00,1.00,1.00,2,0,1
100000,7,7,0,0,0,7,0,1.00,18,0.000,2804,2.11,231.73,0.00,319,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2803,1.85,176.79,0.00,289,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2801,1.68,224.08,0.00,289,8,8,0,1.00,1.00,1.00,1,0,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2800,2.30,168.00,0.00,344,8,8,0,1.00,1.00,1.00,1,0,0
100000,5,5,0,0,0,5,0,1.00,22,0.000,2799,1.91,261.31,0.00,289,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2798,2.33,164.15,0.00,289,8,8,0,1.00,1.00,1.00,4,1,1
100000,5,5,0,0,0,5,0,1.00,22,0.000,2797,2.45,249.98,0.00,289,8,8,0,1.00,1.00,1.00,1,0,0
100000,2,2,0,0,0,2,0,1.00,26,0.000,2796,1.44,110.84,0.00,112,8,8,0,1.00,1.00,1.00,2,0,1
100000,2,2,0,0,0,2,0,1.00,26,0.000,2795,1.96,111.79,0.00,289,8,8,0,1.00,1.00,1.00,2,0,1
100000,6,6,0,0,0,6,0,1.00,20,0.000,2795,1.84,258.88,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,5,5,0,0,0,5,0,1.00,22,0.000,2794,1.68,260.66,0.00,289,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2793,1.76,204.89,0.00,112,8,8,0,1.00,1.00,1.00,4,1,1
100000,4,4,0,0,0,4,0,1.00,24,0.000,2793,2.36,182.18,0.00,289,8,8,0,1.00,1.00,1.00,4,1,1
100000,8,8,0,0,0,8,0,1.00,18,0.000,2788,2.35,235.89,0.00,332,8,8,0,1.00,1.00,1.00,1,0,0
100000,7,7,0,0,0,7,0,1.00,18,0.000,2788,2.40,279.15,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,6,6,0,0,0,6,0,1.00,20,0.000,2785,2.44,315.97,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2779,2.28,149.06,0.00,77,8,8,0,1.00,1.00,1.00,1,0,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2778,1.25,166.68,0.00,332,8,8,0,1.00,1.00,1.00,1,0,0
100000,6,6,0,0,0,6,0,1.00,20,0.000,2778,2.26,220.91,0.00,332,8,8,0,1.00,1.00,1.00,1,0,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2778,1.79,166.68,0.00,77,8,8,0,1.00,1.00,1.00,1,0,0
100000,6,6,0,0,0,6,0,1.00,20,0.000,2776,1.92,249.61,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,22,0.000,2776,1.67,194.35,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2776,1.72,196.66,0.00,289,8,8,0,1.00,1.00,1.00,4,1,1
100000,4,4,0,0,0,4,0,1.00,24,0.000,2776,2.18,165.94,0.00,112,8,8,0,1.00,1.00,1.00,4,1,1
100000,3,3,0,0,0,3,0,1.00,24,0.000,2773,2.06,141.99,0.00,332,8,8,0,1.00,1.00,1.00,1,0,0
100000,5,5,0,0,0,5,0,1.00,22,0.000,2771,1.50,182.27,0.00,289,8,8,0,1.00,1.00,1.00,4,1,1
100000,6,6,0,0,0,6,0,1.00,20,0.000,2765,2.09,172.88,0.00,332,8,8,0,1.00,1.00,1.00,1,0,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2764,1.32,144.74,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,2,2,0,0,0,2,0,1.00,26,0.000,2764,1.15,110.56,0.00,200,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,22,0.000,2761,1.57,191.58,0.00,77,8,8,0,1.00,1.00,1.00,1,0,0
100000,5,5,0,0,0,5,0,1.00,22,0.000,2761,1.48,252.16,0.00,6,8,8,0,1.00,1.00,1.00,1,0,0
100000,7,7,0,0,0,7,0,1.00,18,0.000,2761,2.43,204.86,0.00,112,8,8,0,1.00,1.00,1.00,2,1,0
100000,6,6,0,0,0,6,0,1.00,20,0.000,2758,2.52,271.87,0.00,316,8,8,0,1.00,1.00,1.00,2,0,1
100000,7,7,0,0,0,7,0,1.00,18,0.000,2758,1.35,156.92,0.00,112,8,8,0,1.00,1.00,1.00,2,1,0
100000,7,7,0,0,0,7,0,1.00,18,0.000,2757,2.09,232.81,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2754,1.43,216.16,0.00,112,8,8,0,1.00,1.00,1.00,4,1,1
100000,6,6,0,0,0,6,0,1.00,20,0.000,2753,1.79,203.17,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2752,1.89,165.12,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,6,6,0,0,0,6,0,1.00,20,0.000,2751,2.25,152.82,0.00,332,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2751,1.34,163.63,0.00,289,8,8,0,1.00,1.00,1.00,4,1,1
100000,4,4,0,0,0,4,0,1.00,22,0.000,2748,1.53,219.84,0.00,200,8,8,0,1.00,1.00,1.00,1,0,0
100000,6,6,0,0,0,6,0,1.00,20,0.000,2744,1.33,304.93,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,2,2,0,0,0,2,0,1.00,26,0.000,2743,1.20,109.72,0.00,77,8,8,0,1.00,1.00,1.00,1,0,0
100000,6,6,0,1,0,5,0,1.00,20,0.167,2743,2.03,274.31,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,5,5,0,0,0,5,0,1.00,22,0.000,2742,2.50,237.56,0.00,88,8,8,0,1.00,1.00,1.00,1,0,0
100000,3,3,0,0,0,3,0,1.00,24,0.000,2740,2.24,159.73,0.00,77,8,8,0,1.00,1.00,1.00,3,1,1
100000,4,4,0,0,0,4,0,1.00,24,0.000,2739,1.92,207.21,0.00,289,8,8,0,1.00,1.00,1.00,4,1,1
100000,3,3,0,0,0,3,0,1.00,24,0.000,2736,2.23,164.16,0.00,200,8,8,0,1.00,1.00,1.00,1,0,0
100000,4,4,0,0,0,4,0,1.00,24,0.000,2736,2.04,208.73,0.00,112,8,8,0,1.00,1.00,1.00,4,1,1
100000,4,4,0,0,0,4,0,1.00,24,0.000,2734,1.84,198.96,0.00,337,8,8,0,1.00,1.00,1.00,4,1,1
100000,4,4,0,0,0,4,0,1.00,24,0.000,2734,1.76,186.93,0.00,112,8,8,0,1.00,1.00,1.00,4,1,1
100000,4,4,0,0,0,4,0,1.00,24,0.000,2733,2.36,200.82,0.00,289,8,8,0,1.00,1.00,1.00,4,1,1
100000,5,5,0,0,0,5,0,1.00,22,0.000,2729,2.30,237.16,0.00,106,8,8,0,1.00,1.00,1.00,2,0,1
