step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage
100000,6,6,0,0,2,4,0,1.00,16,0.000,2375,2.25,156.75,0.00,55
100000,6,6,0,0,0,6,0,1.00,18,0.000,2373,2.21,127.88,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2372,1.69,185.81,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2370,1.93,125.35,0.00,223
100000,4,4,0,0,0,4,0,1.00,22,0.000,2368,1.64,142.75,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2362,1.99,119.16,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2356,1.86,141.18,0.00,12
100000,3,3,0,0,0,3,0,1.00,24,0.000,2352,1.05,128.82,0.00,55
100000,9,9,0,0,0,9,0,1.00,12,0.000,2352,2.15,183.96,0.00,55
100000,7,7,0,0,0,7,0,1.00,18,0.000,2352,1.01,161.34,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2352,1.63,113.54,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2347,1.72,218.50,0.00,131
100000,5,5,0,0,0,5,0,1.00,22,0.000,2347,1.74,147.03,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2343,1.57,196.74,0.00,131
100000,4,4,0,0,0,4,0,1.00,22,0.000,2341,1.57,117.62,0.00,154
100000,6,6,0,0,0,6,0,1.00,20,0.000,2337,1.32,137.49,0.00,49
100000,4,4,0,0,0,4,0,1.00,22,0.000,2331,2.05,120.75,0.00,51
100000,8,8,0,0,0,8,0,1.00,16,0.000,2331,0.85,179.08,0.00,55
100000,6,6,0,0,1,5,0,1.00,20,0.000,2330,1.44,152.01,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2329,1.56,135.66,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2325,2.54,177.78,0.00,210
100000,10,10,0,0,0,10,0,1.00,16,0.000,2323,2.31,209.72,0.00,55
100000,10,10,0,0,0,10,0,1.00,16,0.000,2322,1.13,195.15,0.00,55
100000,4,4,0,0,0,4,0,1.00,22,0.000,2318,2.13,163.61,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2310,1.76,135.31,0.00,55
100000,5,5,0,0,1,4,0,1.00,20,0.000,2308,2.00,165.32,0.00,131
100000,3,3,0,0,0,3,0,1.00,24,0.000,2304,0.59,134.62,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2297,1.12,116.59,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2296,1.73,125.20,0.00,80
100000,2,2,0,0,0,2,0,1.00,26,0.000,2295,1.09,91.16,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2295,1.91,201.23,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2293,2.45,214.16,0.00,131
100000,6,6,0,0,0,6,0,1.00,20,0.000,2289,1.76,135.67,0.00,12
100000,3,3,0,0,0,3,0,1.00,24,0.000,2284,1.93,129.37,0.00,80
100000,4,4,0,0,0,4,0,1.00,22,0.000,2281,1.12,131.35,0.00,154
100000,3,3,0,0,0,3,0,1.00,24,0.000,2279,1.67,131.22,0.00,223
100000,6,6,0,0,1,5,0,1.00,20,0.000,2276,2.02,208.37,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2274,1.59,156.13,0.00,55
100000,8,8,0,0,0,8,0,1.00,16,0.000,2272,2.26,182.46,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2258,1.79,121.49,0.00,55
100000,3,3,0,0,0,3,0,1.00,24,0.000,2257,1.60,108.94,0.00,154
100000,4,4,0,0,0,4,0,1.00,24,0.000,2255,1.69,157.73,0.00,80
100000,6,6,0,0,0,6,0,1.00,20,0.000,2252,2.29,161.33,0.00,131
100000,4,4,1,0,0,3,0,1.60,22,0.000,2249,2.14,119.22,0.00,223
100000,3,3,0,0,0,3,0,1.00,24,0.000,2246,2.00,133.05,0.00,12
100000,7,7,0,0,0,7,0,1.00,18,0.000,2239,2.37,204.53,0.00,214
100000,5,5,0,0,0,5,0,1.00,22,0.000,2234,2.31,127.41,0.00,49
100000,2,2,0,0,0,2,0,1.00,26,0.000,2233,1.81,88.84,0.00,80
100000,3,3,0,0,0,3,0,1.00,24,0.000,2233,1.89,107.00,0.00,80
100000,5,5,0,0,0,5,0,1.00,22,0.000,2232,2.27,115.98,0.00,49
100000,6,6,0,0,0,6,0,1.00,18,0.000,2231,2.16,159.16,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2223,1.65,147.57,0.00,55
100000,6,6,0,0,2,4,0,1.00,16,0.000,2222,0.72,116.54,0.00,55
100000,6,6,0,0,0,6,0,1.00,20,0.000,2221,1.95,126.94,0.00,80
