step,cause,age,size,mass,n,worn
10000,hunger,50,44,84,11,0
10000,hunger,50,44,88,10,0
10000,hunger,50,44,92,2,0
10000,hunger,50,44,96,1,0
10000,hunger,50,44,100,1,0
10000,hunger,50,44,112,1,0
10000,hunger,50,44,120,1,0
10000,hunger,50,44,132,1,0
10000,hunger,50,44,152,1,0
10000,hunger,50,48,16,1,0
10000,hunger,50,48,20,2,0
10000,hunger,50,48,28,3,0
10000,hunger,50,48,32,11,0
10000,hunger,50,48,36,48,0
10000,hunger,50,48,40,77,0
10000,hunger,50,48,44,130,0
10000,hunger,50,48,48,178,1
10000,hunger,50,48,52,102,0
10000,hunger,50,48,56,85,0
10000,hunger,50,48,60,87,1
10000,hunger,50,48,64,52,1
10000,hunger,50,48,68,32,0
10000,hunger,50,48,72,36,0
10000,hunger,50,48,76,21,0
10000,hunger,50,48,80,15,0
10000,hunger,50,48,84,18,0
10000,hunger,50,48,88,36,0
10000,hunger,50,48,92,66,0
10000,hunger,50,48,96,44,0
10000,hunger,50,48,100,3,0
10000,hunger,50,48,104,9,1
10000,hunger,50,48,108,2,0
10000,hunger,50,48,112,2,0
10000,hunger,50,48,116,1,0
10000,hunger,50,48,124,1,0
10000,hunger,50,48,136,1,0
10000,hunger,50,48,144,1,0
10000,hunger,50,48,176,1,0
10000,hunger,50,52,40,4,0
10000,hunger,50,52,44,4,0
10000,hunger,50,52,48,5,0
10000,hunger,50,52,52,13,0
10000,hunger,50,52,56,8,0
10000,hunger,50,52,60,16,0
10000,hunger,50,52,64,4,1
10000,hunger,50,52,68,4,0
10000,hunger,50,52,72,3,0
10000,hunger,50,52,76,2,0
10000,hunger,50,52,80,6,0
10000,hunger,50,52,84,1,0
10000,hunger,50,52,88,1,0
10000,hunger,50,52,92,4,0
10000,hunger,50,52,96,4,0
10000,hunger,50,52,100,1,0
10000,hunger,50,52,104,2,0
10000,hunger,50,52,108,2,1
10000,hunger,50,52,120,1,0
10000,hunger,50,52,124,1,0
10000,hunger,50,52,136,1,0
10000,hunger,50,56,36,1,0
10000,hunger,50,56,44,6,0
10000,hunger,50,56,48,1,0
10000,hunger,50,56,52,2,0
10000,hunger,50,56,56,2,0
10000,hunger,50,56,60,11,0
10000,hunger,50,56,64,34,0
10000,hunger,50,56,68,8,0
10000,hunger,50,56,72,1,0
10000,hunger,50,56,76,7,0
