step,lineage,size,hard,muscle,sensor,digestive,attack,bodies,age,plant,meat
73000,52,114,17.8,19.9,0.0,25.8,17.8,2,147,33.40,5.60
73000,70,66,41.4,0.0,0.3,22.1,0.0,22,524,113.05,0.00
74000,42,315,40.6,0.0,0.2,23.0,0.0,72,246,55.64,0.01
74000,47,204,40.9,1.0,0.3,21.7,1.0,52,275,62.10,0.17
74000,22,151,40.1,0.0,0.4,22.1,0.0,21,322,71.00,0.00
74000,52,128,18.1,20.0,0.0,25.9,18.0,5,139,30.80,5.46
74000,70,32,42.7,0.0,0.3,21.0,0.0,12,553,117.28,0.00
75000,42,307,40.3,0.0,0.6,23.0,0.0,70,242,54.60,0.00
75000,47,188,40.0,1.0,0.3,22.6,1.0,46,245,56.03,0.26
75000,22,111,41.3,0.0,0.2,22.3,0.0,9,324,72.07,0.00
75000,52,104,18.1,20.0,0.0,25.9,18.0,2,147,32.77,5.71
75000,70,42,42.7,0.0,0.7,20.5,0.0,13,367,79.90,0.00
76000,42,269,39.8,0.1,0.2,23.6,0.0,61,226,51.50,0.00
76000,47,153,40.1,0.8,0.3,22.8,0.8,43,273,61.61,0.15
76000,52,120,18.1,19.9,0.0,26.0,17.9,2,143,32.46,5.73
76000,22,111,40.0,0.0,0.6,22.2,0.0,21,289,63.52,0.00
76000,70,33,42.1,0.0,0.0,21.8,0.0,12,671,147.52,0.00
77000,42,287,38.4,0.1,0.2,25.0,0.0,85,215,49.42,0.00
77000,47,162,39.5,0.7,0.7,23.1,0.7,46,320,73.12,0.15
77000,52,103,17.7,19.9,0.0,26.3,17.7,4,151,34.14,8.93
77000,22,102,40.6,0.1,0.9,21.9,0.1,14,329,72.09,0.00
77000,70,29,43.2,0.0,0.0,20.8,0.0,12,579,123.13,0.00
78000,42,196,38.5,0.1,0.2,24.3,0.1,54,186,42.12,0.00
78000,47,176,39.1,0.8,1.4,22.6,0.8,46,331,74.47,0.24
78000,22,114,39.7,0.0,0.5,23.1,0.0,25,310,68.52,0.00
78000,74,102,38.8,0.0,0.0,24.6,0.0,28,212,49.55,0.00
78000,52,90,17.7,19.9,0.0,26.3,17.7,5,135,28.80,7.44
78000,70,37,41.6,0.0,0.0,22.4,0.0,11,404,88.93,0.00
79000,42,165,39.3,0.1,0.1,24.2,0.1,46,266,60.11,0.00
79000,74,163,38.3,0.0,0.0,25.7,0.0,29,199,46.84,0.00
79000,47,147,38.8,0.6,1.0,23.5,0.6,47,349,78.42,0.31
79000,22,128,38.3,0.0,0.7,24.7,0.0,17,253,58.37,0.00
79000,52,87,17.9,20.1,0.0,25.9,17.9,2,122,25.65,7.77
79000,70,38,41.8,0.0,0.0,22.1,0.0,8,504,109.54,0.00
80000,42,259,39.2,0.0,0.1,24.5,0.0,58,241,55.10,0.00
80000,47,142,39.0,0.7,1.6,22.6,0.7,37,328,73.26,0.21
80000,74,121,38.4,1.3,0.3,24.0,1.3,28,187,43.60,0.84
