step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,gain_mean,kills_young_share,meat_majority
440000,847,4.601,0.054,18.41,59347,50555,22,8771,0,276,1624864.6,48928.1,0.010,0.197,0.299,0.207,0.287,1114,63.96,0.48,36.46,4.97,1.29,4.52,1.63,2.63,24.58,5.23,1.24,4.27,0.020,0.071,244,0.112,0.940,0.041,0.000,0.019,38470,10183,8,0.509,0.151,0.463,3066652,0.244,0.099,0.006,162.95,30593,15,5.58,0.918,0.012
450000,837,4.602,0.051,18.58,59069,50367,37,8675,0,260,1626065.2,48244.9,0.010,0.192,0.299,0.217,0.282,1106,63.82,0.99,36.53,4.05,1.50,4.75,1.72,2.57,24.07,4.78,1.49,4.73,0.023,0.074,246,0.078,0.932,0.050,0.000,0.018,39577,11840,7,0.483,0.017,0.516,4262917,0.229,0.102,0.008,162.99,30114,15,5.56,0.924,0.018
460000,862,4.592,0.053,18.52,56635,47867,55,8688,0,280,1625103.1,50262.4,0.010,0.192,0.292,0.223,0.283,1088,63.45,1.78,36.85,4.44,1.33,4.58,2.02,3.06,23.25,4.54,1.29,4.38,0.021,0.072,263,0.065,0.942,0.046,0.000,0.012,37534,8803,6,0.191,0.274,0.497,4437997,0.233,0.100,0.007,163.02,29494,17,5.79,0.906,0.019
470000,863,4.519,0.058,18.17,62667,51638,19,11007,2,512,1625755.5,79146.3,0.008,0.180,0.277,0.247,0.288,1029,63.95,0.55,39.03,4.94,0.58,2.98,1.35,2.73,22.99,5.14,0.55,2.92,0.009,0.047,251,0.144,0.972,0.014,0.000,0.014,40883,12596,6,0.448,0.000,0.305,3797959,0.242,0.107,0.010,162.92,31595,26,7.19,0.887,0.009
480000,862,4.569,0.061,17.89,67282,56341,8,10934,0,498,1627564.8,65813.3,0.009,0.175,0.302,0.216,0.298,1081,63.98,0.43,38.70,4.91,0.87,4.05,1.48,3.21,22.92,4.73,0.84,3.86,0.014,0.063,252,0.133,0.962,0.024,0.000,0.014,43327,15716,5,0.556,0.027,0.324,3002807,0.237,0.111,0.011,162.93,32007,18,6.02,0.896,0.016
490000,853,4.552,0.066,16.99,73976,55263,22,18700,0,1420,1622691.9,139642.4,0.009,0.178,0.297,0.215,0.301,1117,63.99,0.31,39.70,8.72,4.19,8.70,0.83,1.98,19.26,4.04,3.97,8.09,0.065,0.136,163,0.107,0.855,0.108,0.000,0.038,48195,20515,4,0.538,0.045,0.345,3408868,0.226,0.125,0.018,162.70,34599,25,7.47,0.888,0.036
500000,851,4.538,0.054,18.41,67316,48581,30,18707,0,1467,1616732.0,123474.9,0.007,0.182,0.274,0.229,0.308,1216,63.99,0.34,41.59,6.78,2.33,6.52,1.02,1.80,19.05,3.69,2.22,6.23,0.036,0.102,195,0.105,0.910,0.075,0.000,0.015,44755,19290,5,0.384,0.015,0.405,2976253,0.169,0.105,0.008,162.79,31379,20,6.60,0.913,0.018
510000,826,4.544,0.045,18.30,68373,47180,36,21182,0,1500,1607452.8,138845.5,0.009,0.170,0.245,0.251,0.326,1233,64.00,0.00,42.43,7.21,2.64,7.42,0.32,1.31,18.60,2.78,2.43,6.80,0.041,0.116,139,0.107,0.903,0.084,0.000,0.013,50482,21425,7,0.255,0.005,0.144,1761097,0.161,0.107,0.012,162.09,32124,19,6.55,0.934,0.015
520000,817,4.538,0.038,18.17,61160,44900,36,16233,0,892,1611402.9,79649.6,0.009,0.166,0.212,0.277,0.336,1247,63.98,0.56,41.89,8.39,3.53,8.41,0.27,1.10,18.30,3.74,3.16,7.57,0.055,0.131,155,0.133,0.874,0.106,0.000,0.020,49901,16894,9,0.253,0.026,0.110,1082259,0.150,0.101,0.009,161.84,30683,10,4.91,0.954,0.022
530000,854,4.511,0.038,18.01,55436,39720,62,15617,0,746,1616970.6,73725.2,0.008,0.156,0.213,0.285,0.339,1415,64.00,0.00,41.63,7.98,3.39,8.36,0.59,1.58,18.39,3.05,3.03,7.47,0.053,0.131,134,0.137,0.891,0.097,0.000,0.012,42474,13833,7,0.289,0.000,0.224,1777018,0.187,0.098,0.008,162.78,26915,9,4.72,0.968,0.025
540000,839,4.440,0.043,18.25,56258,41155,76,15042,0,658,1615812.1,74274.5,0.007,0.169,0.232,0.263,0.329,1402,64.00,0.00,43.02,6.57,2.04,6.64,0.37,1.03,18.56,2.86,1.88,6.08,0.032,0.104,131,0.154,0.926,0.062,0.000,0.012,42744,12516,7,0.286,0.006,0.188,1554383,0.183,0.101,0.010,162.72,27819,11,4.94,0.957,0.011
550000,861,4.316,0.046,18.15,55473,40362,86,15003,0,695,1611078.8,74580.4,0.007,0.180,0.243,0.257,0.313,1346,64.00,0.05,42.28,7.27,2.58,7.42,0.44,1.29,18.69,3.55,2.34,6.70,0.040,0.116,136,0.168,0.915,0.074,0.000,0.010,42738,11493,9,0.382,0.075,0.171,1333521,0.187,0.101,0.009,162.54,27737,11,4.97,0.957,0.014
560000,854,4.645,0.049,17.95,64761,42830,71,21867,0,1482,1620229.1,157208.7,0.008,0.192,0.293,0.237,0.270,1375,64.00,0.00,43.31,7.72,3.06,7.84,0.71,1.44,16.92,3.00,3.04,7.77,0.048,0.123,107,0.217,0.897,0.089,0.000,0.014,47301,22626,5,0.519,0.000,0.420,3467641,0.156,0.106,0.010,161.25,29182,23,7.19,0.931,0.029
570000,826,4.760,0.056,18.19,54260,38872,125,15291,0,769,1645174.5,78761.1,0.005,0.185,0.284,0.241,0.285,1457,63.99,0.28,43.37,7.57,3.12,8.08,0.87,1.52,16.63,2.49,3.03,7.74,0.049,0.126,94,0.163,0.891,0.091,0.000,0.018,38192,14656,6,0.614,0.000,0.435,3191794,0.149,0.116,0.013,162.73,26955,12,5.15,0.950,0.025
580000,833,4.745,0.063,17.87,55364,40172,145,15040,0,730,1643428.6,81246.5,0.004,0.182,0.283,0.240,0.291,1408,64.00,0.00,43.57,7.46,2.70,7.36,0.92,1.85,16.81,3.15,2.70,7.36,0.042,0.115,104,0.209,0.904,0.080,0.000,0.016,37475,15242,4,0.642,0.023,0.447,3962848,0.155,0.119,0.016,162.85,27454,13,5.40,0.938,0.018
590000,854,4.671,0.059,17.92,58067,41855,150,16041,0,730,1643520.6,86611.1,0.005,0.183,0.288,0.236,0.288,1327,63.99,0.24,43.58,7.42,2.92,7.76,0.53,1.48,16.96,2.55,2.86,7.55,0.046,0.122,109,0.213,0.910,0.077,0.000,0.013,40353,18722,3,0.609,0.009,0.320,3113202,0.145,0.114,0.012,162.61,27963,13,5.40,0.931,0.021
600000,853,4.471,0.044,17.90,60749,43655,93,17002,0,902,1640245.6,89352.5,0.007,0.184,0.286,0.238,0.286,1329,64.00,0.03,43.44,7.64,2.88,7.72,0.47,1.65,17.21,3.10,2.83,7.53,0.045,0.121,113,0.234,0.899,0.086,0.000,0.015,45185,20530,3,0.574,0.055,0.216,2505102,0.147,0.111,0.014,162.16,29522,12,5.26,0.938,0.014
610000,831,4.833,0.063,17.96,54280,39729,158,14415,0,763,1644823.9,75417.0,0.006,0.182,0.276,0.248,0.288,1409,64.00,0.00,44.18,6.67,1.98,6.51,0.92,1.93,16.92,2.98,1.96,6.39,0.031,0.102,90,0.199,0.931,0.057,0.000,0.012,39551,16935,4,0.699,0.000,0.492,2877764,0.153,0.122,0.014,162.59,26705,12,5.23,0.938,0.016
620000,819,4.738,0.065,18.09,55159,39439,161,15571,0,723,1645053.6,83112.2,0.005,0.178,0.276,0.249,0.292,1638,64.00,0.00,43.84,6.92,2.28,7.01,0.85,1.99,17.03,2.93,2.20,6.69,0.036,0.110,99,0.368,0.928,0.054,0.000,0.018,36744,17990,4,0.791,0.000,0.525,3956667,0.135,0.121,0.016,162.85,25395,13,5.34,0.938,0.026
