step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
450000,3470,4.367,0.161,14.34,289679,68213,1114,217312,3166,9597,6209603.0,489371.9,0.019,0.065,0.469,0.344,0.103,431,60.97,10.91,36.33,14.88,5.83,9.00,0.37,1.39,18.44,4.28,5.75,8.85,0.094,0.145,400,0.221,0.797,0.197,0.000,0.007,91770,49914,5,0.576,0.052,0.276,6942252,0.060,0.131,0.019,655.31
460000,4108,3.773,0.152,12.14,311507,82776,1205,219909,6979,5569,6060373.5,410629.2,0.016,0.059,0.548,0.296,0.080,442,48.76,21.93,25.77,18.37,5.96,8.46,0.33,1.06,16.71,5.91,5.14,8.18,0.129,0.173,747,0.172,0.751,0.216,0.000,0.033,105972,64360,6,0.313,0.172,0.232,12704433,0.059,0.129,0.018,655.35
470000,3855,3.992,0.154,14.09,340689,75230,1025,260572,4115,11200,5977120.0,543158.5,0.014,0.060,0.520,0.322,0.084,366,53.47,20.26,29.73,17.59,6.29,9.31,0.28,0.78,17.18,5.63,5.92,9.07,0.109,0.159,614,0.084,0.756,0.226,0.000,0.018,107355,58615,6,0.495,0.146,0.232,10338022,0.056,0.127,0.017,655.34
480000,4206,3.653,0.145,12.24,408510,73786,833,326144,7396,6650,6063925.0,623303.9,0.012,0.052,0.549,0.318,0.069,358,46.82,23.86,24.35,18.57,5.81,8.96,0.37,0.74,16.28,5.88,5.69,8.81,0.095,0.147,612,0.148,0.713,0.261,0.000,0.026,136153,84059,3,0.404,0.002,0.325,11087836,0.056,0.121,0.013,655.35
490000,3346,4.442,0.165,14.94,224916,65460,966,157245,2105,6219,6347085.5,400217.7,0.010,0.057,0.543,0.315,0.075,601,62.94,2.04,38.70,12.33,5.35,8.88,0.41,0.68,18.49,3.79,5.22,8.67,0.086,0.142,407,0.219,0.845,0.148,0.000,0.007,57628,29839,2,0.597,0.157,0.348,15572042,0.052,0.133,0.022,655.34
500000,3466,4.289,0.157,14.74,134467,65468,2058,66814,7,2991,6325210.5,221375.0,0.012,0.083,0.513,0.300,0.093,750,61.25,3.96,37.90,11.39,4.57,8.24,0.47,0.89,18.31,3.89,4.54,8.18,0.074,0.132,450,0.218,0.845,0.145,0.000,0.010,28490,7106,5,0.662,0.090,0.364,13348129,0.054,0.126,0.015,655.34
510000,3434,4.357,0.158,15.07,139616,67068,2018,70541,21,2923,6350886.5,230482.7,0.012,0.090,0.510,0.284,0.103,777,61.70,4.15,39.57,11.14,3.65,7.72,0.54,0.99,17.95,3.91,3.58,7.55,0.059,0.124,493,0.154,0.877,0.114,0.000,0.009,30866,7993,5,0.432,0.003,0.420,11984582,0.054,0.125,0.015,655.34
520000,3358,4.491,0.162,15.26,128095,65961,2526,59678,6,2422,6357558.0,195953.4,0.010,0.092,0.510,0.291,0.098,803,63.02,2.40,39.42,12.78,5.35,8.89,0.64,0.91,17.62,4.30,5.29,8.75,0.086,0.142,351,0.225,0.839,0.156,0.000,0.005,27753,6904,5,0.400,0.027,0.527,16329139,0.062,0.125,0.013,655.35
530000,3515,4.191,0.159,15.41,138403,67742,2399,67960,145,2760,6339315.5,211345.3,0.008,0.085,0.519,0.295,0.093,726,59.89,11.79,37.42,14.76,4.60,8.36,0.68,1.10,17.19,4.47,4.53,8.20,0.074,0.135,498,0.212,0.850,0.140,0.000,0.010,30844,9367,6,0.416,0.030,0.529,18308866,0.064,0.127,0.016,655.35
540000,3451,4.369,0.158,15.26,172860,68816,2056,101105,947,3372,6328883.0,284343.2,0.008,0.076,0.535,0.294,0.087,588,60.63,10.83,36.19,15.15,6.07,9.07,0.69,0.91,17.67,4.58,6.00,8.98,0.098,0.146,365,0.279,0.802,0.188,0.000,0.010,42272,16685,5,0.422,0.080,0.587,19262732,0.063,0.125,0.014,655.35
