step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth
400000,192,4.943,0.101,10.54,13289,9848,5,3449,0,118,395360.4,12186.2,0.049,0.266,0.151,0.239,0.295,7745,63.98,0.22,40.82,9.74,5.97,10.26,0.00,0.00,17.20,3.02,5.70,9.80,0.093,0.160,26,0.354,0.859,0.130,0.000,0.010,8445,4163,4,0.406,0.000,0.000,2112,0.220,0.170,0.046,39.42
410000,205,4.629,0.100,10.36,13419,9783,9,3614,0,150,395677.6,12779.3,0.046,0.265,0.150,0.239,0.299,7152,63.97,0.42,40.36,10.05,6.46,10.83,0.03,0.42,17.12,2.44,6.08,10.09,0.101,0.169,25,0.337,0.834,0.156,0.000,0.010,8531,4271,4,0.390,0.000,0.005,2217,0.224,0.171,0.046,39.45
420000,201,4.553,0.095,10.38,13446,9805,2,3643,0,145,395637.3,12871.4,0.043,0.271,0.153,0.239,0.293,7632,64.00,0.00,41.39,9.88,5.34,9.87,0.08,1.01,17.18,2.78,5.02,9.41,0.083,0.154,20,0.229,0.846,0.134,0.000,0.020,8467,4138,4,0.353,0.000,0.010,2064,0.250,0.171,0.044,39.44
430000,208,4.706,0.093,10.50,13428,9787,5,3629,0,147,395684.1,12831.6,0.044,0.272,0.155,0.237,0.293,7508,63.96,0.62,42.47,9.05,4.08,8.97,0.00,0.00,17.41,3.81,3.91,8.59,0.064,0.140,26,0.380,0.861,0.120,0.000,0.019,8496,4082,3,0.678,0.000,0.000,2058,0.268,0.157,0.035,39.43
440000,201,4.794,0.099,10.48,13240,9718,5,3524,0,121,395205.3,12421.5,0.051,0.266,0.154,0.237,0.292,7862,63.98,0.35,41.87,9.28,4.39,9.20,0.00,0.00,17.72,3.52,4.15,8.81,0.069,0.144,27,0.199,0.876,0.124,0.000,0.000,8427,3799,3,0.657,0.000,0.000,2345,0.234,0.170,0.045,39.40
450000,201,4.662,0.096,10.35,13414,9760,4,3650,0,133,396049.2,12960.2,0.044,0.274,0.155,0.238,0.289,7684,63.95,0.70,40.46,10.03,6.12,10.43,0.00,0.00,17.37,3.47,5.72,9.81,0.096,0.164,25,0.348,0.856,0.134,0.000,0.010,8524,3880,4,0.383,0.189,0.000,2628,0.234,0.168,0.041,39.47
460000,200,4.564,0.102,10.49,13566,9867,5,3694,1,135,396237.5,13095.6,0.044,0.277,0.158,0.235,0.286,6957,64.00,0.00,42.06,8.80,4.39,9.17,0.00,0.00,17.54,1.72,4.18,8.75,0.069,0.143,21,0.295,0.870,0.120,0.000,0.010,8547,4434,3,0.665,0.000,0.000,2726,0.226,0.179,0.050,39.48
470000,201,4.764,0.093,10.40,13458,9777,7,3673,0,159,396355.8,12955.4,0.045,0.274,0.158,0.235,0.288,7309,64.00,0.00,41.11,9.53,5.39,9.97,0.00,0.00,17.49,2.35,5.11,9.49,0.084,0.156,25,0.353,0.851,0.134,0.000,0.015,8536,4317,3,0.413,0.194,0.000,2873,0.210,0.165,0.043,39.50
480000,206,4.600,0.094,10.42,13585,9783,6,3791,0,151,396862.2,13428.2,0.042,0.273,0.157,0.237,0.290,6906,64.00,0.00,41.46,9.50,4.74,9.47,0.05,0.76,17.75,3.94,4.54,9.07,0.074,0.148,19,0.340,0.869,0.131,0.000,0.000,8763,4400,4,0.364,0.000,0.005,2218,0.196,0.163,0.038,39.54
490000,210,4.659,0.095,10.45,13342,9498,9,3831,0,178,396528.7,13541.1,0.044,0.269,0.155,0.238,0.293,6852,64.00,0.00,41.77,8.90,4.64,9.61,0.00,0.00,17.59,2.87,4.34,8.89,0.072,0.150,23,0.252,0.871,0.124,0.000,0.005,8431,4093,4,0.371,0.000,0.000,1470,0.273,0.159,0.034,39.54
500000,198,4.537,0.101,10.51,13283,9678,8,3608,1,131,396176.2,12797.0,0.044,0.271,0.156,0.239,0.291,7789,63.90,1.21,42.36,9.02,4.54,9.25,0.08,1.06,16.92,2.89,4.33,8.84,0.071,0.146,25,0.364,0.879,0.101,0.000,0.020,8442,4254,4,0.429,0.000,0.005,1720,0.269,0.187,0.053,39.49
510000,211,4.414,0.093,10.36,13512,9725,6,3768,0,167,395831.0,13363.9,0.045,0.272,0.156,0.238,0.289,7055,64.00,0.00,40.92,9.79,5.38,9.97,0.00,0.00,17.70,3.87,5.16,9.56,0.084,0.156,18,0.223,0.844,0.152,0.000,0.005,8468,4412,4,0.303,0.000,0.000,1747,0.254,0.156,0.037,39.45
520000,208,4.380,0.100,10.39,13327,9878,8,3444,0,100,395242.9,12180.9,0.044,0.272,0.154,0.238,0.292,7571,63.99,0.14,42.18,9.56,4.72,9.69,0.01,0.14,17.08,3.50,4.42,9.02,0.074,0.152,30,0.260,0.851,0.125,0.000,0.024,8350,4056,4,0.322,0.000,0.005,1610,0.282,0.184,0.052,39.41
530000,187,4.742,0.101,10.43,13573,9814,6,3774,0,148,395647.3,13377.0,0.046,0.270,0.153,0.239,0.292,7686,64.00,0.00,41.32,10.19,5.33,9.92,0.00,0.00,17.35,4.40,5.11,9.50,0.083,0.155,21,0.396,0.845,0.144,0.000,0.011,8559,4412,4,0.449,0.000,0.000,1825,0.244,0.179,0.050,39.45
540000,200,4.588,0.099,10.44,13453,9783,3,3654,0,137,396921.0,12947.6,0.043,0.273,0.154,0.238,0.292,7847,64.00,0.00,41.42,9.62,4.86,9.59,0.00,0.00,17.72,3.88,4.66,9.19,0.076,0.150,19,0.315,0.855,0.135,0.000,0.010,8557,3725,4,0.405,0.075,0.000,1599,0.230,0.166,0.045,39.55
550000,207,4.723,0.100,10.45,13374,9706,4,3657,0,166,397055.0,12951.1,0.043,0.273,0.155,0.238,0.291,7498,63.89,1.10,41.55,9.32,4.87,9.54,0.09,0.88,17.39,3.40,4.59,9.05,0.077,0.150,25,0.280,0.860,0.116,0.000,0.024,8600,3803,4,0.329,0.000,0.010,1522,0.236,0.164,0.040,39.57
560000,207,4.631,0.087,10.46,13501,9850,1,3650,0,144,396389.8,12925.5,0.042,0.275,0.158,0.236,0.288,7557,64.00,0.00,41.96,9.93,4.14,8.95,0.00,0.00,17.90,5.60,3.95,8.55,0.065,0.140,29,0.329,0.879,0.106,0.000,0.014,8531,4159,4,0.386,0.000,0.000,1974,0.222,0.152,0.029,39.50
570000,205,4.672,0.100,10.32,13190,9355,4,3833,0,157,394883.2,13489.1,0.044,0.257,0.149,0.247,0.302,7344,64.00,0.00,40.67,10.42,6.34,10.49,0.00,0.00,17.00,2.77,6.04,10.04,0.099,0.164,22,0.434,0.805,0.185,0.000,0.010,8488,4909,3,0.571,0.000,0.000,1742,0.253,0.179,0.048,39.38
580000,205,4.588,0.100,10.32,13017,9332,8,3677,0,161,395743.2,12976.0,0.042,0.260,0.143,0.249,0.305,7000,64.00,0.00,40.05,10.04,6.54,10.50,0.00,0.00,17.40,2.70,6.28,10.06,0.102,0.164,27,0.434,0.824,0.156,0.000,0.020,8380,5436,3,0.590,0.000,0.000,1603,0.207,0.175,0.049,39.45
590000,193,4.864,0.109,10.52,12798,9317,4,3489,0,156,394621.9,12293.3,0.044,0.255,0.141,0.252,0.308,7036,64.00,0.00,42.27,8.29,3.97,8.77,0.00,0.00,17.76,2.77,3.76,8.34,0.062,0.137,21,0.528,0.902,0.088,0.000,0.010,8186,4907,3,0.674,0.000,0.000,1868,0.246,0.184,0.054,39.35
600000,204,4.831,0.099,10.29,13067,9471,8,3577,0,143,394978.5,12581.7,0.041,0.264,0.145,0.249,0.301,6778,64.00,0.00,39.84,10.53,7.22,10.97,0.00,0.00,16.94,2.22,6.92,10.51,0.113,0.171,18,0.431,0.804,0.186,0.000,0.010,8392,5304,3,0.593,0.000,0.000,1119,0.219,0.166,0.042,39.39
610000,200,4.637,0.099,10.41,12925,9449,5,3475,0,123,395085.1,12291.8,0.044,0.259,0.139,0.252,0.306,7219,64.00,0.00,41.53,9.45,5.12,9.66,0.00,0.00,17.35,2.69,4.91,9.26,0.080,0.151,21,0.425,0.870,0.110,0.000,0.020,8211,5255,3,0.610,0.000,0.000,2386,0.198,0.171,0.043,39.39
620000,195,5.025,0.111,10.41,12740,9257,6,3482,0,126,396253.6,12283.2,0.041,0.275,0.157,0.239,0.288,7712,64.00,0.00,41.62,9.40,5.09,9.77,0.00,0.00,17.29,2.48,4.88,9.36,0.080,0.153,24,0.308,0.862,0.123,0.000,0.015,8087,4659,3,0.626,0.000,0.000,1782,0.232,0.184,0.058,39.52
630000,204,4.653,0.095,10.50,12446,9270,9,3158,0,98,397676.8,11106.1,0.037,0.292,0.168,0.232,0.271,8328,64.00,0.00,42.41,9.14,4.22,9.02,0.02,0.35,17.35,3.67,4.04,8.63,0.066,0.141,27,0.289,0.882,0.098,0.000,0.020,7813,3994,3,0.377,0.324,0.005,1481,0.220,0.168,0.042,39.63
640000,214,4.536,0.093,10.45,12669,9338,5,3316,0,135,397114.2,11801.7,0.037,0.290,0.165,0.233,0.274,7701,63.93,0.65,41.99,9.11,4.74,9.55,0.00,0.00,17.21,2.28,4.52,9.10,0.074,0.149,24,0.229,0.869,0.121,0.000,0.009,7991,4359,3,0.645,0.000,0.000,1758,0.209,0.153,0.033,39.60
650000,207,4.512,0.097,10.37,12517,9255,6,3263,0,103,396924.5,11483.8,0.040,0.291,0.171,0.228,0.271,7709,63.99,0.10,41.22,9.63,5.46,10.05,0.00,0.00,17.31,2.58,5.23,9.63,0.085,0.157,18,0.275,0.855,0.135,0.000,0.010,7902,4292,4,0.309,0.000,0.000,1643,0.215,0.165,0.040,39.58
660000,192,4.782,0.107,10.30,12498,9328,6,3179,0,117,396864.1,11172.1,0.041,0.284,0.164,0.231,0.280,8146,63.97,0.32,40.77,10.17,6.27,10.52,0.00,0.00,16.93,2.19,6.01,10.08,0.098,0.164,25,0.260,0.818,0.172,0.000,0.010,7929,3939,4,0.297,0.000,0.000,3303,0.173,0.181,0.052,39.58
670000,211,4.513,0.096,10.38,12626,9514,5,3088,0,73,397282.6,10961.8,0.038,0.294,0.166,0.226,0.276,8008,64.00,0.00,41.81,9.49,4.55,9.30,0.03,0.48,17.61,3.91,4.33,8.90,0.071,0.145,27,0.251,0.867,0.114,0.000,0.019,7841,3976,4,0.299,0.000,0.005,2311,0.238,0.164,0.039,39.58
680000,206,4.794,0.095,10.38,13008,9652,8,3353,0,111,397801.8,11844.0,0.038,0.288,0.157,0.230,0.286,7978,64.00,0.07,41.45,9.18,4.74,9.42,0.02,0.29,17.79,3.64,4.55,9.03,0.074,0.147,20,0.306,0.864,0.126,0.000,0.010,8210,3987,4,0.350,0.000,0.010,2056,0.188,0.159,0.039,39.66
690000,209,4.628,0.085,10.42,13201,9842,4,3352,0,99,397935.6,11856.7,0.038,0.291,0.154,0.230,0.287,8447,64.00,0.00,41.57,8.88,4.71,9.53,0.00,0.00,17.72,2.06,4.51,9.13,0.074,0.149,21,0.297,0.852,0.134,0.000,0.014,8266,4066,3,0.354,0.263,0.000,1431,0.194,0.149,0.031,39.65
700000,214,4.703,0.092,10.46,13181,9810,6,3360,0,100,398310.9,11854.7,0.038,0.292,0.155,0.231,0.284,7492,63.99,0.20,41.79,9.05,4.38,9.26,0.00,0.00,17.82,3.56,4.20,8.88,0.068,0.145,27,0.234,0.879,0.107,0.000,0.014,8220,4023,4,0.346,0.000,0.000,1617,0.181,0.159,0.038,39.69
