step,lineage,size,hard,muscle,sensor,digestive,attack,bodies
228000,69,53,25.8,21.3,0.0,16.9,20.3,3
228000,54,22,44.2,0.0,0.0,19.8,0.0,2
229000,74,105,44.0,0.0,0.1,19.7,0.0,15
229000,69,43,25.3,22.0,0.0,16.7,21.0,3
229000,54,43,43.7,0.3,1.0,19.0,0.3,6
230000,74,119,44.7,0.3,0.0,18.6,0.1,23
230000,69,44,25.6,21.6,0.0,16.8,20.6,4
230000,54,30,44.5,0.1,0.0,19.4,0.1,5
231000,74,115,44.4,0.1,0.0,19.5,0.1,15
231000,69,48,24.9,22.0,0.0,17.0,21.1,3
231000,54,25,44.0,0.0,0.0,20.0,0.0,1
232000,74,129,44.7,0.0,0.0,18.8,0.0,30
232000,54,40,42.6,0.9,0.1,20.5,0.2,6
232000,69,30,27.3,19.2,0.0,17.5,18.3,2
233000,74,111,43.7,0.5,0.0,19.2,0.4,28
233000,54,54,42.9,0.1,0.0,21.0,0.1,7
233000,69,34,25.3,21.6,0.0,17.1,20.7,2
234000,74,120,44.5,0.0,0.0,18.9,0.0,25
234000,69,47,30.1,16.7,0.2,17.0,15.9,7
234000,54,23,43.8,0.0,0.0,19.0,0.0,3
235000,74,103,44.3,0.0,0.0,19.4,0.0,21
235000,69,43,26.1,20.9,0.0,17.1,20.0,5
235000,54,31,43.3,0.0,0.2,20.4,0.0,5
236000,69,58,30.1,17.5,0.3,16.1,17.4,9
236000,74,56,46.1,0.0,0.0,17.2,0.0,18
237000,74,106,46.3,0.0,0.0,17.5,0.0,18
237000,69,58,30.4,17.1,0.0,16.5,17.1,2
238000,74,129,46.3,0.1,0.0,17.4,0.1,25
238000,69,46,26.4,21.5,0.0,16.1,21.5,3
239000,74,126,46.8,0.0,0.0,17.2,0.0,17
239000,69,53,24.8,23.8,0.0,15.4,22.8,3
240000,74,121,46.5,0.0,0.0,17.2,0.0,20
240000,69,71,26.0,22.0,0.0,16.0,22.0,2
241000,74,117,46.2,0.0,0.0,17.6,0.0,14
241000,69,55,26.1,22.3,0.0,15.6,22.3,4
242000,74,130,45.1,0.0,0.0,18.6,0.0,19
242000,69,53,25.3,22.9,0.0,15.7,22.5,4
243000,74,131,46.3,0.1,0.0,17.5,0.1,22
243000,69,49,25.0,23.0,0.0,16.0,23.0,1
244000,74,119,46.1,0.1,0.1,17.3,0.1,25
244000,69,56,25.7,22.6,0.0,15.7,22.6,2
245000,74,116,46.6,0.0,0.0,17.3,0.0,20
245000,69,55,25.6,22.6,0.1,15.7,22.6,2
246000,74,148,45.5,0.2,0.0,18.2,0.2,29
246000,69,57,27.2,21.0,0.0,15.8,21.0,4
247000,74,119,46.2,0.0,0.1,17.5,0.0,18
247000,69,45,25.5,22.5,0.0,16.0,22.5,2
248000,74,141,43.4,0.0,0.0,17.0,0.0,31
248000,69,19,25.0,23.0,0.0,16.0,23.0,1
249000,74,121,46.3,0.0,0.0,17.6,0.0,14
249000,69,39,26.3,21.8,0.0,15.9,21.8,2
250000,74,136,46.7,0.0,0.0,17.0,0.0,21
250000,69,53,26.5,21.5,0.0,16.0,21.5,5
251000,74,122,46.1,0.4,0.0,17.4,0.0,21
251000,69,38,25.0,23.0,0.0,16.0,23.0,1
252000,74,130,46.2,0.0,0.0,17.6,0.0,21
252000,69,32,29.0,18.7,0.0,16.3,18.7,4
253000,74,137,46.4,0.0,0.0,17.3,0.0,22
253000,69,38,26.9,21.9,0.0,15.2,21.9,3
254000,74,147,46.3,0.0,0.0,17.0,0.0,26
254000,69,32,27.0,20.8,0.0,16.1,20.8,3
255000,74,140,46.1,0.1,0.0,17.6,0.1,21
255000,76,24,25.0,23.0,0.0,16.0,23.0,1
255000,69,14,25.1,22.9,0.0,16.0,22.9,2
256000,74,119,46.2,0.1,0.0,17.6,0.1,17
256000,69,25,25.0,23.0,0.0,16.0,23.0,1
256000,76,14,25.0,23.0,0.0,16.0,23.0,1
257000,74,92,46.4,0.1,0.0,17.4,0.1,15
257000,69,19,28.3,19.4,0.0,16.3,19.4,2
257000,76,12,25.0,23.0,0.0,16.0,23.0,1
258000,74,125,47.1,0.0,0.0,16.4,0.0,26
258000,76,33,25.0,23.0,0.0,16.0,23.0,1
