step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry
200000,2,716,29.08,0.41,3.76,0.00,9.97,0.49,1.13,0.198,0.116,108476.7,56641.0,16,153,3.03,1.21,1.03,6.1816,506.43,42860.8,0.0191,4.3069,5461,13.5057,83,8.8441,66048.8,71.21,5.6450
210000,0,883,28.02,0.49,4.31,0.00,8.71,0.54,1.16,0.224,0.136,319179.9,166783.5,24,134,2.89,1.26,1.03,14.7941,278.35,11150.4,25.1216,6.3847,5462,24.2379,145,33.1031,258011.9,142.23,3.7045
210000,1,1049,28.72,0.36,4.29,0.00,9.36,0.43,1.12,0.170,0.168,405820.7,278381.5,24,154,3.13,1.19,1.03,35.7669,1451.69,22933.8,14.6631,4.1601,5461,24.2335,52,53.6924,368003.5,86.56,13.0536
210000,2,875,28.81,0.29,4.61,0.00,9.22,0.32,1.10,0.130,0.142,400059.5,279772.2,21,157,2.89,1.16,1.03,37.8343,1024.48,32541.5,6.6576,3.3560,5461,24.2335,76,55.3178,369789.7,71.21,24.2095
220000,0,903,28.32,0.47,4.27,0.00,8.94,0.47,1.16,0.195,0.142,245233.6,121893.2,18,107,2.96,1.26,1.05,10.9374,583.17,12302.2,4.9051,5.7506,5462,13.6933,115,25.3756,188710.3,142.23,1.4937
220000,1,816,28.52,0.31,4.21,0.00,9.42,0.31,1.10,0.127,0.130,137624.6,73629.2,17,138,2.94,1.17,1.03,8.0777,668.60,29205.6,0.4224,4.5645,5461,13.6908,78,12.4609,92478.3,86.56,3.2339
220000,2,724,29.02,0.25,4.05,0.00,9.96,0.24,1.08,0.105,0.118,108750.9,53502.0,17,176,2.99,1.14,1.02,5.4079,579.02,43012.9,0.0273,4.4822,5461,13.6908,106,8.7008,64498.5,71.21,5.7781
230000,0,985,28.91,0.80,4.33,0.00,8.51,0.71,1.25,0.297,0.154,335829.4,191326.6,27,119,3.01,1.42,1.05,19.2702,446.62,12317.0,21.6643,5.4976,5462,24.2202,108,37.8210,283663.4,142.23,3.8208
230000,1,982,29.19,0.49,4.28,0.00,9.33,0.44,1.16,0.184,0.158,411399.6,291209.4,28,130,3.23,1.26,1.03,36.6519,1417.91,21679.3,16.7914,3.7988,5461,24.2157,88,53.6340,377553.0,86.56,14.0636
230000,2,770,28.72,0.46,4.19,0.00,9.26,0.48,1.15,0.200,0.123,385453.4,265666.6,23,112,3.10,1.24,1.05,35.3001,984.64,30680.9,7.0524,3.8998,5461,24.2157,58,50.6959,349073.1,71.21,24.7254
240000,0,969,28.34,0.45,4.13,0.00,9.14,0.41,1.16,0.175,0.152,254059.9,136418.0,20,112,3.05,1.25,1.05,13.4474,468.68,12407.1,3.8356,5.5288,5462,13.5040,116,27.2729,200079.0,142.23,1.4708
240000,1,783,28.77,0.49,3.38,0.00,10.02,0.45,1.16,0.198,0.125,140872.5,77547.4,17,114,3.02,1.27,1.04,8.2340,935.26,28607.9,0.2621,4.5743,5461,13.5016,75,12.6334,95488.1,86.56,3.3909
240000,2,678,29.20,0.41,3.42,0.00,10.35,0.37,1.13,0.156,0.110,105112.3,54410.0,15,140,3.03,1.22,1.03,5.7320,577.25,43198.3,0.0151,4.0283,5461,13.5016,86,8.8352,65448.2,71.21,5.5279
250000,0,1088,27.51,0.62,4.19,0.00,8.31,0.61,1.22,0.256,0.164,330109.3,191895.9,15,133,3.04,1.34,1.07,18.9493,961.40,13844.1,22.8820,5.2633,5462,23.9754,85,37.9516,280128.8,142.23,3.7329
250000,1,960,28.08,0.42,4.66,0.00,8.53,0.42,1.14,0.178,0.149,413973.9,292049.2,16,131,3.02,1.22,1.03,36.2874,1342.84,21019.3,15.1772,3.5615,5461,23.9710,48,56.2462,382409.5,86.56,14.0621
250000,2,888,28.39,0.47,4.77,0.00,8.48,0.44,1.17,0.176,0.140,379591.9,267517.0,14,144,3.09,1.26,1.06,34.3357,1516.04,28543.3,5.8256,3.1062,5461,23.9710,48,52.3548,351499.7,71.21,23.8461
260000,0,900,28.13,0.66,3.40,0.00,9.34,0.53,1.22,0.226,0.138,250696.3,130697.5,16,108,2.98,1.35,1.07,11.6488,287.11,12081.6,4.5946,6.4071,5462,13.8694,96,24.9509,187913.6,142.23,1.5102
260000,1,872,28.08,0.54,3.70,0.00,9.26,0.49,1.17,0.204,0.135,135301.0,69986.0,17,166,3.05,1.27,1.05,7.1896,698.15,29837.0,0.3252,4.7103,5461,13.8669,80,12.0495,88682.8,86.56,3.3306
260000,2,710,28.51,0.51,3.53,0.00,9.70,0.41,1.16,0.172,0.112,110746.2,60579.1,15,167,3.03,1.26,1.05,6.5221,376.72,44258.8,0.0481,4.3856,5461,13.8669,76,9.0667,67529.7,71.21,5.5793
