step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
3000,30,0,4695,242.6277,268.20,73.46,23.15,69,38.18,17.086,3.176,0.1029,215.499
3000,30,1,2075,354.1652,325.92,842.98,27.60,83,37.35,16.541,3.375,0.2307,424.003
3000,30,2,2504,520.9679,375.35,7345.57,31.46,153,28.71,12.177,6.346,0.5375,612.862
3000,40,0,4971,274.0835,327.02,59.28,15.07,40,35.28,14.779,3.477,0.0973,139.938
3000,40,1,1487,265.5296,230.99,626.37,33.72,51,37.05,15.682,2.896,0.2670,389.336
3000,40,2,1712,340.9102,135.20,4419.80,36.99,152,28.51,11.234,5.681,0.6123,557.557
3000,50,0,4767,231.5381,255.24,26.40,10.75,17,31.51,11.700,3.778,0.0824,67.000
3000,50,1,286,46.5919,22.66,110.79,35.87,11,35.17,13.675,2.678,0.3559,330.518
3000,50,2,663,153.2626,51.69,1403.91,35.90,56,27.54,9.778,5.131,0.7261,487.657
3000,60,0,3821,92.7869,100.87,11.53,12.75,3,28.17,8.391,3.514,0.0554,22.675
3000,60,1,30,23.6957,19.28,10.63,26.00,2,26.15,7.104,3.849,0.6235,179.196
3000,60,2,4,2.6163,1.84,6.67,15.39,0,21.11,5.146,5.955,0.9507,260.409
3000,70,0,4651,81.9334,87.59,7.39,24.31,0,29.37,6.017,1.140,0.0296,3.686
3000,70,1,5,6.5915,6.63,0.98,39.21,0,21.03,2.887,3.971,0.7427,90.731
3000,80,0,3564,39.2203,35.28,2.74,32.21,0,31.97,4.098,0.009,0.0216,0.008
4000,-60,0,2539,0.3142,37.68,50.63,-5.26,5,-14.61,0.000,29.615,0.3886,4.386
4000,-60,1,2600,0.3884,72.54,1015.70,-9.97,2,-16.14,0.000,31.138,0.6709,4.444
4000,-60,2,2595,0.2643,67.14,4617.70,-9.45,16,-18.68,0.000,33.682,0.9824,3.874
4000,-50,0,4594,108.8332,194.98,76.49,6.25,21,-4.37,0.000,19.859,0.3364,8.927
4000,-50,1,2299,87.3764,157.11,993.87,-2.78,20,-6.20,0.000,21.507,0.6084,14.179
4000,-50,2,1805,62.2130,88.80,4095.98,13.77,31,-9.75,0.000,24.843,0.9206,13.725
4000,-40,0,4892,324.9682,291.57,77.20,17.61,121,6.67,0.720,12.616,0.3557,27.528
4000,-40,1,1568,169.2835,139.15,579.48,16.23,50,5.32,0.566,13.538,0.5524,40.852
4000,-40,2,1621,203.4646,157.31,4102.73,30.85,66,-0.24,0.141,17.528,0.8813,44.308
4000,-30,0,2469,360.4760,188.96,43.42,32.47,168,16.11,3.977,8.672,0.4789,88.488
4000,-30,1,2097,298.9798,193.07,833.54,22.09,117,14.49,3.514,9.513,0.5364,95.470
4000,-30,2,3611,415.4948,207.11,12524.30,38.69,295,7.43,1.890,13.843,0.9018,103.272
4000,-20,0,1123,178.2921,179.21,16.84,48.83,14,25.47,8.893,5.901,0.2681,122.161
4000,-20,1,1305,164.2157,126.83,608.93,34.48,54,21.96,7.364,7.244,0.4176,164.257
4000,-20,2,5791,530.5073,265.01,25674.25,43.22,434,12.29,4.100,12.194,0.9062,188.879
4000,-10,0,1604,261.7455,109.17,30.04,59.91,13,32.87,13.487,4.170,0.2641,248.120
4000,-10,1,929,185.6653,130.59,415.62,57.36,41,29.14,11.568,5.349,0.3408,287.308
4000,-10,2,5691,600.8676,320.49,27342.70,48.13,640,16.87,6.535,10.821,0.8797,342.175
4000,0,0,1653,225.2311,198.66,25.76,62.25,2,38.77,17.370,2.966,0.1595,283.343
