step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
250000,0,924,29.69,0.01,6.68,0.02,8.23,0.00,1.00,0.002,0.158,552322.1,414224.0,12,66,3.47,1.01,1.00,71.6632,3467.59,85867.3,0.0206,0.3240,5462,17.0517,15,83.4025,559744.7
250000,1,786,28.27,0.01,6.24,0.03,8.33,0.01,1.00,0.005,0.131,329380.4,214552.2,16,90,3.43,1.00,1.00,31.8353,1795.94,6371.0,28.9479,7.2827,5461,17.0485,11,38.4795,258250.7
250000,2,422,24.74,0.09,5.81,0.02,7.78,0.00,1.03,0.000,0.066,163778.6,58287.8,11,143,3.31,1.03,1.03,1.0673,63.54,120.7,44.4542,15.4119,5461,17.0485,5,1.1579,9809.5
260000,0,856,28.95,0.14,6.15,0.06,8.89,0.00,1.03,0.001,0.149,221957.0,138973.8,16,121,3.55,1.02,1.04,17.4265,1581.72,93445.0,0.0000,5.0293,5462,13.7563,27,23.1029,171895.8
260000,1,715,26.88,0.06,5.97,0.02,8.33,0.00,1.02,0.000,0.118,180852.8,91308.4,16,92,3.43,1.01,1.02,9.4058,1111.08,8779.9,4.8883,9.1064,5461,13.7537,26,11.7419,89799.0
260000,2,406,24.29,0.08,5.67,0.01,7.48,0.00,1.03,0.000,0.061,130833.0,39928.1,16,126,3.12,1.02,1.03,1.0721,67.40,103.3,9.4321,12.4912,5461,13.7537,3,0.7277,5727.8
270000,0,1110,30.11,0.00,6.63,0.04,8.45,0.00,1.00,0.002,0.192,546362.5,408598.5,34,145,3.55,1.00,1.00,71.5543,2804.65,86038.7,0.1361,0.4180,5462,16.6466,18,83.8673,553369.2
270000,1,758,27.83,0.04,6.38,0.01,7.91,0.00,1.02,0.000,0.124,323643.8,208068.8,25,84,3.37,1.02,1.02,30.2142,845.68,6528.2,27.8712,7.0368,5461,16.6435,42,37.3846,255210.8
270000,2,447,25.63,0.21,5.77,0.01,8.09,0.01,1.06,0.004,0.072,162780.5,55615.4,24,144,3.24,1.05,1.04,1.0399,33.14,71.8,46.0317,15.3447,5461,16.6435,7,1.1506,9616.0
280000,0,951,27.19,0.09,5.50,0.06,9.24,0.01,1.03,0.004,0.162,228060.8,145523.7,13,92,3.38,1.03,1.02,18.9329,1651.19,93400.5,0.0000,5.2948,5462,13.9186,20,23.0611,175296.8
280000,1,667,28.63,0.09,5.87,0.01,8.93,0.00,1.03,0.001,0.114,177229.7,84735.6,14,122,3.47,1.03,1.02,8.9755,949.33,9144.8,4.9750,9.0849,5461,13.9160,31,11.3717,86162.3
280000,2,403,24.12,0.08,5.02,0.10,8.45,0.00,1.02,0.000,0.063,133219.4,36113.0,15,127,3.30,1.01,1.01,1.1697,81.02,85.5,9.3890,12.6744,5461,13.9160,8,0.7775,6242.4
290000,0,1089,29.90,0.01,6.18,0.03,8.76,0.00,1.00,0.001,0.187,540955.2,424330.2,14,121,3.51,1.00,1.00,72.5605,3361.90,87166.5,0.0931,0.4120,5462,17.2582,13,80.8308,547632.5
290000,1,740,28.10,0.02,5.90,0.02,8.65,0.01,1.01,0.004,0.123,366695.5,245023.0,16,89,3.36,1.00,1.00,37.8678,1277.29,7197.9,29.0897,7.1062,5461,17.2551,36,42.2021,297612.3
290000,2,454,26.05,0.08,5.47,0.00,8.68,0.00,1.02,0.002,0.074,164079.1,51356.3,11,139,3.26,1.02,1.02,1.3523,108.29,129.6,44.4394,15.3168,5461,17.2551,18,1.3431,11249.8
300000,0,870,27.98,0.06,5.63,0.01,9.47,0.00,1.02,0.002,0.151,226653.0,145987.9,15,115,3.46,1.01,1.01,19.1469,2054.42,92913.3,0.0000,5.7251,5462,13.7745,24,22.0736,169512.4
300000,1,758,28.08,0.09,5.72,0.01,9.12,0.01,1.03,0.004,0.129,180827.8,85314.6,15,129,3.37,1.03,1.03,9.4108,1093.66,8693.2,5.0213,9.2723,5461,13.7720,16,11.4116,87966.4
300000,2,389,25.99,0.19,5.59,0.07,8.41,0.00,1.07,0.000,0.064,132053.7,35073.4,15,141,3.26,1.04,1.05,1.3237,68.97,164.3,9.8041,12.4728,5461,13.7720,8,0.9067,7221.9
