step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
190000,0,708,7.08,0.00,0.07,0.06,6.95,0.00,1.00,0.000,0.057,355929.4,6297.2,1,71,3.18,1.00,1.00,0.7054,9.02,116039.2,0.0000,34.6839,5462,33.9098
190000,1,686,7.21,0.00,0.00,0.17,7.04,0.00,1.00,0.000,0.057,351679.5,5956.1,1,51,3.24,1.00,1.00,0.6651,8.12,19630.3,0.5021,34.2622,5461,33.9036
190000,2,681,7.23,0.00,0.08,0.02,7.12,0.00,1.00,0.000,0.056,338022.7,5205.4,1,37,3.23,1.00,1.00,0.5814,5.56,187.7,2.2700,32.9745,5461,33.9036
200000,0,692,7.13,0.00,0.02,0.00,7.11,0.00,1.00,0.000,0.056,356249.3,6143.5,1,58,3.16,1.00,1.00,0.6859,4.13,116005.8,0.0000,34.6954,5462,33.9085
200000,1,704,7.21,0.00,0.00,0.06,7.15,0.00,1.00,0.000,0.058,351565.8,5755.3,1,56,3.18,1.00,1.00,0.6413,6.93,19580.2,0.4965,34.2546,5461,33.9023
200000,2,667,7.15,0.00,0.01,0.15,6.98,0.00,1.00,0.000,0.055,338268.0,5127.2,1,34,3.20,1.00,1.00,0.5739,11.13,164.6,2.2418,32.9722,5461,33.9023
210000,0,703,7.55,0.06,0.00,0.13,7.36,0.00,1.01,0.000,0.061,355998.7,6200.7,1,53,3.27,1.00,1.02,0.6939,8.78,115982.9,0.0000,34.7026,5462,33.9215
210000,1,696,7.17,0.00,0.04,0.04,7.09,0.00,1.00,0.000,0.057,351707.3,5766.0,1,57,3.18,1.00,1.00,0.6444,6.74,19643.6,0.5005,34.2636,5461,33.9153
210000,2,680,7.05,0.05,0.01,0.01,6.97,0.00,1.01,0.000,0.055,338267.2,5203.6,1,44,3.18,1.01,1.02,0.5798,6.99,191.7,2.2343,32.9802,5461,33.9153
220000,0,711,7.15,0.00,0.00,0.16,6.99,0.00,1.00,0.000,0.058,356815.2,6241.1,1,57,3.20,1.00,1.00,0.6967,8.21,116020.1,0.0000,34.7478,5462,33.9519
220000,1,704,7.26,0.00,0.00,0.03,7.23,0.00,1.00,0.000,0.059,352128.2,5936.0,1,40,3.17,1.00,1.00,0.6620,3.78,19611.9,0.4825,34.3014,5461,33.9456
220000,2,663,7.07,0.00,0.00,0.09,6.98,0.00,1.00,0.000,0.054,338446.0,5282.4,1,38,3.21,1.00,1.00,0.5888,6.99,181.8,2.2168,32.9962,5461,33.9456
230000,0,687,7.03,0.00,0.00,0.08,6.95,0.00,1.00,0.000,0.055,356389.1,6217.6,1,56,3.23,1.00,1.00,0.6939,4.04,116068.0,0.0000,34.7112,5462,33.9375
230000,1,693,7.28,0.00,0.02,0.16,7.09,0.00,1.00,0.000,0.058,352050.5,5926.4,1,58,3.23,1.00,1.00,0.6621,6.18,19591.3,0.4998,34.2888,5461,33.9313
230000,2,668,7.09,0.00,0.00,0.09,7.00,0.00,1.00,0.000,0.054,338615.5,5305.5,1,49,3.20,1.00,1.00,0.5915,8.40,187.1,2.2578,32.9994,5461,33.9313
