step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
260000,1,619,9.01,0.03,0.01,0.00,8.97,0.00,1.01,0.000,0.064,347122.3,4140.5,1,33,3.23,1.00,1.01,0.4750,2.29,2630.0,1.1103,33.6242,5461,30.7562
260000,2,655,9.18,0.08,0.04,0.02,9.05,0.00,1.02,0.000,0.069,354997.7,4419.7,1,43,3.22,1.01,1.03,0.5039,4.02,2055.3,0.0015,34.2894,5461,45.1377
270000,0,472,8.27,0.06,0.00,0.00,8.21,0.00,1.02,0.000,0.045,248056.6,2572.0,2,71,3.20,1.00,1.02,0.3145,5.98,2716.5,14.8874,24.7938,5462,16.6345
270000,1,635,8.92,0.05,0.00,0.00,8.87,0.00,1.01,0.000,0.065,347183.7,4143.9,2,21,3.21,1.00,1.02,0.4748,5.01,2591.9,1.1098,33.6270,5461,30.7562
270000,2,652,9.04,0.04,0.00,0.00,9.01,0.00,1.01,0.000,0.067,355008.2,4420.6,1,38,3.27,1.00,1.01,0.5025,3.04,2060.6,0.0011,34.2920,5461,45.1377
280000,0,479,8.17,0.01,0.00,0.00,8.16,0.00,1.00,0.000,0.045,247474.6,2508.8,2,75,3.22,1.00,1.00,0.3055,4.40,2627.7,14.7773,24.7458,5462,16.6345
280000,1,641,9.21,0.12,0.00,0.00,9.09,0.00,1.04,0.000,0.068,347178.4,4111.2,2,32,3.23,1.03,1.05,0.4705,5.20,2471.0,1.1189,33.6523,5461,30.7562
280000,2,656,9.02,0.03,0.02,0.01,8.96,0.00,1.01,0.000,0.068,355015.8,4525.2,1,48,3.26,1.00,1.01,0.5166,8.30,2064.9,0.0015,34.3285,5461,45.1377
290000,0,475,8.25,0.01,0.00,0.00,8.24,0.00,1.00,0.000,0.045,246994.5,2551.3,2,83,3.20,1.00,1.00,0.3116,5.98,2662.6,14.8379,24.7172,5462,16.6345
290000,1,635,9.05,0.06,0.00,0.00,8.99,0.00,1.02,0.000,0.066,347457.8,4109.8,2,18,3.24,1.00,1.02,0.4714,6.52,2501.6,1.1288,33.6551,5461,30.7562
290000,2,660,9.07,0.11,0.00,0.00,8.95,0.00,1.04,0.000,0.068,355428.3,4489.9,1,42,3.25,1.00,1.04,0.5127,4.18,2048.9,0.0014,34.3318,5461,45.1377
300000,0,482,8.37,0.03,0.00,0.00,8.33,0.00,1.01,0.000,0.046,247625.7,2589.0,2,75,3.28,1.00,1.01,0.3155,5.97,2717.0,14.7225,24.7639,5462,16.6345
300000,1,633,9.08,0.05,0.02,0.01,8.99,0.00,1.01,0.000,0.066,346933.7,4123.4,2,24,3.22,1.00,1.02,0.4722,7.20,2552.0,1.1061,33.6232,5461,30.7562
300000,2,655,9.10,0.02,0.00,0.00,9.08,0.00,1.01,0.000,0.068,355134.9,4380.2,1,41,3.27,1.00,1.01,0.4984,3.20,2054.6,0.0012,34.3071,5461,45.1377
310000,0,487,8.25,0.01,0.00,0.00,8.23,0.00,1.00,0.000,0.046,247726.1,2564.5,2,70,3.23,1.00,1.01,0.3117,4.72,2639.6,14.7827,24.7484,5462,16.6345
310000,1,641,9.05,0.01,0.00,0.00,9.04,0.00,1.00,0.000,0.066,347123.8,4188.6,2,26,3.21,1.00,1.00,0.4794,6.02,2564.3,1.1186,33.6415,5461,30.7562
310000,2,644,9.14,0.07,0.03,0.00,9.04,0.00,1.02,0.000,0.067,355057.9,4425.3,1,29,3.24,1.00,1.02,0.5031,6.33,2044.1,0.0012,34.3224,5461,45.1377
320000,0,468,8.40,0.06,0.00,0.00,8.34,0.00,1.02,0.000,0.045,247648.7,2574.0,2,79,3.27,1.00,1.02,0.3134,6.72,2730.4,14.7176,24.7588,5462,16.6345
320000,1,632,8.95,0.05,0.00,0.00,8.89,0.00,1.02,0.000,0.064,346879.2,4146.2,2,25,3.26,1.01,1.02,0.4749,5.63,2589.4,1.1077,33.6215,5461,30.7562
320000,2,654,9.04,0.01,0.00,0.00,9.02,0.00,1.00,0.000,0.068,355041.9,4420.4,1,53,3.24,1.00,1.00,0.5029,4.28,2041.3,0.0017,34.3139,5461,45.1377
330000,0,489,8.34,0.06,0.00,0.01,8.27,0.00,1.02,0.000,0.047,247629.5,2584.3,2,79,3.26,1.01,1.02,0.3139,4.01,2736.9,14.7837,24.7455,5462,16.6345
330000,1,635,9.06,0.04,0.00,0.00,9.01,0.00,1.01,0.000,0.065,347575.9,4128.6,2,18,3.25,1.00,1.02,0.4727,4.87,2597.2,1.0968,33.6500,5461,30.7562
330000,2,641,9.20,0.15,0.00,0.00,9.05,0.00,1.04,0.000,0.068,355119.5,4340.2,1,31,3.25,1.01,1.05,0.4932,5.74,2057.8,0.0012,34.3046,5461,45.1377
340000,0,489,8.44,0.15,0.00,0.00,8.29,0.00,1.04,0.000,0.047,248092.8,2566.3,2,79,3.27,1.01,1.05,0.3120,6.42,2687.9,14.7180,24.7878,5462,16.6345
340000,1,636,8.87,0.04,0.00,0.00,8.83,0.00,1.01,0.000,0.065,346583.3,4117.3,2,20,3.15,1.00,1.01,0.4732,6.31,2525.2,1.1389,33.6230,5461,30.7562
340000,2,659,9.15,0.10,0.00,0.00,9.04,0.00,1.03,0.000,0.069,355062.5,4348.0,1,38,3.23,1.00,1.04,0.4934,4.25,2048.3,0.0019,34.3059,5461,45.1377
350000,0,478,8.30,0.09,0.01,0.00,8.21,0.00,1.04,0.000,0.045,247475.0,2568.8,2,74,3.23,1.03,1.04,0.3133,2.52,2700.9,14.8356,24.7424,5462,16.6345
350000,1,639,8.97,0.09,0.01,0.00,8.87,0.00,1.03,0.002,0.066,347373.0,4060.0,2,19,3.22,1.00,1.03,0.4651,4.10,2607.2,1.1649,33.6422,5461,30.7562
350000,2,646,9.02,0.02,0.00,0.00,8.99,0.00,1.01,0.000,0.067,355194.6,4414.1,1,35,3.25,1.00,1.01,0.5024,7.57,2047.3,0.0015,34.3113,5461,45.1377
360000,0,491,8.19,0.02,0.00,0.01,8.16,0.00,1.01,0.000,0.046,247640.9,2639.4,2,86,3.24,1.01,1.01,0.3236,6.80,2688.7,14.7955,24.7531,5462,16.6345
360000,1,630,9.08,0.07,0.02,0.00,9.00,0.00,1.03,0.000,0.066,347333.4,4185.5,2,16,3.25,1.01,1.02,0.4815,7.56,2552.4,1.1243,33.6378,5461,30.7562
360000,2,673,9.16,0.08,0.00,0.01,9.07,0.00,1.02,0.000,0.070,355409.4,4389.4,1,47,3.24,1.00,1.03,0.5002,12.00,2067.6,0.0013,34.3248,5461,45.1377
370000,0,490,8.28,0.07,0.00,0.00,8.21,0.00,1.02,0.000,0.046,247773.0,2609.6,2,85,3.17,1.00,1.02,0.3182,9.20,2720.5,14.7994,24.7571,5462,16.6345
370000,1,649,8.90,0.05,0.00,0.00,8.86,0.00,1.02,0.000,0.066,346800.7,4057.0,2,21,3.21,1.00,1.02,0.4636,5.32,2618.2,1.1229,33.6193,5461,30.7562
370000,2,645,9.02,0.05,0.00,0.00,8.97,0.00,1.02,0.000,0.067,355198.7,4422.6,1,37,3.20,1.00,1.02,0.5028,9.10,2067.5,0.0013,34.3183,5461,45.1377
380000,0,480,8.30,0.05,0.00,0.00,8.25,0.00,1.02,0.000,0.046,247671.0,2577.8,2,61,3.20,1.00,1.02,0.3133,8.42,2567.7,14.7738,24.7633,5462,16.6345
380000,1,633,9.00,0.09,0.00,0.02,8.90,0.00,1.02,0.000,0.065,346959.4,4081.3,2,19,3.26,1.00,1.03,0.4661,3.37,2514.0,1.1136,33.6299,5461,30.7562
380000,2,639,9.05,0.09,0.01,0.00,8.95,0.00,1.04,0.000,0.066,355359.2,4352.3,1,33,3.23,1.01,1.03,0.4951,4.91,2039.4,0.0015,34.3376,5461,45.1377
390000,0,482,8.18,0.04,0.00,0.02,8.12,0.00,1.02,0.000,0.045,247770.5,2580.3,2,73,3.21,1.01,1.02,0.3140,4.41,2697.6,14.7555,24.7565,5462,16.6345
390000,1,634,9.16,0.06,0.02,0.00,9.07,0.00,1.02,0.000,0.066,347027.8,4097.7,2,26,3.26,1.00,1.02,0.4700,4.82,2590.4,1.1100,33.6165,5461,30.7562
390000,2,655,9.16,0.08,0.00,0.01,9.08,0.00,1.03,0.000,0.069,355079.0,4301.7,1,42,3.28,1.01,1.03,0.4895,5.50,2058.5,0.0015,34.3086,5461,45.1377
400000,0,480,8.36,0.06,0.00,0.00,8.29,0.00,1.02,0.000,0.046,247689.1,2639.0,2,86,3.23,1.00,1.02,0.3225,1.58,2682.8,14.7642,24.7654,5462,16.6345
400000,1,644,9.22,0.11,0.02,0.00,9.08,0.00,1.03,0.000,0.067,346898.4,4014.9,2,26,3.24,1.00,1.03,0.4588,10.14,2556.3,1.1174,33.6207,5461,30.7562
400000,2,641,9.02,0.01,0.00,0.00,9.00,0.00,1.00,0.000,0.067,355082.6,4364.4,1,40,3.23,1.00,1.00,0.4956,3.83,2035.7,0.0015,34.3244,5461,45.1377
410000,0,470,8.33,0.03,0.00,0.01,8.29,0.00,1.01,0.000,0.045,247103.5,2588.6,2,67,3.20,1.00,1.01,0.3154,5.90,2522.7,14.9628,24.7226,5462,16.6345
410000,1,624,9.01,0.07,0.03,0.00,8.91,0.00,1.02,0.000,0.064,347290.3,4015.0,1,21,3.25,1.00,1.03,0.4574,3.14,2460.1,1.1313,33.6386,5461,30.7562
410000,2,667,9.24,0.12,0.00,0.00,9.11,0.00,1.03,0.000,0.071,355599.5,4430.0,1,50,3.28,1.00,1.04,0.5054,6.62,2068.8,0.0013,34.3643,5461,45.1377
420000,0,480,8.47,0.01,0.00,0.00,8.45,0.00,1.00,0.000,0.046,247341.5,2597.6,2,74,3.24,1.00,1.00,0.3167,9.56,2689.9,14.9806,24.7410,5462,16.6345
420000,1,642,9.03,0.08,0.00,0.00,8.95,0.00,1.03,0.000,0.067,347173.9,4088.1,1,21,3.23,1.01,1.03,0.4681,3.80,2554.5,1.1904,33.6322,5461,30.7562
420000,2,658,9.22,0.18,0.01,0.03,8.99,0.00,1.06,0.000,0.069,354997.0,4387.2,1,44,3.25,1.02,1.07,0.4992,6.88,2039.2,0.0014,34.3083,5461,45.1377
430000,0,494,8.46,0.11,0.01,0.02,8.33,0.00,1.04,0.000,0.048,247269.3,2590.4,2,84,3.20,1.02,1.04,0.3146,6.01,2640.2,15.0001,24.7288,5462,16.6345
430000,1,645,8.93,0.04,0.00,0.00,8.88,0.00,1.01,0.000,0.066,347055.5,3993.2,2,27,3.24,1.00,1.01,0.4573,9.60,2512.5,1.1528,33.6280,5461,30.7562
430000,2,667,9.01,0.05,0.00,0.00,8.96,0.00,1.01,0.000,0.069,355446.3,4417.0,1,40,3.24,1.00,1.02,0.5028,4.33,2043.5,0.0015,34.3550,5461,45.1377
440000,0,483,8.30,0.06,0.00,0.00,8.23,0.00,1.02,0.000,0.046,246915.6,2546.4,2,91,3.18,1.00,1.03,0.3105,6.09,2618.4,15.0352,24.6755,5462,16.6345
440000,1,636,8.98,0.08,0.00,0.00,8.90,0.00,1.02,0.000,0.065,347063.5,4088.4,1,24,3.19,1.00,1.03,0.4690,8.52,2541.4,1.1816,33.6417,5461,30.7562
440000,2,657,8.96,0.09,0.00,0.00,8.87,0.00,1.03,0.000,0.068,356155.9,4466.3,1,33,3.19,1.00,1.04,0.5107,4.97,2058.7,0.0019,34.3890,5461,45.1377
450000,0,457,8.39,0.02,0.00,0.00,8.37,0.00,1.01,0.000,0.044,247142.3,2589.1,2,84,3.21,1.00,1.01,0.3159,8.21,2677.4,15.0254,24.7056,5462,16.6345
450000,1,633,9.02,0.04,0.00,0.00,8.98,0.00,1.01,0.000,0.065,347353.6,4005.8,1,23,3.25,1.00,1.01,0.4586,3.71,2528.5,1.1712,33.6537,5461,30.7562
