step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain
380000,1,769,7.15,0.13,0.00,0.00,7.01,0.00,1.03,0.000,0.063,375022.7,3370.1,1,70,2.46,1.02,1.04,0.3833,2.10,32760.8,0.0366,36.5692,5461,18.3510
380000,2,769,6.96,0.04,0.00,0.00,6.92,0.00,1.01,0.000,0.061,374828.4,3429.6,1,95,2.48,1.00,1.01,0.3905,3.84,2882.5,0.0723,36.5444,5461,27.1936
390000,0,755,7.07,0.12,0.00,0.00,6.95,0.00,1.04,0.000,0.062,375518.4,3414.5,1,72,2.44,1.03,1.05,0.3896,7.55,100591.0,0.0000,36.6076,5462,9.2428
390000,1,740,6.94,0.01,0.00,0.01,6.92,0.00,1.01,0.000,0.058,375131.2,3343.1,1,76,2.44,1.00,1.01,0.3811,9.36,32735.0,0.0375,36.5828,5461,18.3526
390000,2,763,7.13,0.05,0.00,0.04,7.03,0.00,1.02,0.000,0.062,374599.6,3358.2,1,76,2.46,1.01,1.02,0.3823,2.88,2919.2,0.0743,36.5327,5461,27.1959
400000,0,758,7.15,0.14,0.00,0.04,6.97,0.00,1.04,0.000,0.062,375570.0,3401.1,1,80,2.43,1.03,1.04,0.3877,5.61,100562.0,0.0000,36.6224,5462,9.2442
400000,1,769,6.99,0.04,0.00,0.01,6.94,0.00,1.01,0.000,0.061,375028.7,3415.8,1,70,2.45,1.01,1.01,0.3890,6.07,32742.2,0.0384,36.5710,5461,18.3554
400000,2,748,7.00,0.02,0.00,0.00,6.98,0.00,1.01,0.000,0.060,374975.2,3382.5,1,85,2.43,1.01,1.01,0.3845,3.97,2893.5,0.0706,36.5525,5461,27.2001
410000,0,753,6.96,0.05,0.00,0.00,6.91,0.00,1.02,0.000,0.060,375441.8,3356.8,1,84,2.45,1.02,1.02,0.3822,3.30,100588.9,0.0000,36.6066,5462,9.2448
410000,1,744,7.05,0.09,0.00,0.00,6.96,0.00,1.03,0.000,0.060,375142.1,3353.2,1,69,2.42,1.02,1.03,0.3820,4.54,32743.6,0.0370,36.5791,5461,18.3567
410000,2,752,6.99,0.04,0.00,0.00,6.95,0.00,1.01,0.000,0.060,374809.4,3375.0,1,88,2.46,1.01,1.01,0.3842,3.64,2898.6,0.0738,36.5582,5461,27.2020
420000,0,762,7.06,0.10,0.00,0.00,6.96,0.00,1.03,0.000,0.062,375432.8,3348.4,1,83,2.48,1.02,1.04,0.3810,4.31,100617.3,0.0000,36.6176,5462,9.2463
420000,1,767,7.01,0.02,0.00,0.00,6.99,0.00,1.01,0.000,0.061,375140.1,3308.6,1,75,2.49,1.01,1.01,0.3764,4.56,32771.7,0.0384,36.5835,5461,18.3595
420000,2,760,7.07,0.10,0.00,0.00,6.97,0.00,1.03,0.000,0.062,374833.8,3348.6,1,86,2.42,1.02,1.03,0.3811,3.74,2919.8,0.0711,36.5529,5461,27.2062
430000,0,759,6.99,0.06,0.00,0.00,6.93,0.00,1.02,0.000,0.061,375507.2,3367.6,1,91,2.45,1.02,1.02,0.3836,4.60,100595.8,0.0000,36.6161,5462,9.2459
430000,1,755,7.06,0.10,0.00,0.00,6.96,0.00,1.04,0.000,0.061,375151.6,3348.6,1,76,2.39,1.03,1.03,0.3810,2.76,32754.1,0.0356,36.5837,5461,18.3588
430000,2,767,7.11,0.14,0.00,0.00,6.98,0.00,1.04,0.000,0.063,374929.2,3350.4,1,78,2.44,1.03,1.05,0.3816,2.99,2932.3,0.0685,36.5621,5461,27.2051
440000,0,754,6.98,0.06,0.00,0.00,6.92,0.00,1.01,0.000,0.060,375516.1,3376.0,1,66,2.44,1.00,1.01,0.3852,3.34,100564.9,0.0000,36.6084,5462,9.2422
440000,1,766,7.01,0.08,0.00,0.01,6.92,0.00,1.04,0.000,0.062,374959.7,3412.1,1,81,2.38,1.03,1.03,0.3898,7.62,32740.1,0.0369,36.5676,5461,18.3514
440000,2,748,7.12,0.07,0.00,0.00,7.05,0.00,1.02,0.000,0.061,374790.7,3324.9,1,70,2.49,1.02,1.02,0.3789,8.62,2894.0,0.0729,36.5495,5461,27.1942
450000,0,774,7.03,0.16,0.00,0.01,6.86,0.00,1.05,0.000,0.063,375564.5,3320.6,1,76,2.46,1.05,1.05,0.3782,4.54,100581.2,0.0000,36.6179,5462,9.2445
450000,1,748,7.08,0.07,0.00,0.00,7.01,0.00,1.02,0.000,0.060,375144.4,3373.0,1,67,2.47,1.01,1.02,0.3851,7.53,32744.3,0.0381,36.5757,5461,18.3560
