run,bodies,share,in_crowns
crown 9,141,0.00083238,0
crown 9,89,0.00052541,0
crown 9,53,0.00031288,0
crown 9,69,0.00040734,0
crown 9,224,0.0013224,0
crown 9,1300,0.0076745,0.00076923
crown 9,150,0.00088551,0
crown 9,59,0.0003483,0
crown 9,160,0.00094455,0
crown 9,57,0.0003365,0
crown 9,353,0.0020839,0
crown 9,135,0.00079696,0
crown 9,107,0.00063167,0
crown 9,86,0.0005077,0
crown 9,102,0.00060215,0
crown 9,167,0.00098587,0
crown 9,152,0.00089732,0
crown 9,84,0.00049589,0.011905
crown 9,66,0.00038963,0
crown 9,198,0.0011689,0.015152
crown 9,69,0.00040734,0
crown 9,62,0.00036601,0
crown 9,71,0.00041914,0
crown 9,128,0.00075564,0
crown 9,129,0.00076154,0.0077519
crown 9,146,0.0008619,0
crown 9,80,0.00047227,0
crown 9,93,0.00054902,0
crown 9,76,0.00044866,0
crown 9,114,0.00067299,0
crown 9,50,0.00029517,0
crown 9,136,0.00080287,0
crown 9,61,0.00036011,0
crown 9,106,0.00062576,0
crown 9,114,0.00067299,0
crown 9,91,0.00053721,0
crown 9,84,0.00049589,0
crown 9,83,0.00048998,0
crown 9,146,0.0008619,0
crown 9,99,0.00058444,0
crown 9,57,0.0003365,0
crown 9,57,0.0003365,0
crown 9,52,0.00030698,0
crown 9,83,0.00048998,0
crown 9,53,0.00031288,0
crown 9,172,0.0010154,0
crown 9,62,0.00036601,0
crown 9,103,0.00060805,0
crown 9,110,0.00064938,0
crown 9,181,0.0010685,0
crown 9,65,0.00038372,0
crown 10,170,0.001405,0
crown 10,333,0.0027522,0
crown 10,147,0.0012149,0
