step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut,crossers,pop_none
330000,7794,1.867,0.020,10.99,757260,732468,3244,4428,16996,7359189,4656488.5,548662.4,0.435,0.146,0.141,0.126,0.152,205,18.31,21.46,7.86,16.40,0.64,2.56,0.17,1.51,9.64,9.15,0.20,0.77,0.015,0.064,2007,0.085,0.771,0.128,0.002,0.098,716034,584476,50,0.170,0.220,0.033,2329974,0.103,0.111,0.000,641.77,303352,261,0.075,0.267,0.034,142861444,3.13,15.15,0.129,0.262,0.072,4,7,64,64,4317,49,11.98,0.0062,0.020,290
340000,7740,1.881,0.022,10.98,751792,730683,3547,2539,15077,6807236,4681971.0,521712.4,0.449,0.146,0.140,0.121,0.145,210,18.23,22.12,7.87,16.63,0.62,2.59,0.21,1.91,9.54,9.66,0.18,0.73,0.015,0.065,1906,0.074,0.797,0.109,0.002,0.092,710939,588713,45,0.154,0.111,0.027,2436067,0.110,0.143,0.000,644.84,304569,149,0.077,0.402,0.031,127128889,3.15,15.41,0.145,0.290,0.063,3,6,64,64,4296,55,8.91,0.0063,0.012,255
350000,7818,1.868,0.021,10.99,742049,722877,3171,2317,13606,6643608,4753005.0,511514.7,0.447,0.145,0.138,0.125,0.144,193,19.13,22.48,8.05,16.72,0.70,2.71,0.12,1.53,10.27,10.74,0.19,0.78,0.021,0.074,1894,0.072,0.783,0.110,0.003,0.104,701257,574488,48,0.110,0.130,0.022,2289728,0.108,0.101,0.000,646.65,298006,153,0.077,0.503,0.039,113204745,3.18,14.88,0.145,0.332,0.066,3,7,64,64,4254,57,7.10,0.0059,0.010,288
360000,7878,1.838,0.021,10.69,760586,740347,3762,2419,13998,7039602,4686824.5,513112.2,0.455,0.159,0.150,0.106,0.129,212,18.25,22.15,7.36,16.55,0.70,2.83,0.28,2.54,9.91,10.81,0.19,0.78,0.019,0.073,1890,0.081,0.787,0.104,0.003,0.107,719274,604579,41,0.275,0.047,0.035,2262510,0.095,0.107,0.000,647.65,303433,155,0.073,0.486,0.036,113410712,3.04,15.26,0.147,0.301,0.060,3,6,64,64,4409,42,6.11,0.0060,0.007,297
370000,7703,1.888,0.020,10.97,734093,712149,3155,3398,15566,6439302,4805618.0,523148.6,0.421,0.169,0.159,0.116,0.135,218,19.34,22.66,8.35,16.94,0.66,2.64,0.21,1.79,10.12,10.05,0.17,0.72,0.020,0.077,2167,0.045,0.804,0.104,0.006,0.086,690838,561251,28,0.378,0.111,0.039,2403888,0.095,0.088,0.000,647.55,299186,198,0.081,0.434,0.037,109719655,3.23,14.70,0.153,0.399,0.057,3,8,64,64,4182,48,6.20,0.0062,0.015,308
380000,8031,1.832,0.015,10.91,711193,688940,2979,3966,14980,6019510,4736250.5,476128.8,0.407,0.157,0.146,0.133,0.157,220,18.05,21.81,7.81,16.52,0.48,2.10,0.17,1.62,9.60,9.76,0.13,0.64,0.017,0.065,2143,0.050,0.810,0.093,0.003,0.094,672773,538506,35,0.193,0.114,0.030,2714724,0.089,0.084,0.000,647.44,290558,235,0.079,0.356,0.026,112528434,3.11,15.11,0.137,0.337,0.047,3,7,64,64,4322,62,6.31,0.0061,0.018,244
390000,7869,1.862,0.015,11.03,716917,695125,2859,2854,16241,5775158,4745123.0,443559.4,0.399,0.138,0.133,0.149,0.181,217,18.69,21.52,7.67,16.12,0.64,2.58,0.30,1.95,10.09,9.36,0.15,0.67,0.023,0.084,2361,0.028,0.786,0.099,0.002,0.112,680887,545708,39,0.337,0.039,0.068,4483288,0.086,0.080,0.000,648.30,290845,258,0.077,0.397,0.024,118869150,3.04,14.14,0.125,0.328,0.054,4,8,64,64,4174,64,5.46,0.0060,0.016,251
400000,8154,1.807,0.016,11.41,725273,699348,3597,3198,18845,5772579,4699823.5,421602.8,0.413,0.133,0.129,0.146,0.179,192,17.31,21.56,7.40,16.17,0.53,2.52,0.14,1.42,9.25,9.11,0.14,0.67,0.017,0.071,1907,0.032,0.818,0.095,0.003,0.084,691116,554385,39,0.089,0.335,0.039,4590358,0.077,0.077,0.000,647.73,293407,258,0.073,0.391,0.025,114257916,3.00,15.41,0.136,0.282,0.048,3,7,64,64,4409,48,6.02,0.0062,0.006,268
410000,8508,1.756,0.016,11.35,735116,709069,4435,1289,19969,5173648,4591019.5,356514.1,0.412,0.145,0.137,0.135,0.171,209,16.43,20.87,6.91,15.88,0.40,2.01,0.20,1.53,8.93,8.71,0.11,0.58,0.016,0.069,1649,0.057,0.823,0.083,0.001,0.094,700214,565594,39,0.114,0.269,0.051,3947823,0.080,0.097,0.000,647.47,296949,106,0.069,0.671,0.018,111279319,2.90,15.80,0.121,0.147,0.037,4,7,64,64,4656,52,6.29,0.0060,0.003,272
420000,8505,1.745,0.018,11.77,783972,758701,4748,1297,19229,5958526,4511226.0,379122.9,0.430,0.149,0.141,0.126,0.153,189,16.27,20.52,6.39,15.50,0.52,2.11,0.24,1.41,9.12,9.70,0.13,0.66,0.023,0.079,1838,0.061,0.819,0.090,0.003,0.088,748210,629467,49,0.103,0.082,0.058,4208063,0.075,0.082,0.000,649.07,326855,157,0.064,0.618,0.027,128851682,2.77,15.78,0.116,0.210,0.044,3,7,64,64,4602,57,4.68,0.0058,0.007,294
