step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place
100000,3,3,0,0,0,3,0,1.00,24,0.000,2329,2.26,136.68,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2323,2.35,136.69,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2320,1.32,130.27,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2317,0.57,127.17,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2315,1.21,155.35,0.00,29,8,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,2314,1.94,147.77,0.00,147,8,8
100000,18,20,0,0,0,18,0,1.00,10,0.000,2314,1.85,218.91,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2313,0.17,120.41,0.00,101,8,8
100000,2,3,0,0,0,2,0,1.00,26,0.000,2309,1.00,96.58,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2306,1.84,139.47,0.00,147,8,8
100000,7,7,0,0,0,7,0,1.00,16,0.000,2298,2.48,170.57,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2298,1.55,129.26,0.00,101,8,8
100000,5,18,0,0,0,5,0,1.00,22,0.000,2296,2.50,372.90,0.00,60,1,1
100000,3,3,0,0,0,3,0,1.00,24,0.000,2284,2.21,136.70,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2280,1.46,212.62,0.00,147,8,8
100000,5,5,0,0,0,5,0,1.00,20,0.000,2278,1.44,151.14,0.00,147,8,8
100000,7,7,0,0,0,7,0,1.00,18,0.000,2275,1.96,181.04,0.00,101,8,8
100000,5,5,0,0,0,5,0,1.00,22,0.000,2270,1.31,112.58,0.00,204,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2267,1.92,131.94,0.00,101,8,8
100000,8,8,0,0,0,8,0,1.00,16,0.000,2251,2.38,216.40,0.00,147,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2249,0.84,177.59,0.00,147,8,8
100000,7,7,0,0,0,7,0,1.00,20,0.000,2242,1.54,162.33,0.00,29,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2241,1.40,133.35,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2241,1.78,133.07,0.00,101,8,8
100000,9,9,0,0,0,9,0,1.00,12,0.000,2235,2.89,186.67,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2230,2.04,130.58,0.00,101,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2229,1.22,131.68,0.00,101,8,8
100000,11,11,0,0,0,11,0,1.00,12,0.000,2224,1.99,180.80,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2216,1.50,124.67,0.00,101,8,8
100000,4,4,0,0,0,4,0,1.00,22,0.000,2209,2.16,152.11,0.00,147,8,8
100000,3,3,0,0,0,3,0,1.00,24,0.000,2209,1.49,131.44,0.00,101,8,8
