step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,crowd_max,plant_intake,meat_intake,lineages,movers
610000,1,613,34.76,16.85,2.38,0.33,15.20,0.69,5.86,0.225,49,814830.2,167863.1,10,13
610000,0,71,8.72,0.39,0.00,0.01,8.31,0.00,1.08,0.000,4,406.8,78.7,9,71
620000,8,1578,7.34,0.36,0.17,0.16,6.65,0.02,1.11,0.006,14,797612.7,5706.5,11,71
620000,1,663,29.25,13.76,1.41,0.17,13.90,0.54,4.96,0.181,43,829998.6,161805.6,10,38
620000,0,44,8.39,1.16,0.00,0.00,7.23,0.00,1.33,0.000,2,355.0,52.1,6,44
630000,8,1643,6.75,0.18,0.08,0.13,6.36,0.01,1.05,0.002,9,811851.8,3849.4,10,11
630000,1,671,30.27,14.17,1.26,0.46,14.38,0.50,5.06,0.174,50,816570.4,152004.0,9,7
630000,0,42,10.67,1.26,0.36,0.02,9.02,0.07,1.30,0.024,3,415.8,75.6,6,42
640000,8,1661,6.55,0.38,0.11,0.12,5.94,0.02,1.11,0.006,5,813874.2,5102.3,12,36
640000,1,678,30.12,15.09,1.32,0.36,13.35,0.50,5.33,0.183,52,816410.0,146496.2,9,11
640000,0,48,7.19,0.06,0.00,0.17,6.96,0.00,1.02,0.000,2,331.7,54.4,5,48
650000,8,1662,6.43,0.19,0.12,0.08,6.04,0.01,1.05,0.004,7,813725.2,2104.0,13,21
650000,1,799,24.50,11.70,0.80,0.09,11.90,0.35,4.37,0.136,53,812643.9,137766.5,11,19
650000,0,28,8.64,0.00,0.00,0.04,8.61,0.00,1.00,0.000,2,434.4,164.1,7,28
660000,8,1680,6.23,0.24,0.11,0.08,5.81,0.02,1.07,0.006,5,814370.1,1307.5,10,13
660000,1,818,24.41,10.84,0.69,0.32,12.55,0.29,4.10,0.116,56,816869.8,127058.9,9,5
660000,0,36,10.75,1.42,0.14,0.00,9.19,0.00,1.40,0.000,3,385.3,93.3,7,36
670000,8,1674,6.31,0.21,0.17,0.05,5.87,0.02,1.06,0.005,6,812403.2,828.6,7,9
670000,1,717,27.58,14.19,0.97,0.18,12.25,0.37,5.00,0.146,47,813542.1,127634.4,9,8
670000,0,49,11.06,0.08,0.49,1.51,8.98,0.00,1.02,0.000,3,394.4,99.1,4,49
680000,8,1716,6.05,0.12,0.11,0.04,5.78,0.00,1.04,0.001,6,820874.6,2377.7,7,6
680000,1,743,25.83,11.90,1.04,0.07,12.81,0.42,4.43,0.157,54,819178.2,134750.5,9,16
680000,0,35,12.74,2.80,0.86,0.00,9.09,0.17,1.81,0.057,3,332.6,89.9,6,35
690000,8,1634,6.44,0.12,0.12,0.10,6.10,0.01,1.03,0.003,7,820171.2,397.0,6,5
690000,1,660,28.89,14.06,0.97,0.11,13.75,0.40,5.01,0.159,46,810381.7,132295.2,6,4
