step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,68.00,36,0,11,0,23,0,1.00,0,0.162,1008,0.00,97.37,6.32,734,0,1,0,1.00,1.00,1.00,4,6,6,20.6,59.469,34,2.000,0.001,6,1.000,0,23.76,23.75,0,0.0784,0.585,0.0000,702,0.6965
100000,42.00,25,0,10,0,11,0,1.00,0,0.238,1004,0.00,37.20,31.11,310,0,2,0,1.00,1.00,1.00,4,5,5,18.3,21.101,21,2.000,0.004,5,1.000,0,44.41,21.25,0,0.0206,0.711,0.0000,759,0.7856
100000,6.68,36,0,3,0,2,0,1.00,12,0.449,1004,0.00,54.76,41.40,722,1,1,0,1.00,1.00,1.00,2,1,5,24.0,3.952,5,1.335,0.572,6,1.000,0,4.43,4.25,0,0.0000,0.000,0.0000,768,1.0000
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,993,0.00,24.56,126.04,703,2,0,0,1.00,1.00,1.00,4,4,4,58.4,36.623,15,2.000,0.003,4,1.000,1,57.00,47.00,0,0.0000,0.579,0.0000,837,0.8546
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,990,0.01,29.44,3.45,703,0,0,0,1.00,1.00,1.00,1,1,1,17.1,1.090,1,2.000,0.008,4,1.000,0,16.43,3.75,0,0.0000,0.834,0.0000,941,1.0000
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,989,0.00,23.41,79.10,703,0,2,0,1.00,1.00,1.00,2,4,4,18.5,30.737,16,2.000,0.003,4,1.000,0,39.96,-9.75,0,0.0000,0.579,0.0000,831,0.8409
100000,44.00,64,9,2,0,2,0,5.39,14,0.045,987,0.00,33.74,8.20,310,0,0,1,3.50,6.75,5.60,4,5,4,17.1,3.504,13,2.000,0.006,8,1.000,0,5.50,0.00,0,0.0825,0.266,0.0000,721,0.7765
100000,71.44,64,1,9,1,45,3,1.12,0,0.126,971,0.00,53.22,19.05,698,0,0,3,1.25,1.00,1.12,6,8,8,11.7,17.447,56,1.264,0.360,8,1.000,0,9.00,-9.00,1,0.0000,0.000,0.0000,656,0.6879
100000,20.00,25,0,3,0,7,0,1.00,6,0.150,970,0.00,40.52,28.64,703,0,0,0,1.00,1.00,1.00,4,2,5,13.7,4.834,10,2.000,0.003,5,1.000,0,19.83,-18.25,0,0.0000,0.735,0.0000,778,0.9457
100000,28.00,16,3,5,0,3,0,2.38,0,0.179,967,0.00,32.15,6.31,703,2,1,2,1.00,2.50,3.00,1,4,4,40.8,12.077,11,2.000,0.005,4,1.000,0,11.65,9.50,0,0.0534,0.000,0.0000,819,0.8694
100000,18.87,25,0,4,2,10,0,1.00,2,0.212,962,1.39,43.97,18.00,687,0,1,0,1.00,1.00,1.00,4,5,4,19.6,6.829,16,1.258,0.317,5,1.000,0,8.14,-6.00,2,0.0300,0.000,0.0000,875,0.9596
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,961,0.00,18.48,42.96,703,2,2,0,1.00,1.00,1.00,4,4,4,42.3,22.723,16,2.000,0.003,4,1.000,0,9.65,5.00,0,0.0000,0.585,0.0000,808,0.8409
100000,34.00,25,0,13,0,4,0,1.00,2,0.382,960,0.00,15.04,31.23,703,2,1,0,1.00,1.00,1.00,2,4,5,43.6,10.440,17,2.000,0.002,5,1.000,0,22.03,-21.75,0,0.0303,0.561,0.0000,753,0.8282
