step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat
100000,16,16,0,0,0,16,0,1.00,10,0.000,1705,2.17,38.36,195.36,273,0,0,0,1.00,1.00,1.00,5,3,8,25.4,54.561
100000,14,14,0,0,0,14,0,1.00,8,0.000,1704,3.36,221.52,62.96,35,1,1,0,1.00,1.00,1.00,5,4,8,27.9,51.120
100000,4,4,0,0,0,4,0,1.00,22,0.000,1692,1.44,67.53,1.59,35,0,0,0,1.00,1.00,1.00,3,8,1,22.2,33.841
100000,6,6,1,0,0,5,0,1.43,18,0.000,1657,1.59,62.33,71.07,35,1,1,0,1.00,1.50,1.67,3,8,8,29.8,36.453
100000,21,21,0,0,0,21,0,1.00,8,0.000,1645,3.45,142.01,26.71,268,0,0,0,1.00,1.00,1.00,6,4,8,18.0,60.864
100000,14,14,0,0,0,14,0,1.00,8,0.000,1627,0.25,149.03,98.81,35,1,1,0,1.00,1.00,1.00,5,4,8,27.9,48.810
100000,12,12,0,0,0,12,0,1.00,10,0.000,1551,2.02,270.35,58.83,180,0,0,0,1.00,1.00,1.00,3,3,8,19.9,43.428
100000,8,8,0,0,0,8,0,1.00,16,0.000,1544,1.02,58.58,36.91,35,2,1,0,1.00,1.00,1.00,3,2,8,40.0,37.056
100000,12,12,0,0,0,12,0,1.00,10,0.000,1531,1.63,144.91,22.71,180,0,0,0,1.00,1.00,1.00,3,3,8,17.5,42.868
100000,11,11,0,0,0,11,0,1.00,10,0.000,1483,0.36,150.29,91.75,35,0,0,0,1.00,1.00,1.00,3,4,8,19.5,40.041
100000,3,3,0,0,0,3,0,1.00,24,0.000,1448,1.73,19.61,50.94,180,1,1,0,1.00,1.00,1.00,2,1,8,25.9,27.511
100000,15,15,0,0,0,15,0,1.00,6,0.000,1445,1.86,211.02,94.20,35,0,0,0,1.00,1.00,1.00,5,5,8,11.3,44.794
100000,12,12,0,0,0,12,0,1.00,12,0.000,1442,1.25,106.13,89.87,35,0,0,0,1.00,1.00,1.00,6,2,8,24.3,40.376
100000,10,10,0,0,0,10,0,1.00,12,0.000,1429,1.92,233.27,22.84,35,0,0,0,1.00,1.00,1.00,5,2,8,14.7,37.154
100000,16,16,0,0,0,16,0,1.00,10,0.000,1373,1.61,243.70,15.28,266,0,0,0,1.00,1.00,1.00,3,3,8,15.1,43.936
100000,10,10,0,0,0,10,0,1.00,12,0.000,1360,1.66,188.10,55.56,35,0,1,0,1.00,1.00,1.00,3,2,8,16.7,35.360
100000,10,10,0,0,0,10,0,1.00,12,0.000,1356,1.99,152.23,10.80,35,0,0,0,1.00,1.00,1.00,3,2,8,23.9,35.256
100000,8,8,0,0,0,8,0,1.00,16,0.000,1342,1.00,65.58,28.57,35,2,1,0,1.00,1.00,1.00,3,2,8,37.9,32.208
100000,10,10,0,0,0,10,0,1.00,12,0.000,1339,2.90,196.92,15.09,35,0,0,0,1.00,1.00,1.00,3,2,8,11.1,34.814
100000,16,16,0,1,0,15,0,1.00,6,0.062,1332,1.78,313.86,51.85,35,0,0,0,1.00,1.00,1.00,4,5,8,19.9,42.624
100000,16,16,0,1,0,15,0,1.00,6,0.062,1320,2.52,285.79,9.08,35,0,0,0,1.00,1.00,1.00,5,5,8,21.3,42.240
100000,10,10,0,0,0,10,0,1.00,12,0.000,1308,1.57,98.19,51.07,35,0,0,0,1.00,1.00,1.00,5,2,8,18.6,34.008
