a,b,dist
3627,4330,58
219,2584,63
4151,4294,45
2035,2259,64
3390,3662,28
376,324,47
4579,4251,57
1347,1273,62
93,2995,64
2795,22,48
1402,1477,41
310,344,64
2128,3430,64
2673,617,30
3866,3073,60
4835,830,58
4006,36,62
4246,156,27
3298,135,64
698,4798,60
2474,3435,44
1402,4211,64
911,4161,44
3271,3344,42
1010,1763,64
2635,4855,22
4811,1267,64
3557,1164,64
1772,552,47
3093,318,53
1689,1704,38
1053,4440,64
336,4943,64
464,330,43
980,1763,13
2645,4774,35
448,2042,55
3261,1628,64
3303,542,42
4113,3790,61
2289,2976,36
3737,1562,64
2358,4655,64
1334,2129,44
4443,468,64
4921,4752,64
4120,4207,33
4381,1908,26
982,1166,57
2583,2676,63
3351,4644,64
3883,1372,64
4881,2277,56
2552,1376,64
1611,733,55
1203,4102,64
4503,2714,64
2489,110,45
3971,4297,41
3327,981,63
3127,2465,64
3184,534,64
1090,22,64
4411,3877,60
4148,4353,64
1885,4084,64
2145,373,63
4593,3491,64
1895,4856,51
4389,3021,48
4337,1632,30
3883,3435,61
4794,3293,61
114,3602,48
3359,1368,57
4885,2879,64
4083,4339,64
3843,447,37
297,2312,46
299,1133,45
2979,2328,64
1411,2942,64
2230,552,64
2895,2681,33
4744,821,42
4520,3896,37
2201,155,36
2659,2745,26
4448,993,64
2734,3924,62
4666,3594,22
3911,1289,64
1538,825,64
3771,2330,64
1210,2104,36
1032,4569,64
2557,3465,64
2814,70,46
1576,922,15
897,390,41
290,2262,37
3978,643,64
2158,2628,64
2558,4293,64
135,2324,57
3974,1171,26
987,3625,42
2877,3239,60
1647,3125,64
4498,4218,64
849,3634,64
2397,1948,61
2494,2924,32
4979,81,62
738,3801,56
3582,567,59
2717,1736,64
3984,3184,64
1703,4675,60
3767,4129,7
1196,1242,64
2609,4849,51
4228,835,11
30,1247,64
4603,2151,26
3515,4424,63
578,1527,57
4661,669,60
1624,3370,6
4458,2268,64
1783,4459,64
1786,290,64
4933,4312,64
4625,4334,56
2889,3042,47
4468,1913,34
1817,2893,43
4163,3285,63
2971,4034,53
3909,1130,57
4761,2426,54
3334,1038,34
900,1168,64
3884,634,64
3510,993,64
4082,1878,29
1762,364,64
2584,785,2
2907,1689,32
2865,660,61
3815,510,19
4313,4377,2
1521,3638,60
772,3309,28
2183,1458,32
3017,2774,56
4692,3908,15
1287,4273,62
4097,4651,64
3270,4137,59
2499,1740,61
378,1345,29
1226,3378,56
2716,4593,49
856,2658,61
4417,1013,63
2972,2424,64
3957,2780,56
4102,3200,64
803,2132,36
1584,4585,54
3191,769,53
219,3453,64
19,356,54
493,3440,64
4346,2526,64
1145,3137,48
3450,3361,58
1077,2314,64
1471,3940,64
1344,4874,55
4611,2288,57
4228,3004,39
4021,1063,37
1690,4997,51
191,453,64
1401,4352,43
3119,684,58
3988,2533,64
4011,1400,64
4008,1272,64
2397,639,64
823,4308,61
3723,3228,61
2638,1877,64
3891,2461,64
4306,4971,43
753,1027,28
496,4908,32
4521,4537,61
1445,2661,27
1031,4790,64
3123,4979,46
328,3365,40
985,3885,60
388,3170,53
973,3364,63
3543,3854,43
1943,913,64
1861,1576,64
3839,777,55
2807,1396,58
2890,1178,47
1105,2608,64
114,1151,47
1135,2466,55
4973,3713,64
3947,1635,46
2321,2620,48
2310,142,47
4091,180,32
3238,3370,42
1667,345,59
617,1906,35
4833,3185,64
1442,808,56
4937,3278,51
427,3794,3
2708,3546,64
1647,1816,64
1426,3160,57
747,1974,44
1077,4874,55
486,2400,64
1545,1207,40
3336,2836,29
2458,140,64
4442,4100,1
1764,4724,58
3052,4082,26
78,2636,56
120,2988,64
4747,3758,45
2486,2357,51
466,797,64
3708,3707,64
3857,3665,0
2349,4631,64
11,737,64
2406,911,64
1724,4077,62
4489,4972,64
1723,2477,27
2144,146,57
2178,4733,46
2387,3739,31
2901,4804,30
2893,2712,40
1492,3498,0
923,1031,58
2449,3598,34
860,1444,64
6,221,48
4929,900,39
2228,3305,58
2114,1083,64
1998,616,36
2937,3293,59
593,1423,55
2301,1300,51
2634,1535,50
1675,3088,63
952,1750,51
230,588,43
4062,2406,53
1061,831,57
4130,3957,64
1207,3132,63
2738,435,64
4705,783,63
3181,4208,63
4408,4756,42
3685,4206,48
4090,593,64
2909,4115,64
3085,3403,61
2551,816,63
520,1909,64
4765,1370,64
595,3667,24
997,3798,64
3583,4135,47
1038,3058,34
3687,3606,64
767,3156,60
4924,2176,50
4399,757,51
1323,4862,24
26,2781,63
3511,1896,60
1117,1450,64
2092,3877,60
1475,4011,64
13,1604,37
2860,1205,31
412,3977,64
2937,350,62
1561,808,34
4070,94,64
4717,4796,64
3674,3673,64
4940,635,64
2751,1259,64
1619,3340,61
1478,198,53
3896,1274,19
4238,453,64
2619,490,64
1945,2580,33
4958,1857,64
3966,1609,64
4381,4867,63
4414,1710,34
539,1979,40
491,3028,64
2988,3103,64
1009,2157,64
4207,4380,64
3159,4836,20
3724,3058,25
960,2413,64
309,1307,29
1217,4957,64
4571,1468,64
2022,3838,62
4983,796,36
4124,2214,39
151,2520,54
3655,3531,45
1452,965,59
1008,1209,64
3657,1482,25
4976,4145,34
4034,2363,51
213,927,64
4522,3484,37
4355,3021,64
3943,2761,64
954,177,60
3808,4890,24
4997,2261,64
1547,326,63
594,1536,54
3644,2648,31
2913,2220,64
214,586,64
4103,426,55
4083,530,64
3910,382,64
4294,4411,60
2664,1059,54
4838,2297,41
4318,657,7
3004,4901,57
2534,1335,64
546,4799,64
3771,1367,64
3147,3474,56
1139,4933,64
1649,2950,11
2007,4091,20
1681,2947,64
