step,mass,hard,muscle,sensor,digestive,attack,speed,age,energy,plant,meat
100000,64,38,10,0,16,10,0.156,36,1.22,4.23,0.00
100000,13,5,0,0,8,0,0.000,36,2.92,2.66,0.00
100000,26,9,0,0,17,0,0.000,36,4.35,4.82,0.00
100000,19,3,0,0,16,0,0.000,36,1.15,1.25,0.00
100000,27,17,0,0,10,0,0.000,36,1.99,2.93,0.00
100000,64,34,16,0,14,16,0.250,34,3.80,6.59,3.86
100000,47,32,0,0,15,0,0.000,33,6.55,7.82,0.00
100000,14,3,0,0,11,0,0.000,33,0.66,0.30,0.00
100000,20,15,0,0,5,0,0.000,32,1.56,1.52,0.00
100000,7,2,0,0,5,0,0.000,32,2.27,2.65,0.00
100000,25,2,0,0,23,0,0.000,32,2.26,4.66,0.00
100000,18,3,0,0,15,0,0.000,32,1.47,1.27,0.00
100000,48,32,0,0,16,0,0.000,31,4.77,5.83,0.00
100000,14,2,0,0,12,0,0.000,31,1.76,3.12,0.00
100000,27,17,0,0,10,0,0.000,30,2.17,2.22,0.00
100000,64,34,16,0,14,16,0.250,30,6.35,3.91,4.16
100000,48,32,0,0,16,0,0.000,29,3.62,4.37,0.00
100000,62,41,6,0,15,6,0.097,29,4.22,4.95,0.00
100000,18,2,0,0,16,0,0.000,28,3.56,3.17,0.00
100000,27,10,0,0,17,0,0.000,28,4.41,4.96,0.00
100000,38,19,0,0,19,0,0.000,28,1.33,1.54,0.00
100000,21,0,0,0,21,0,0.000,28,2.86,2.90,0.00
100000,64,46,6,0,12,6,0.094,26,6.68,1.47,5.69
100000,13,3,0,0,10,0,0.000,26,2.11,1.44,0.00
100000,13,5,0,0,8,0,0.000,26,1.22,0.55,0.00
100000,13,3,0,0,10,0,0.000,26,2.19,1.48,0.00
100000,64,33,17,0,14,17,0.266,26,6.52,5.15,2.17
100000,53,35,0,0,18,0,0.000,26,0.30,0.87,0.00
100000,33,8,0,0,25,0,0.000,24,3.04,3.11,0.00
100000,11,0,0,0,11,0,0.000,24,1.57,3.14,0.00
100000,19,9,0,0,10,0,0.000,23,2.85,2.19,0.00
100000,11,6,0,0,5,0,0.000,21,2.69,1.40,0.00
100000,49,37,0,0,12,0,0.000,21,2.55,3.92,0.00
100000,62,3,0,0,59,0,0.000,19,5.02,5.97,0.00
100000,12,1,0,0,11,0,0.000,19,2.71,1.72,0.00
100000,11,0,0,0,11,0,0.000,18,1.94,0.10,0.00
100000,48,32,0,0,16,0,0.000,17,1.85,0.87,0.00
100000,19,3,0,0,16,0,0.000,17,1.78,0.80,0.00
100000,13,4,0,0,9,0,0.000,17,2.70,1.65,0.00
100000,20,11,0,0,9,0,0.000,15,1.24,0.38,0.00
100000,19,3,0,0,16,0,0.000,14,1.93,2.71,0.00
100000,13,8,0,0,5,0,0.000,14,2.37,1.26,0.00
100000,5,3,0,0,2,0,0.000,14,1.74,0.54,0.00
100000,16,0,0,0,16,0,0.000,14,1.85,0.96,0.00
100000,5,0,0,0,5,0,0.000,13,1.16,0.00,0.00
100000,18,2,0,0,16,0,0.000,10,1.87,0.34,0.00
100000,19,9,0,0,10,0,0.000,9,1.47,0.00,0.00
100000,50,32,0,0,18,0,0.000,8,4.96,2.62,0.00
100000,64,46,6,0,12,6,0.094,6,5.80,0.85,1.63
100000,29,0,0,0,29,0,0.000,6,3.78,1.48,0.00
100000,52,30,0,0,22,0,0.000,5,3.58,0.83,0.00
100000,54,2,3,0,49,0,0.056,4,4.14,1.10,0.00
100000,48,32,0,0,16,0,0.000,4,4.12,1.21,0.00
100000,14,3,0,0,11,0,0.000,3,1.94,0.35,0.00
100000,25,2,0,0,23,0,0.000,2,2.32,0.17,0.00
100000,19,6,0,0,13,0,0.000,2,1.55,0.00,0.00
100000,13,3,0,0,10,0,0.000,2,1.57,0.00,0.00
100000,26,9,0,0,17,0,0.000,1,2.25,0.00,0.00
100000,19,9,0,0,10,0,0.000,0,1.96,0.00,0.00
100000,27,17,0,0,10,0,0.000,0,2.35,0.00,0.00
100000,25,2,0,0,23,0,0.000,0,2.26,0.00,0.00
100000,16,10,0,0,6,0,0.000,0,1.76,0.00,0.00
100000,11,0,0,0,11,0,0.000,0,1.57,0.00,0.00
200000,54,40,0,0,14,0,0.000,2991,5.52,523.59,0.00
200000,57,41,0,0,16,0,0.000,2965,5.84,563.34,0.00
200000,54,40,0,0,14,0,0.000,2921,5.87,538.61,0.00
200000,54,40,0,0,14,0,0.000,2853,2.13,512.75,0.00
200000,56,40,0,0,16,0,0.000,2649,5.75,516.05,0.00
200000,54,40,0,0,14,0,0.000,2644,7.33,465.54,0.00
200000,54,40,0,0,14,0,0.000,2626,7.30,469.96,0.00
200000,54,40,0,0,14,0,0.000,2607,4.03,459.90,0.00
200000,56,40,0,0,16,0,0.000,2530,4.53,483.34,0.00
200000,56,40,0,0,16,0,0.000,2340,5.50,444.58,0.00
200000,58,40,0,0,18,0,0.000,2331,3.39,463.96,0.00
200000,54,40,0,0,14,0,0.000,2329,5.00,412.06,0.00
200000,56,40,0,0,16,0,0.000,2328,5.48,454.07,0.00
200000,54,40,0,0,14,0,0.000,2286,6.65,410.49,0.00
200000,57,41,0,0,16,0,0.000,2256,5.93,426.57,0.00
200000,54,40,0,0,14,0,0.000,2251,6.80,401.27,0.00
200000,54,40,0,0,14,0,0.000,2231,4.44,403.06,0.00
200000,58,40,0,0,18,0,0.000,2209,5.16,432.83,0.00
200000,54,40,0,0,14,0,0.000,2192,6.35,391.23,0.00
200000,56,40,0,0,16,0,0.000,2058,5.09,369.96,0.00
200000,54,40,0,0,14,0,0.000,1916,7.04,339.81,0.00
200000,54,40,0,0,14,0,0.000,1911,2.99,331.15,0.00
200000,54,40,0,0,14,0,0.000,1907,5.63,333.26,0.00
200000,54,40,0,0,14,0,0.000,1894,4.61,322.56,0.00
200000,54,40,0,0,14,0,0.000,1801,5.98,316.35,0.00
200000,54,40,0,0,14,0,0.000,1756,2.31,313.03,0.00
200000,56,40,0,0,16,0,0.000,1755,5.88,319.92,0.00
