step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_eaten,deaths_body,escapes,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,attack_mean,attack_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none
450000,224,4.038,0.142,11.07,9993,6754,60,3159,9,322,410350.3,9228.7,0.000,0.038,0.459,0.085,0.418,2719,61.67,3.63,38.76,5.06,2.17,4.36,0.00,0.00,20.74,4.41,2.02,4.08,0.035,0.071,62,0.147,0.857,0.134,0.000,0.009
460000,274,3.484,0.116,10.94,13474,8615,20,4765,24,277,410291.7,11075.6,0.000,0.067,0.401,0.062,0.470,2196,50.32,10.06,30.28,11.20,0.82,2.89,0.00,0.00,19.21,4.41,0.52,2.35,0.019,0.065,73,0.277,0.920,0.062,0.000,0.018
470000,252,3.831,0.144,10.96,15602,7971,45,7559,49,406,410266.5,17680.5,0.000,0.088,0.335,0.059,0.517,1825,53.75,15.71,36.18,15.76,1.46,4.22,0.00,0.00,16.11,6.98,0.35,1.65,0.052,0.141,83,0.131,0.933,0.040,0.000,0.028
480000,309,3.284,0.154,11.38,25681,7587,2,17780,255,1756,409356.7,33084.3,0.008,0.107,0.206,0.034,0.645,1044,40.29,18.01,23.18,14.55,3.99,7.45,0.00,0.06,13.12,4.27,3.08,5.55,0.072,0.126,93,0.178,0.647,0.307,0.000,0.045
490000,200,4.388,0.190,11.69,15157,4936,65,10188,77,709,410399.4,22464.0,0.001,0.138,0.216,0.027,0.618,1825,63.18,3.68,41.40,9.50,6.11,8.15,0.00,0.00,15.66,2.23,5.63,7.26,0.096,0.128,36,0.210,0.750,0.240,0.000,0.010
500000,227,3.925,0.156,10.67,13906,4049,67,9674,89,710,410328.6,23142.0,0.000,0.134,0.171,0.028,0.667,2028,55.21,14.95,34.99,16.37,4.25,8.56,0.00,0.00,15.97,3.28,3.41,6.91,0.080,0.168,49,0.150,0.718,0.256,0.000,0.026
510000,226,4.537,0.151,10.55,18068,3808,72,14019,170,1170,409324.5,31137.4,0.000,0.112,0.122,0.016,0.750,1686,61.19,6.44,42.04,11.07,3.19,7.00,0.00,0.00,15.95,2.59,2.72,6.40,0.057,0.125,40,0.350,0.863,0.128,0.000,0.009
520000,253,3.680,0.149,10.11,36511,6336,63,29102,983,1928,410008.5,43091.5,0.006,0.059,0.116,0.014,0.807,800,49.32,16.82,27.94,18.15,4.78,9.73,0.00,0.00,16.60,5.57,3.85,8.67,0.081,0.165,59,0.300,0.810,0.174,0.000,0.016
530000,221,4.336,0.163,10.03,22278,5237,40,16377,656,1226,409708.3,30390.7,0.001,0.136,0.118,0.019,0.725,1349,59.85,6.06,39.36,9.48,2.86,6.54,0.00,0.00,17.63,2.14,2.53,5.66,0.049,0.112,54,0.186,0.814,0.186,0.000,0.000
540000,240,4.393,0.149,9.85,15495,5501,56,9806,113,780,409470.6,22391.5,0.001,0.188,0.161,0.014,0.636,2117,55.82,12.54,32.53,13.57,4.97,8.30,0.00,0.00,18.33,4.33,4.42,7.46,0.085,0.147,60,0.271,0.692,0.275,0.000,0.033
