step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
69000,5123,0.4821,37818.4,393,1849,1725,1549,131,131,155,15776,19737,24237,0,0,0,1.000,1.000,1.000,1414,374,12,0.4106,0.1409,0.5432,0.0474
70000,4838,0.4673,34683.5,381,1820,1593,1425,133,140,151,16626,22023,26824,0,0,0,1.000,1.000,1.000,1398,361,7,0.3858,0.1293,0.5491,0.0483
71000,4221,0.4686,30693.7,385,1665,1397,1159,143,139,146,17658,25150,30417,0,0,0,1.000,1.000,1.000,1284,320,12,0.3749,0.1473,0.5729,0.0514
72000,3430,0.4793,24965.9,388,1505,1108,817,123,120,153,18581,29233,34995,0,0,0,1.000,1.000,1.000,1168,270,7,0.3681,0.1535,0.6113,0.0533
73000,2366,0.4958,18320.8,430,1308,619,439,107,109,113,19179,33680,40272,0,0,0,1.000,1.000,1.000,1067,171,2,0.3653,0.1415,0.6739,0.0560
74000,1789,0.5170,14260.9,454,1219,366,204,70,125,88,19505,38161,45375,0,0,0,1.000,1.000,1.000,1005,78,1,0.2310,0.2185,0.6827,0.0672
75000,1368,0.5139,10754.7,425,1069,235,64,49,109,44,19498,40856,49012,0,0,0,1.000,1.000,1.000,834,67,1,0.1773,0.2140,0.5746,0.0763
76000,1258,0.4666,9423.1,416,1000,225,33,35,111,31,19360,41672,50398,0,0,0,1.000,1.000,1.000,806,58,1,0.1908,0.2186,0.7252,0.0785
77000,1724,0.4333,13948.8,394,1102,451,171,67,152,99,16336,36682,46294,0,0,0,1.000,1.000,1.000,883,113,2,0.3506,0.1706,0.7266,0.0578
78000,2609,0.4323,19445.2,368,1315,781,513,97,127,117,14588,31634,41389,0,0,0,1.000,1.000,1.000,1022,180,7,0.4227,0.1310,0.6658,0.0498
79000,3757,0.4402,26173.9,341,1555,1227,975,147,134,151,14154,28324,37310,0,0,0,1.000,1.000,1.000,1174,298,12,0.3690,0.1287,0.5887,0.0530
80000,4377,0.4375,30659.4,342,1634,1516,1227,124,160,172,13385,24651,32929,0,0,0,1.000,1.000,1.000,1279,328,8,0.3928,0.1363,0.5715,0.0495
81000,4981,0.4409,35264.3,351,1778,1769,1434,139,178,161,13037,22274,29109,0,0,0,1.000,1.000,1.000,1383,391,15,0.3951,0.1350,0.5394,0.0490
82000,5378,0.4420,39208.0,359,1954,1892,1532,131,144,152,12562,19956,25718,0,0,0,1.000,1.000,1.000,1513,400,10,0.3933,0.1391,0.5210,0.0483
83000,5611,0.4621,41068.7,377,1968,1942,1701,161,150,135,12947,19140,24017,0,0,0,1.000,1.000,1.000,1484,411,16,0.3919,0.1488,0.5145,0.0510
84000,5775,0.4833,43952.8,393,1981,1981,1813,162,141,152,13897,18538,22399,0,0,0,1.000,1.000,1.000,1534,389,11,0.3676,0.1584,0.4919,0.0518
