step,cause,age,size,mass,n,worn
10000,hunger,50,36,16,4,0
10000,hunger,50,36,20,4,0
10000,hunger,50,36,24,6,0
10000,hunger,50,36,28,30,0
10000,hunger,50,36,32,76,1
10000,hunger,50,36,36,194,2
10000,hunger,50,36,40,151,1
10000,hunger,50,36,44,124,1
10000,hunger,50,36,48,98,0
10000,hunger,50,36,52,81,0
10000,hunger,50,36,56,73,0
10000,hunger,50,36,60,53,0
10000,hunger,50,36,64,71,0
10000,hunger,50,36,68,34,0
10000,hunger,50,40,20,1,0
10000,hunger,50,40,24,1,0
10000,hunger,50,40,28,2,0
10000,hunger,50,40,32,2,0
10000,hunger,50,40,36,5,0
10000,hunger,50,40,40,4,0
10000,hunger,50,40,44,13,0
10000,hunger,50,40,48,12,0
10000,hunger,50,40,52,3,0
10000,hunger,50,40,56,3,0
10000,hunger,50,40,60,10,0
10000,hunger,50,40,64,4,0
10000,hunger,50,40,68,1,0
10000,hunger,50,40,72,6,0
10000,hunger,50,40,76,6,0
10000,hunger,50,40,80,1,0
10000,hunger,50,44,20,2,0
10000,hunger,50,44,28,1,0
10000,hunger,50,44,36,4,0
10000,hunger,50,44,40,6,0
10000,hunger,50,44,44,23,0
10000,hunger,50,44,48,6,0
10000,hunger,50,44,52,8,0
10000,hunger,50,44,56,8,0
10000,hunger,50,44,60,4,0
