step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
250000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,4445.5,231.6,0,0,-0.00,-0.00,-0.00,0.0293,0.00,33.9,39.2941,0.7883,98
250000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,1851.7,393.4,0,0,-0.00,-0.00,-0.00,0.0590,0.49,102688.8,0.0000,0.0000,11484
260000,8,374,9.86,0.02,0.03,0.01,9.80,0.01,1.01,0.003,0.050,221481.0,3385.4,3,0,2.54,1.02,1.01,0.4087,6.30,29824.7,26.9625,22.1263,4616
260000,1,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,0.0,0.0,0,0,-0.00,-0.00,-0.00,0.0000,0.00,503.6,62.7571,0.2278,98
260000,0,1,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,499.1,5.2,1,1,3.00,1.00,1.00,0.0059,0.25,103678.7,0.0000,0.0000,11670
270000,8,492,10.00,0.00,0.09,0.00,9.91,0.00,1.00,0.000,0.074,240530.3,4086.9,2,6,2.43,1.00,1.00,0.4803,8.84,27145.7,20.7503,23.9893,4189
270000,1,33,9.91,0.00,0.00,0.00,9.91,0.00,1.00,0.000,0.215,12545.6,605.9,1,1,2.52,1.00,1.00,0.0683,1.44,412.5,31.2215,1.3301,96
270000,0,7,10.71,0.00,0.00,0.00,10.71,0.00,1.00,0.000,0.000,5912.9,1525.6,2,7,2.57,1.00,1.00,0.2178,1.45,111214.6,0.0000,0.0000,12099
280000,8,411,10.06,0.01,0.06,0.00,9.99,0.00,1.00,0.000,0.058,255752.3,4578.3,2,0,2.42,1.00,1.00,0.5284,7.22,27853.9,17.1462,25.5217,4474
280000,1,27,12.81,0.00,0.81,0.00,12.00,0.00,1.00,0.000,0.216,20292.1,1111.4,2,0,2.44,1.00,1.00,0.1277,2.06,454.1,12.8319,2.0946,98
280000,0,6,11.50,0.00,0.00,0.00,11.50,0.00,1.00,0.000,0.000,919.6,152.2,2,5,2.67,1.00,1.00,0.0350,2.98,110518.7,0.0000,0.0000,11812
290000,8,428,11.60,0.07,0.14,0.00,11.39,0.03,1.02,0.007,0.095,238203.7,4217.5,2,0,2.45,1.04,1.00,0.4803,6.04,23478.4,16.5009,23.7605,3249
290000,1,3,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.014,7904.8,285.8,2,0,2.67,1.00,1.00,0.0340,0.00,457.9,34.5248,0.9342,98
290000,0,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,554.0,34.5,0,0,-0.00,-0.00,-0.00,0.0118,1.38,113698.1,0.0000,0.0000,13037
300000,8,464,10.32,0.05,0.02,0.00,10.26,0.00,1.03,0.004,0.085,236687.4,4861.6,3,0,2.37,1.03,1.01,0.5425,8.88,29545.7,8.1363,23.5736,3525
300000,1,1,6.00,0.00,0.00,0.00,6.00,0.00,1.00,0.000,0.004,5477.9,163.9,1,1,3.00,1.00,1.00,0.0212,0.31,316.2,36.4635,0.7370,96
300000,0,1,10.00,0.00,1.00,0.00,9.00,0.00,1.00,0.000,0.000,844.3,39.2,1,1,4.00,1.00,1.00,0.0117,0.53,106618.1,0.0000,0.0000,12763
310000,8,539,10.34,0.03,0.03,0.02,10.25,0.00,1.02,0.000,0.079,279270.9,4869.1,2,8,2.42,1.02,1.01,0.5542,11.17,37495.5,10.6754,27.8555,4423
310000,1,13,12.92,0.46,0.00,0.00,12.46,0.00,1.18,0.000,0.115,5999.6,114.6,2,4,2.77,1.15,1.03,0.0138,0.94,213.0,35.9554,0.7462,92
310000,0,1,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,602.2,28.3,1,1,3.00,1.00,1.00,0.0092,0.57,97593.6,0.0000,0.0000,11869
320000,8,580,10.88,0.04,0.05,0.00,10.79,0.01,1.01,0.002,0.087,308033.7,6065.7,2,8,2.33,1.02,1.00,0.6861,7.58,38730.1,5.7808,30.7082,4518
320000,1,14,12.79,0.21,0.00,0.00,12.57,0.00,1.06,0.000,0.140,9227.3,301.2,1,3,2.07,1.11,1.00,0.0331,0.00,430.0,29.4241,1.0419,83
320000,0,1,11.00,0.00,0.00,0.00,11.00,0.00,1.00,0.000,0.000,379.4,8.8,1,1,3.00,1.00,1.00,0.0058,0.79,95046.4,0.0000,0.0000,11783
330000,8,517,10.59,0.03,0.06,0.01,10.49,0.02,1.01,0.004,0.074,300855.3,5711.1,2,9,2.33,1.02,1.00,0.6499,9.25,33048.9,8.1559,29.9964,4652
330000,1,22,13.68,0.00,0.00,0.00,13.68,0.00,1.00,0.000,0.235,15411.1,713.8,1,3,2.68,1.00,1.00,0.0858,0.48,435.9,18.5568,1.6025,85
