run,seed,side,zone,from_k,leader_share,bodies
fresh 0.05,9,upper west,north,32,0.0,5722
fresh 0.05,9,upper west,north,48,0.0,5041
fresh 0.05,9,upper west,north,64,0.0,7808
fresh 0.05,9,upper west,north,80,0.0,6663
fresh 0.05,9,upper west,north,96,0.0,970
fresh 0.05,9,upper west,south,32,0.7771509167842031,4963
fresh 0.05,9,upper west,south,48,0.5614179719703215,6065
fresh 0.05,9,upper west,south,64,0.7812798471824259,6282
fresh 0.05,9,upper west,south,80,0.8815686274509804,7650
fresh 0.05,9,upper west,south,96,0.7964129907901115,2063
fresh 0.05,9,upper west,tropics,32,0.47560975609756095,902
fresh 0.05,9,upper west,tropics,48,0.26770708283313327,1666
fresh 0.05,9,upper west,tropics,64,0.4518950437317784,1029
fresh 0.05,9,upper west,tropics,80,0.3755274261603376,1185
fresh 0.05,9,upper west,tropics,96,0.7653194263363755,767
fresh 0.05,10,lower,north,32,0.46732255797610683,7115
fresh 0.05,10,lower,north,48,0.6226958525345622,8680
fresh 0.05,10,lower,north,64,0.45182603644812314,13773
fresh 0.05,10,lower,north,80,0.0,12859
fresh 0.05,10,lower,north,96,0.0,1096
fresh 0.05,10,lower,south,32,0.03608529250956807,5487
fresh 0.05,10,lower,south,48,0.20608144407435264,9307
fresh 0.05,10,lower,south,64,0.17072570725707256,8130
fresh 0.05,10,lower,south,80,0.0,7887
fresh 0.05,10,lower,south,96,0.0,3135
fresh 0.05,10,lower,tropics,32,0.20517332394861867,11366
fresh 0.05,10,lower,tropics,48,0.6174459020069515,17838
fresh 0.05,10,lower,tropics,64,0.35282234105763516,16830
fresh 0.05,10,lower,tropics,80,0.0,16984
fresh 0.05,10,lower,tropics,96,0.0,6143
fresh 0.05,10,upper east,north,32,0.0,2321
fresh 0.05,10,upper east,north,48,0.06749915626054674,2963
fresh 0.05,10,upper east,north,64,0.0,3605
fresh 0.05,10,upper east,north,80,0.0,3015
fresh 0.05,10,upper east,north,96,0.0,537
fresh 0.05,10,upper east,south,32,0.0005711022272986865,1751
fresh 0.05,10,upper east,south,48,0.020825585719598364,2689
fresh 0.05,10,upper east,south,64,0.0,2234
fresh 0.05,10,upper east,south,80,0.0,3268
fresh 0.05,10,upper east,south,96,0.0,1029
fresh 0.05,10,upper east,tropics,32,0.0,415
fresh 0.05,10,upper east,tropics,48,0.0,915
fresh 0.05,10,upper east,tropics,64,0.0,601
fresh 0.05,10,upper east,tropics,80,0.0,585
fresh 0.05,10,upper east,tropics,96,0.0,308
fresh 0.05,10,upper west,north,32,0.0,3837
fresh 0.05,10,upper west,north,48,0.0,3961
fresh 0.05,10,upper west,north,64,0.0,5559
fresh 0.05,10,upper west,north,80,0.0,4574
fresh 0.05,10,upper west,north,96,0.0,467
fresh 0.05,10,upper west,south,32,0.0,4191
fresh 0.05,10,upper west,south,48,0.0038005472788081485,6578
fresh 0.05,10,upper west,south,64,0.018383628165105793,5766
fresh 0.05,10,upper west,south,80,0.0,6714
fresh 0.05,10,upper west,south,96,0.0,2450
fresh 0.05,10,upper west,tropics,32,0.0,852
fresh 0.05,10,upper west,tropics,48,0.0,1705
fresh 0.05,10,upper west,tropics,64,0.0,999
fresh 0.05,10,upper west,tropics,80,0.0,1150
fresh 0.05,10,upper west,tropics,96,0.0,664
fresh 0.05,11,lower,north,32,0.8652422845971233,7161
fresh 0.05,11,lower,north,48,0.9499587895914282,8493
fresh 0.05,11,lower,north,64,0.9245556181130862,12433
fresh 0.05,11,lower,north,80,0.9141902267184536,11071
fresh 0.05,11,lower,north,96,0.9843575418994414,895
fresh 0.05,11,lower,south,32,0.7018658197697499,5038
fresh 0.05,11,lower,south,48,0.5935150903175137,8913
fresh 0.05,11,lower,south,64,0.7874816102714992,7477
fresh 0.05,11,lower,south,80,0.545028770239529,7473
fresh 0.05,11,lower,south,96,0.7143299288146084,3231
fresh 0.05,11,lower,tropics,32,0.7868237256332743,9593
fresh 0.05,11,lower,tropics,48,0.9450305810397553,13080
fresh 0.05,11,lower,tropics,64,0.9642763330706593,11421
fresh 0.05,11,lower,tropics,80,0.9233202256796034,11698
fresh 0.05,11,lower,tropics,96,0.939287919324964,4859
fresh 0.05,11,upper east,north,32,0.135522838807097,2649
fresh 0.05,11,upper east,north,48,0.1974217311233886,2715
fresh 0.05,11,upper east,north,64,0.0978026712623869,4642
fresh 0.05,11,upper east,north,80,0.00738969789176266,4601
fresh 0.05,11,upper east,north,96,0.058823529411764705,187
fresh 0.05,11,upper east,south,32,0.4582585278276481,2228
fresh 0.05,11,upper east,south,48,0.13297536323436512,3166
fresh 0.05,11,upper east,south,64,0.23608837970540097,2444
fresh 0.05,11,upper east,south,80,0.11058451816745656,2532
fresh 0.05,11,upper east,south,96,0.035398230088495575,904
fresh 0.05,11,upper east,tropics,32,0.4444444444444444,621
fresh 0.05,11,upper east,tropics,48,0.039942938659058486,701
fresh 0.05,11,upper east,tropics,64,0.2315270935960591,812
fresh 0.05,11,upper east,tropics,80,0.055619930475086905,863
fresh 0.05,11,upper east,tropics,96,0.01639344262295082,366
fresh 0.05,11,upper west,north,32,0.0,5310
fresh 0.05,11,upper west,north,48,0.00017784101013693757,5623
fresh 0.05,11,upper west,north,64,0.0,8957
fresh 0.05,11,upper west,north,80,0.0,6850
fresh 0.05,11,upper west,north,96,0.04837209302325581,1075
fresh 0.05,11,upper west,south,32,0.8961760307626575,4681
fresh 0.05,11,upper west,south,48,0.4080754592090022,6043
fresh 0.05,11,upper west,south,64,0.716192483315771,5694
fresh 0.05,11,upper west,south,80,0.5886722376973074,6462
fresh 0.05,11,upper west,south,96,0.6177033492822966,2090
fresh 0.05,11,upper west,tropics,32,0.7791666666666667,960
fresh 0.05,11,upper west,tropics,48,0.2900107411385607,1862
fresh 0.05,11,upper west,tropics,64,0.4173693086003373,1186
fresh 0.05,11,upper west,tropics,80,0.5945723684210527,1216
fresh 0.05,11,upper west,tropics,96,0.5781041388518025,749
fresh 0.2,9,lower,north,32,0.920237066304482,8099
fresh 0.2,9,lower,north,48,0.8974696889826042,11382
fresh 0.2,9,lower,north,64,0.9333619948409286,11630
fresh 0.2,9,lower,north,80,0.912573673870334,11198
fresh 0.2,9,lower,north,96,0.941760601180891,3726
fresh 0.2,9,lower,south,32,0.8464460119370592,7372
fresh 0.2,9,lower,south,48,0.8220971867007673,9775
fresh 0.2,9,lower,south,64,0.8819202477739063,10332
fresh 0.2,9,lower,south,80,0.9425789787403139,10066
fresh 0.2,9,lower,south,96,0.9453394706559264,1738
fresh 0.2,9,lower,tropics,32,0.9772537562604341,9584
