step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water
100000,32.00,25,0,12,0,4,0,1.00,0,0.375,1516,0.00,80.32,21.15,686,0,0,0,1.00,1.00,1.00,4,5,5,19.2,57.510,16,2.000,0.082,5,1.000
100000,32.00,25,6,3,0,1,0,3.56,4,0.094,1511,0.00,27.10,14.80,682,0,0,1,2.00,3.80,4.67,2,3,5,23.4,0.020,10,2.000,0.118,5,1.000
100000,20.00,16,0,6,0,4,0,1.00,0,0.300,1496,0.34,20.29,118.61,481,0,1,0,1.00,1.00,1.00,1,4,4,17.9,25.304,10,2.000,0.127,4,1.000
100000,24.00,16,0,6,0,6,0,1.00,0,0.250,1485,2.35,19.84,173.13,682,0,0,0,1.00,1.00,1.00,1,4,4,19.5,75.274,12,2.000,0.142,4,1.000
100000,12.00,16,0,3,0,3,0,1.00,4,0.250,1482,0.00,11.41,25.95,682,0,1,0,1.00,1.00,1.00,2,4,2,13.6,0.000,6,2.000,0.134,4,1.000
100000,8.00,25,0,0,0,4,0,1.00,10,0.000,1474,2.20,101.13,3.08,682,0,0,0,1.00,1.00,1.00,2,1,4,22.5,40.000,4,2.000,0.120,5,1.000
100000,1.74,10,0,0,0,2,0,1.00,34,0.000,1470,0.65,42.66,16.47,629,1,1,0,1.00,1.00,1.00,1,2,1,34.1,8.705,2,0.871,0.364,10,1.000
100000,63.00,25,11,4,1,5,0,3.75,0,0.063,1467,0.00,16.25,1.21,481,0,0,1,2.00,6.20,3.40,4,5,5,12.2,0.000,21,2.000,0.163,5,1.000
100000,72.00,25,14,5,0,3,0,5.85,0,0.069,1467,0.00,16.28,4.07,682,0,0,1,1.00,7.80,7.30,4,5,5,14.5,4.243,22,2.000,0.231,5,1.000
100000,3.21,24,0,0,0,3,0,1.00,32,0.000,1466,0.66,57.15,20.45,684,0,0,0,1.00,1.00,1.00,1,1,3,4.8,16.032,3,1.069,0.497,10,1.000
100000,42.74,30,11,0,0,19,0,3.50,2,0.000,1464,0.00,7.90,24.17,299,0,0,0,1.00,4.62,4.29,8,7,8,15.2,0.000,30,1.042,0.481,8,1.000
