step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion
430000,2,122,10.25,0.03,0.00,0.30,9.92,0.00,1.01,0.000,0.231,70192.6,4076.2,2,0,2.36,1.00,1.01,0.4026,3.77
430000,0,7,8.57,0.00,0.00,0.00,8.57,0.00,1.00,0.000,0.000,815.7,239.3,3,7,1.71,1.00,1.00,0.0291,182.13
440000,8,648,9.92,0.09,0.00,0.03,9.79,0.00,1.03,0.000,0.084,340868.6,8097.1,4,0,2.28,1.03,1.04,0.8090,14.92
440000,2,117,10.88,0.00,0.00,0.01,10.87,0.00,1.00,0.000,0.234,69119.7,5403.0,2,0,2.32,1.00,1.00,0.5359,5.84
440000,0,3,9.33,0.00,0.00,0.67,8.67,0.00,1.00,0.000,0.000,877.2,270.9,1,3,2.00,1.00,1.00,0.0323,181.17
450000,8,643,9.87,0.00,0.02,0.03,9.82,0.00,1.00,0.000,0.083,341571.6,7924.3,3,0,2.35,1.00,1.00,0.7914,13.54
450000,2,128,9.27,0.00,0.00,0.00,9.27,0.00,1.00,0.000,0.219,68938.0,4523.1,1,0,2.21,1.00,1.00,0.4467,5.97
450000,0,3,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.000,851.4,233.9,2,3,1.33,1.00,1.00,0.0293,176.93
460000,8,644,9.97,0.04,0.02,0.04,9.87,0.00,1.01,0.000,0.087,337126.9,7856.1,5,2,2.34,1.01,1.02,0.7827,13.72
460000,2,134,9.49,0.01,0.00,0.40,9.07,0.00,1.00,0.000,0.243,69285.6,4184.6,5,10,2.16,1.01,1.01,0.4148,6.17
460000,0,4,9.25,0.00,0.00,0.00,9.25,0.00,1.00,0.000,0.000,851.7,201.8,2,4,2.00,1.00,1.00,0.0239,149.51
470000,8,625,10.16,0.13,0.00,0.04,9.99,0.00,1.04,0.000,0.083,337033.7,8150.2,4,0,2.39,1.04,1.05,0.8133,13.09
470000,2,124,9.95,0.25,0.01,0.00,9.69,0.00,1.06,0.000,0.227,67759.5,3897.0,3,0,2.44,1.09,1.05,0.3868,6.30
470000,0,3,5.00,0.00,0.00,0.00,5.00,0.00,1.00,0.000,0.000,784.8,151.5,1,3,2.33,1.00,1.00,0.0178,133.11
480000,8,630,10.23,0.06,0.00,0.00,10.17,0.00,1.02,0.000,0.087,333193.2,7994.5,3,15,2.28,1.02,1.03,0.7970,13.34
480000,2,121,9.97,0.16,0.00,0.02,9.79,0.00,1.04,0.000,0.243,65159.0,4140.1,3,6,2.32,1.03,1.05,0.4114,4.96
480000,0,3,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,766.2,159.5,0,3,2.00,1.00,1.00,0.0173,100.59
490000,8,632,10.67,0.10,0.00,0.04,10.53,0.00,1.03,0.000,0.088,342460.8,8193.1,4,0,2.24,1.05,1.05,0.8179,12.13
490000,2,131,10.63,0.50,0.00,0.06,10.07,0.00,1.13,0.000,0.256,67791.7,4072.0,2,0,2.37,1.07,1.18,0.4047,4.84
490000,0,6,7.17,0.00,0.00,0.83,6.33,0.00,1.00,0.000,0.000,807.1,188.1,4,6,2.00,1.00,1.00,0.0227,103.66
500000,8,612,10.70,0.01,0.01,0.03,10.65,0.00,1.00,0.000,0.094,341731.6,7985.7,4,10,2.36,1.00,1.00,0.7975,10.26
500000,2,124,9.59,0.06,0.02,0.10,9.41,0.00,1.02,0.000,0.249,68083.4,3917.9,3,12,2.27,1.02,1.02,0.3890,4.76
500000,0,2,5.00,0.00,0.00,0.00,5.00,0.00,1.00,0.000,0.000,777.9,153.6,1,2,2.50,1.00,1.00,0.0185,105.49
510000,8,596,9.86,0.04,0.00,0.01,9.81,0.00,1.02,0.000,0.082,330767.3,7919.8,6,10,2.36,1.02,1.02,0.7917,11.08
510000,2,120,9.17,0.01,0.00,0.01,9.15,0.00,1.00,0.000,0.223,66288.3,3869.6,4,3,2.20,1.00,1.00,0.3835,5.35
510000,0,8,6.88,0.00,0.00,0.00,6.88,0.00,1.00,0.000,0.000,611.2,104.4,2,8,2.62,1.00,1.00,0.0121,96.81
520000,8,622,10.59,0.01,0.01,0.06,10.52,0.00,1.00,0.000,0.089,330939.7,8059.5,5,2,2.25,1.00,1.00,0.8041,14.88
520000,2,125,9.45,0.00,0.00,0.00,9.45,0.00,1.00,0.000,0.227,65508.2,4090.6,2,6,2.23,1.00,1.00,0.4074,1.81
520000,0,3,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,673.1,118.6,1,3,2.00,1.00,1.00,0.0148,94.51
530000,8,626,10.22,0.17,0.00,0.18,9.88,0.00,1.05,0.000,0.093,330340.7,7990.5,2,16,2.37,1.05,1.06,0.7977,12.44
530000,2,110,9.96,0.00,0.00,0.17,9.79,0.00,1.00,0.000,0.231,64388.5,3805.5,2,7,2.29,1.00,1.00,0.3787,4.13
530000,0,3,6.33,0.00,0.00,0.00,6.33,0.00,1.00,0.000,0.000,644.4,107.4,1,3,2.33,1.00,1.00,0.0126,82.63
