step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
260000,8,147,7.55,0.00,0.03,0.00,7.52,0.00,1.00,0.000,0.018,53424.9,875.7,1,0,2.44,1.00,1.00,0.1081,1.93,8458.2,67.7872,5.5945,3947
260000,1,30,12.57,0.43,0.00,0.00,12.13,0.00,1.12,0.000,0.223,23181.7,1367.8,1,0,3.23,1.01,1.14,0.1549,0.88,1688.2,3.7442,2.3880,98
260000,0,7,9.71,0.00,0.00,0.00,9.71,0.00,1.00,0.000,0.000,1471.2,465.4,1,4,2.57,1.00,1.00,0.0679,1.23,125248.8,0.0000,0.0000,12339
270000,8,103,7.84,0.00,0.37,0.05,7.43,0.00,1.00,0.000,0.014,57658.6,976.9,1,0,2.57,1.00,1.00,0.1166,1.03,6929.3,66.2511,5.8632,3581
270000,1,44,10.77,0.25,0.00,0.11,10.41,0.00,1.04,0.000,0.275,24851.9,1791.7,0,0,3.11,1.00,1.08,0.2033,0.70,798.3,0.6852,2.5511,98
270000,0,5,9.00,0.00,0.00,0.00,9.00,0.00,1.00,0.000,0.000,750.2,320.7,0,5,3.00,1.00,1.00,0.0511,1.12,127180.9,0.0000,0.0000,12705
280000,8,74,8.92,0.00,0.00,0.01,8.91,0.00,1.00,0.000,0.011,24822.4,410.2,1,0,2.74,1.00,1.00,0.0525,0.92,4022.0,76.4255,2.5022,3626
280000,1,15,18.27,0.00,0.00,0.00,18.27,0.00,1.00,0.000,0.193,15216.9,1593.9,1,0,3.60,1.00,1.00,0.1870,4.75,833.5,32.1778,1.5883,98
280000,0,8,19.62,0.00,0.00,0.00,19.62,0.00,1.00,0.000,0.001,543.7,210.0,1,5,4.25,1.00,1.00,0.0323,2.19,129891.7,0.0000,0.0000,12660
290000,8,127,9.40,0.00,0.07,0.00,9.33,0.00,1.00,0.000,0.018,75946.5,1375.9,1,0,2.84,1.00,1.00,0.1651,2.77,8143.5,62.0872,7.6524,4118
290000,1,23,12.74,0.00,0.00,0.00,12.74,0.00,1.00,0.000,0.193,13407.3,1688.4,0,0,3.09,1.00,1.00,0.2008,5.37,702.8,5.5392,1.6341,98
