step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells
280000,0,725,6.86,0.02,0.03,0.09,6.72,0.00,1.00,0.000,0.057,360477.0,6280.3,1,58,3.13,1.00,1.00,0.7060,10.16,117699.6,0.0000,35.0701,5462
280000,1,439,7.07,0.07,0.00,0.04,6.97,0.00,1.03,0.000,0.035,221385.4,4022.6,1,70,3.18,1.03,1.03,0.4620,4.30,19424.7,20.7076,21.7343,5461
280000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,19.6,1.9,0,0,-0.00,-0.00,-0.00,0.0005,0.02,0.0,54.6056,0.0025,5461
290000,0,685,7.16,0.00,0.03,0.10,7.03,0.00,1.00,0.000,0.057,359764.1,6306.7,1,43,3.15,1.00,1.00,0.7084,9.47,117759.1,0.0000,35.0011,5462
290000,1,449,6.92,0.06,0.06,0.00,6.80,0.00,1.01,0.000,0.035,220844.5,4116.8,1,69,3.13,1.01,1.02,0.4703,7.56,19449.4,20.7422,21.6660,5461
290000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,10.0,0.1,0,0,-0.00,-0.00,-0.00,0.0001,0.00,0.0,54.6083,0.0010,5461
300000,0,747,6.93,0.00,0.02,0.14,6.77,0.00,1.00,0.000,0.059,359918.0,6309.7,1,50,3.13,1.00,1.00,0.7090,6.15,117687.0,0.0000,35.0035,5462
300000,1,433,6.90,0.00,0.00,0.08,6.81,0.00,1.00,0.000,0.034,220027.5,4023.5,1,63,3.19,1.00,1.00,0.4599,4.18,19441.4,20.7437,21.5932,5461
300000,2,1,10.00,0.00,0.00,0.00,10.00,0.00,1.00,0.000,0.000,66.1,0.6,1,1,3.00,1.00,1.00,0.0003,0.00,0.5,54.5991,0.0068,5461
310000,0,716,6.78,0.00,0.00,0.00,6.78,0.00,1.00,0.000,0.056,360551.7,6391.0,1,57,3.11,1.00,1.00,0.7206,6.26,117778.7,0.0000,35.0405,5462
310000,1,448,7.31,0.08,0.04,0.27,6.91,0.00,1.02,0.000,0.037,220319.8,4076.4,1,66,3.20,1.00,1.03,0.4677,8.88,19412.1,20.7188,21.6320,5461
310000,2,1,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,405.4,1.5,1,0,3.00,1.00,1.00,0.0005,0.00,0.5,54.5467,0.0394,5461
320000,0,739,6.73,0.07,0.07,0.06,6.53,0.00,1.02,0.000,0.057,360996.3,5885.5,1,47,3.05,1.02,1.02,0.6631,4.70,117711.0,0.0000,34.9638,5462
320000,1,454,6.80,0.09,0.05,0.00,6.66,0.00,1.02,0.000,0.035,220616.0,3879.0,1,58,3.05,1.00,1.03,0.4471,5.38,19464.0,20.6869,21.6712,5461
320000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,42.1,1.9,0,0,-0.00,-0.00,-0.00,0.0008,0.00,0.0,54.6021,0.0045,5461
330000,0,736,6.81,0.00,0.02,0.01,6.79,0.00,1.00,0.000,0.057,359418.9,5071.2,1,43,3.05,1.00,1.00,0.5780,9.18,117812.1,0.0000,34.7653,5462
330000,1,455,6.91,0.20,0.02,0.01,6.68,0.00,1.06,0.002,0.036,220103.2,3295.8,1,45,3.03,1.07,1.07,0.3831,3.67,19485.0,20.6344,21.6428,5461
330000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,9.3,0.0,0,0,-0.00,-0.00,-0.00,0.0002,0.00,0.0,54.6082,0.0011,5461
340000,0,708,6.97,0.00,0.04,0.01,6.91,0.00,1.00,0.000,0.056,354666.0,4524.3,1,50,3.15,1.00,1.00,0.5169,5.94,117813.5,0.0000,34.3433,5462
340000,1,452,6.77,0.00,0.01,0.00,6.76,0.00,1.00,0.000,0.035,217974.1,2904.1,1,56,3.17,1.00,1.00,0.3367,3.98,19484.7,20.6597,21.4025,5461
340000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,29.1,0.1,0,0,-0.00,-0.00,-0.00,0.0001,0.00,0.0,54.6051,0.0031,5461
350000,0,690,7.18,0.02,0.05,0.00,7.10,0.00,1.00,0.000,0.057,351130.1,4243.6,1,48,3.23,1.00,1.01,0.4827,3.86,117890.4,0.0000,33.9863,5462
350000,1,434,7.29,0.02,0.03,0.00,7.24,0.00,1.01,0.000,0.036,214893.5,2792.4,1,49,3.29,1.01,1.01,0.3266,5.53,19493.2,20.6898,21.1117,5461
350000,2,1,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,7.8,0.6,1,1,4.00,1.00,1.00,0.0002,0.01,0.1,54.6085,0.0008,5461
360000,0,700,7.32,0.08,0.04,0.03,7.18,0.00,1.02,0.000,0.059,350108.7,4237.4,1,41,3.29,1.01,1.03,0.4825,5.65,117833.9,0.0000,33.9111,5462
360000,1,439,7.34,0.15,0.02,0.02,7.14,0.00,1.04,0.000,0.037,213716.3,2747.1,1,51,3.27,1.01,1.05,0.3195,3.68,19494.4,20.7531,20.9935,5461
360000,2,1,7.00,0.00,0.00,0.00,7.00,0.00,1.00,0.000,0.000,15.0,0.4,1,1,3.00,1.00,1.00,0.0002,0.00,0.0,54.6071,0.0016,5461
370000,0,690,7.21,0.00,0.07,0.02,7.12,0.00,1.00,0.000,0.057,349655.4,4215.1,1,45,3.27,1.00,1.00,0.4806,5.03,117878.9,0.0000,33.8556,5462
370000,1,426,7.27,0.01,0.05,0.02,7.18,0.00,1.00,0.000,0.035,213412.8,2733.1,1,54,3.30,1.00,1.00,0.3181,9.78,19429.6,20.7450,20.9799,5461
370000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,46.9,0.2,0,0,-0.00,-0.00,-0.00,0.0004,0.00,0.0,54.6023,0.0045,5461
380000,0,677,7.28,0.05,0.03,0.03,7.17,0.00,1.02,0.000,0.057,349829.0,4220.0,1,36,3.33,1.00,1.02,0.4805,5.98,117825.2,0.0000,33.8729,5462
380000,1,430,7.33,0.16,0.00,0.00,7.17,0.00,1.04,0.000,0.036,213821.5,2780.0,1,65,3.26,1.00,1.05,0.3246,7.84,19473.3,20.7688,20.9860,5461
380000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,25.8,0.3,0,0,-0.00,-0.00,-0.00,0.0002,0.00,0.0,54.6053,0.0029,5461
390000,0,690,7.19,0.00,0.04,0.01,7.14,0.00,1.00,0.000,0.057,349367.9,4136.5,1,50,3.24,1.00,1.00,0.4714,5.66,117866.8,0.0000,33.8576,5462
390000,1,439,7.09,0.00,0.00,0.00,7.09,0.00,1.00,0.000,0.035,213570.6,2726.5,1,56,3.23,1.00,1.00,0.3181,6.81,19481.9,20.7701,20.9789,5461
390000,2,0,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.000,0.000,15.1,0.3,0,0,-0.00,-0.00,-0.00,0.0003,0.00,0.0,54.6071,0.0017,5461
