step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density
100000,3.27,12,0,0,0,3,0,1.00,24,0.000,432,1.89,15.12,24.20,118,1,1,0,1.00,1.00,1.00,3,2,2,34.9,8.280,3,1.090
100000,2.16,9,0,0,0,2,0,1.00,26,0.000,431,1.09,8.06,17.81,118,0,0,0,1.00,1.00,1.00,1,2,1,17.5,9.482,2,1.081
100000,2.16,9,0,0,0,2,0,1.00,26,0.000,431,0.85,13.22,28.81,118,1,1,0,1.00,1.00,1.00,1,2,1,30.0,7.250,2,1.081
100000,2.29,3,0,0,0,2,0,1.00,26,0.000,431,0.94,6.17,10.23,118,0,0,0,1.00,1.00,1.00,1,1,2,7.1,11.527,2,1.145
100000,3.27,22,0,0,0,3,0,1.00,24,0.000,430,1.73,31.47,26.16,118,0,0,0,1.00,1.00,1.00,1,1,3,15.3,7.282,3,1.091
100000,1.13,8,0,0,0,1,0,1.00,28,0.000,429,0.93,18.91,13.74,118,0,0,0,1.00,1.00,1.00,1,1,1,7.0,5.559,1,1.129
100000,1.84,11,0,0,0,1,0,1.00,28,0.000,429,0.32,39.15,7.95,566,0,0,0,1.00,1.00,1.00,1,1,1,23.7,4.737,1,1.842
100000,2.16,10,0,0,0,2,0,1.00,26,0.000,426,0.57,4.11,15.87,118,1,1,0,1.00,1.00,1.00,2,1,3,27.0,9.010,2,1.081
100000,3.27,6,0,0,0,3,0,1.00,24,0.000,426,1.30,15.16,13.43,118,1,0,0,1.00,1.00,1.00,2,1,3,28.5,14.202,3,1.090
100000,7.94,8,1,0,0,2,0,1.75,24,0.000,425,1.63,9.96,24.16,566,0,0,0,3.00,1.00,1.67,3,8,1,15.4,10.606,3,1.984
100000,2.16,12,0,0,0,2,0,1.00,26,0.000,424,0.60,12.24,12.51,118,1,1,0,1.00,1.00,1.00,1,1,2,30.0,8.048,2,1.081
100000,10.81,11,0,0,0,10,0,1.00,16,0.000,424,1.78,14.81,21.47,118,1,2,0,1.00,1.00,1.00,2,5,3,36.5,22.048,10,1.081
