run,kind,lead,bodies,share,mass,pace,grass,seed,browse,algae,litter,kills
S 9,mixed / tooth / roams / bottom,litter,1145,0.016492,25.12,0.794,0.01908,0.012566,0.0053952,0,0.96296,0.32537
S 9,mixed / no tooth / roams / bottom,litter,777,0.011192,32,0.702,0.059389,0.00055706,0.00035168,0,0.9397,0.3286
S 9,plant / tooth / stays / shore,grass,505,0.0072739,55.98,0.528,0.49777,0.2831,0.02646,0.081855,0.11082,0.20476
S 9,plant / tooth / roams / shore,algae,216,0.0031112,21.96,0.8415,0.07588,0.027848,0.015188,0.88108,0,0.31231
S 9,plant / tooth / roams / bottom,litter,207,0.0029816,18.13,0.931,0.0029791,0.0017034,0,0,0.99532,0.24201
S 9,mixed / no tooth / roams / land,grass,186,0.0026791,32,0.694,0.94968,0.0013759,0,0,0.048942,0.34985
S 9,plant / no tooth / stays / surface,algae,110,0.0015844,21.95,0.8465,0.0045686,0,0,0.99543,0,0.083472
S 9,flesh / no tooth / stays / bottom,litter,66,0.00095065,32,0.704,0.0060731,0,0,0,0.99393,0.42026
S 9,plant / no tooth / roams / land,grass,46,0.00066258,32,0.696,0.97876,0,0,0,0.021238,0.15408
S 9,flesh / no tooth / stays / shore,litter,44,0.00063377,48,0.5715,0.46787,0.03528,0.00058966,0,0.49626,0.57974
S 9,mixed / no tooth / roams / surface,algae,44,0.00063377,22,0.845,0.014711,0,0,0.98529,0,0.43002
S 9,flesh / no tooth / roams / land,grass,42,0.00060496,32,0.7035,0.9545,0.022751,4.3811e-05,0,0.022701,0.76067
S 9,flesh / no tooth / stays / land,grass,40,0.00057615,48.5,0.5705,0.97447,0,0,0,0.025528,0.62453
S 9,flesh / no tooth / roams / bottom,litter,36,0.00051854,32,0.702,0.1541,0,0,0,0.8459,0.63849
S 9,plant / tooth / roams / land,grass,33,0.00047533,63.78,0.5,0.627,0.33353,0.022029,0,0.017438,0.22526
S 9,plant / tooth / roams / surface,algae,6,8.6423e-05,31.26,0.6985,0,0,0,1,0,0.10696
S 9,plant / tooth / stays / bottom,litter,4,5.7615e-05,50.745,0.555,0.0012177,0,9.2688e-05,0,0.99869,0.1059
S 9,flesh / tooth / stays / land,seed,3,4.3211e-05,78.87,0.449,0.10675,0.3858,0.15382,0,0.35362,0.56479
S 9,flesh / tooth / roams / shore,algae,2,2.8808e-05,24.335,0.809,0.00020047,0.00040094,0.18293,0.81647,0,0.66706
S 9,plant / tooth / stays / surface,algae,2,2.8808e-05,46.72,0.664,0.11105,0.044369,0.008971,0.83561,0,0
S 9,flesh / tooth / roams / land,litter,1,1.4404e-05,41.56,0.618,0.064895,0.050262,0.19394,0,0.6909,0.72336
S 9,mixed / no tooth / stays / surface,algae,1,1.4404e-05,33.44,0.686,0,0,0,1,0,0.34744
S 9,flesh / no tooth / roams / surface,algae,1,1.4404e-05,41.73,0.61,0,0,0,1,0,0.70272
S+Fb 9,mixed / tooth / roams / land,grass,17202,0.16085,57.05,0.525,0.4286,0.17824,0.33805,0.0050784,0.050035,0.41955
S+Fb 9,plant / no tooth / stays / shore,grass,16238,0.15183,45.2,0.589,0.50981,0.0077624,0.00038629,0.029296,0.45274,0.074583
S+Fb 9,plant / no tooth / stays / bottom,litter,12447,0.11638,32,0.703,0.018519,8.1617e-05,1.069e-05,0,0.98139,0.081808
S+Fb 9,plant / no tooth / roams / surface,algae,11437,0.10694,31,0.709,0.01276,0.00014778,2.0122e-05,0.98707,0,0.091358
S+Fb 9,mixed / no tooth / roams / shore,litter,9304,0.086996,32,0.697,0.34893,0.00074463,8.4297e-05,0,0.65024,0.43859
S+Fb 9,mixed / no tooth / roams / bottom,litter,6092,0.056963,32,0.697,0.033443,3.2457e-05,1.6763e-05,0,0.96651,0.37269
S+Fb 9,mixed / no tooth / stays / bottom,litter,5521,0.051624,40.06,0.624,0.0046842,5.2454e-05,8.5605e-07,0,0.99526,0.20824
S+Fb 9,plant / no tooth / roams / bottom,litter,4978,0.046546,32,0.701,0.025955,1.1339e-06,1.1339e-06,0,0.97404,0.16862
S+Fb 9,plant / no tooth / roams / shore,litter,4969,0.046462,32,0.698,0.29958,0.00077484,3.3426e-06,0.059796,0.63984,0.17872
S+Fb 9,plant / tooth / stays / land,grass,3597,0.033633,66.61,0.485,0.66603,0.25647,0.046121,0.0045578,0.026826,0.19456
S+Fb 9,mixed / tooth / stays / land,grass,2856,0.026705,63.7,0.497,0.60067,0.29821,0.059588,0.0024288,0.039095,0.30883
S+Fb 9,plant / no tooth / stays / land,grass,2562,0.023956,71.99,0.469,0.93531,0.016665,0.0014261,0.0051361,0.041464,0.051859
S+Fb 9,mixed / no tooth / stays / shore,litter,2408,0.022516,32,0.693,0.36202,0.0092483,0.0019451,0.0031014,0.62368,0.30136
S+Fb 9,mixed / tooth / stays / shore,grass,1966,0.018383,57.3,0.524,0.59167,0.23996,0.063681,0.0092691,0.095419,0.30087
S+Fb 9,mixed / tooth / roams / shore,grass,1295,0.012109,63.55,0.498,0.51645,0.23817,0.1349,0.024465,0.086012,0.45608
