gx,gy,land,dry,temp,predicted,region
25,9,64,0.6283,25.8,0.04183,1
26,9,64,0.6626,25.88,0.03484,1
27,9,64,0.6928,25.95,0.03484,1
28,9,64,0.7236,26.41,0.02826,0
29,9,64,0.7633,27.48,0.02265,0
30,9,64,0.7802,27.83,0.02265,0
31,9,64,0.7982,28.11,0.02265,0
32,9,64,0.8172,28.39,0.01192,0
33,9,64,0.8325,28.58,0.01192,0
34,9,64,0.8538,29.33,0.01192,0
35,9,49,0.7612,29.58,0.02265,0
36,9,28,0.737,29.28,0.0,0
46,9,8,0.4568,28.91,0.0,0
47,9,59,0.5618,29.23,0.04949,5
48,9,64,0.6519,28.84,0.03484,5
49,9,64,0.6813,28.86,0.03484,5
50,9,64,0.6644,28.48,0.03484,5
51,9,64,0.6155,27.96,0.04183,5
52,9,64,0.5877,27.58,0.04949,5
53,9,64,0.65,28.23,0.04183,5
54,9,64,0.6925,28.47,0.03484,5
55,9,32,0.7178,29.34,0.02826,0
15,10,2,0.4313,32.41,0.0,0
16,10,57,0.5184,32.04,0.04373,1
17,10,64,0.5858,31.47,0.04111,1
18,10,64,0.628,31.66,0.03224,1
19,10,64,0.6163,31.11,0.03224,1
20,10,64,0.5846,30.48,0.04111,1
21,10,64,0.5972,30.34,0.04111,1
22,10,64,0.6518,30.59,0.03285,1
23,10,64,0.663,29.97,0.03484,1
24,10,64,0.6551,29.26,0.03484,1
25,10,64,0.6535,28.84,0.03484,1
26,10,64,0.6908,29.36,0.03484,1
27,10,64,0.7157,29.44,0.02826,0
28,10,64,0.7478,29.83,0.02826,0
29,10,64,0.772,30.18,0.01456,0
30,10,64,0.7928,30.56,0.01456,0
31,10,64,0.8241,31.5,0.0092,0
32,10,64,0.8336,31.65,0.0092,0
33,10,64,0.8279,31.23,0.0092,0
34,10,64,0.8442,31.94,0.0092,0
35,10,9,0.8259,33.27,0.0,0
47,10,8,0.4866,31.75,0.0,0
48,10,55,0.5685,31.97,0.04111,5
49,10,64,0.6289,31.7,0.03224,5
50,10,64,0.6375,31.7,0.03224,5
51,10,64,0.5966,30.92,0.04111,5
52,10,64,0.5535,30.08,0.04111,5
53,10,64,0.5991,30.42,0.04111,5
54,10,64,0.671,31.24,0.03285,5
55,10,36,0.7059,32.41,0.02109,0
16,11,27,0.51,34.68,0.0,0
17,11,64,0.5764,34.71,0.02824,0
18,11,64,0.6164,34.6,0.02704,0
19,11,64,0.606,33.79,0.02704,0
20,11,64,0.6148,33.45,0.02704,0
