step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn
100000,0.65,64,0,0,0,1,0,1.00,28,0.000,1418,-0.00,110.17,1.08,692,1,0,0,1.00,1.00,1.00,1,1,1,36.4,1.398,1,0.652,0.603,8,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1413,0.00,43.01,46.21,588,2,0,0,1.00,1.00,1.00,4,4,4,40.2,15.223,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1398,0.00,56.59,36.51,734,0,0,0,1.00,1.00,1.00,4,4,4,24.0,40.970,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1395,0.02,49.15,101.30,588,2,1,0,1.00,1.00,1.00,4,4,4,40.4,26.791,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1387,1.56,45.40,46.58,588,2,1,0,1.00,1.00,1.00,4,4,4,41.4,12.420,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1380,0.00,59.36,14.79,588,2,0,0,1.00,1.00,1.00,4,4,4,42.5,31.499,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1369,0.00,54.75,25.78,588,1,0,0,1.00,1.00,1.00,4,4,4,30.2,30.695,16,2.000,0.000,4,1.000,0
100000,1.84,49,0,0,0,3,0,1.00,20,0.000,1367,0.00,56.94,4.13,692,0,1,0,1.00,1.00,1.00,1,2,2,24.3,0.249,3,0.614,0.503,7,1.000,1
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1354,1.06,48.77,69.90,719,0,0,0,1.00,1.00,1.00,4,4,4,24.5,35.653,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,4,0,12,0,1.00,0,0.125,1344,3.68,82.44,16.76,588,1,1,0,1.00,1.00,1.00,4,4,4,34.0,64.187,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1333,0.00,40.30,130.12,588,2,2,0,1.00,1.00,1.00,2,4,4,40.8,36.805,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1329,0.00,57.48,26.78,734,0,0,0,1.00,1.00,1.00,2,4,4,9.5,32.092,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1322,3.78,33.00,49.62,732,1,1,0,1.00,1.00,1.00,4,4,4,36.2,2.237,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1321,0.00,38.88,46.47,719,1,0,0,1.00,1.00,1.00,4,4,4,37.2,21.022,16,2.000,0.000,4,1.000,0
100000,6.50,64,0,0,0,11,0,1.00,18,0.000,1318,0.47,85.39,11.97,692,2,2,0,1.00,1.00,1.00,2,3,4,43.4,11.160,11,0.591,0.507,8,1.000,0
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1310,1.15,39.99,47.95,487,0,0,0,1.00,1.00,1.00,2,4,4,9.9,26.035,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,7,0,8,0,1.00,0,0.233,1310,0.18,44.74,29.07,734,0,0,0,1.00,1.00,1.00,4,4,4,25.3,7.160,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1306,0.00,30.11,50.69,744,1,2,0,1.00,1.00,1.00,4,4,4,34.5,12.612,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,1304,0.00,41.29,111.16,744,1,2,0,1.00,1.00,1.00,2,4,4,37.7,22.317,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,8,0,8,0,1.00,0,0.250,1294,0.00,51.03,51.61,719,1,0,0,1.00,1.00,1.00,4,4,4,29.4,31.275,16,2.000,0.000,4,1.000,0
100000,30.00,16,0,2,0,13,0,1.00,0,0.067,1277,0.00,39.42,11.19,749,1,2,0,1.00,1.00,1.00,4,4,4,38.9,3.562,15,2.000,0.000,4,1.000,1
100000,32.00,16,0,7,0,9,0,1.00,0,0.219,1276,0.00,42.81,52.02,588,1,2,0,1.00,1.00,1.00,4,4,4,39.0,26.854,16,2.000,0.000,4,1.000,0
100000,32.00,16,0,5,0,11,0,1.00,0,0.156,1273,0.00,51.18,39.71,719,0,1,0,1.00,1.00,1.00,4,4,4,19.8,28.530,16,2.000,0.000,4,1.000,0
