step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall
31000,353,250,739,810,324,64,7,648,21,2,2617,18025,15284.669,1745.781,0.4835,480.517,0.046,0.781,0.152,0.021,0.236,0.444,9,0.2859,0.7468,0.132,16.5,30.6,65.4,32.74,0.84,13.87,1.69,16.33,6.71,1.081,0.400,0.045,0.045,18.529,0.541,0.0023,222,875,269,111,95,2,0.422,230,15,169,169,18,49,286,26.42,101.58,20660,159354,20023,223173,137.9,-0.0,1300278,13.287,2710789.003,3.56e-14,0.00117,-2.07,334,1.522,1.117,0.405,0.001,1.523
32000,459,236,773,790,261,16,1,641,26,0,2838,18192,14636.295,1568.716,0.4016,428.917,0.054,0.774,0.141,0.032,0.198,0.477,11,0.2093,0.7333,0.096,14.3,28.5,54.9,29.07,0.37,13.40,1.02,14.27,6.58,1.056,0.431,0.052,0.050,16.417,0.427,0.0024,236,1258,280,162,63,3,0.551,280,17,318,124,26,88,345,25.31,105.48,20320,159076,20521,222138,87.2,-0.0,1300660,12.568,2710789.003,2.11e-14,0.00007,1.97,347,1.432,1.053,0.378,0.001,1.432
33000,303,223,620,643,206,22,1,764,12,0,1630,16986,14712.109,1222.288,0.4131,548.912,0.043,0.747,0.170,0.040,0.215,0.440,18,0.4006,0.7688,0.125,14.6,28.1,48.0,27.81,0.24,13.59,0.72,13.25,6.51,1.047,0.455,0.030,0.030,18.479,0.597,0.0023,253,1164,331,120,129,4,0.584,196,10,179,114,22,41,240,35.25,130.64,19044,158499,20929,218598,95.2,-0.0,1308383,16.095,2710789.003,1.89e-14,0.00001,3.13,286,1.602,1.198,0.403,0.001,1.602
34000,291,182,477,502,150,22,3,478,9,2,1233,14400,10393.235,1004.081,0.4819,409.942,0.040,0.791,0.146,0.024,0.214,0.443,3,0.2890,0.7708,0.061,14.3,28.5,52.2,28.24,0.29,13.36,0.63,13.96,6.47,1.060,0.453,0.027,0.031,17.719,0.474,0.0022,255,1793,327,125,109,4,0.526,178,63,156,72,17,49,225,27.80,133.15,26348,158114,21092,214576,66.5,-0.0,1305789,10.034,2710789.003,3.71e-14,0.00002,4.34,210,1.293,1.046,0.246,0.001,1.293
35000,529,276,1106,1168,351,56,6,840,25,3,2752,26951,17794.858,1952.276,0.4860,614.730,0.026,0.748,0.194,0.033,0.197,0.471,9,0.2345,0.7934,0.098,13.4,24.3,50.3,26.26,0.39,11.90,0.75,13.22,6.34,1.049,0.428,0.028,0.026,13.152,0.469,0.0023,188,843,318,235,116,4,0.527,305,61,308,160,25,68,436,26.56,100.44,29055,157639,21749,211233,197.6,-0.0,1304531,14.544,2710789.003,3.35e-14,0.00079,9.34,504,1.479,1.052,0.426,0.002,1.479
36000,634,332,1629,1760,774,126,5,1471,52,1,8426,35473,24740.527,3216.281,0.2815,844.779,0.025,0.686,0.222,0.067,0.219,0.451,55,0.2571,0.7766,0.124,14.3,28.7,48.5,29.33,0.41,14.17,0.66,14.10,6.40,1.042,0.452,0.041,0.041,12.695,0.588,0.0029,199,787,267,518,99,5,0.379,426,211,236,187,22,70,542,24.68,90.35,22475,157125,21785,205414,151.4,-0.0,1316304,22.405,2710789.003,2.71e-14,0.00262,7.81,832,1.703,1.060,0.639,0.003,1.703
37000,545,294,1143,1203,443,53,7,1184,47,1,4844,41717,19671.625,2478.906,0.3797,639.429,0.037,0.788,0.142,0.033,0.244,0.445,77,0.2742,0.7846,0.104,13.9,25.9,53.5,27.10,0.44,13.01,0.73,12.92,6.40,1.032,0.457,0.033,0.026,13.924,0.512,0.0027,250,974,255,463,77,5,0.435,320,23,387,135,21,77,447,23.35,98.56,22245,156953,22260,199098,83.5,0.0,1323432,19.122,2710789.003,2.58e-14,0.00030,9.22,471,1.553,1.057,0.494,0.001,1.553
38000,462,261,1030,1061,348,27,4,1089,24,0,2967,25289,18523.431,1736.485,0.3937,568.313,0.021,0.775,0.165,0.040,0.193,0.475,19,0.3310,0.8074,0.113,13.4,24.3,50.3,26.56,0.26,12.23,0.57,13.50,6.35,1.025,0.445,0.022,0.019,14.600,0.513,0.0025,240,991,311,349,104,5,0.249,287,34,323,105,31,55,376,29.80,115.13,21468,156329,22438,195052,80.3,-0.0,1329945,18.509,2710789.003,2.70e-14,0.00047,7.15,453,1.603,1.127,0.475,0.001,1.603
39000,437,243,933,963,309,30,0,941,14,3,2292,24805,16788.479,1577.040,0.4434,560.798,0.025,0.754,0.160,0.061,0.213,0.446,25,0.3138,0.8009,0.077,12.8,23.5,48.0,24.68,0.44,11.27,0.49,12.48,6.16,1.040,0.430,0.034,0.032,13.169,0.524,0.0025,223,1159,313,259,119,5,0.199,260,15,267,155,15,61,361,28.29,127.32,20703,155811,21896,192143,109.1,-0.0,1335111,16.715,2710789.003,2.82e-14,0.00098,2.82,382,1.594,1.177,0.417,0.001,1.594
40000,306,205,755,784,209,21,8,868,12,6,1741,17516,14182.704,1262.565,0.4504,478.361,0.027,0.771,0.162,0.040,0.193,0.452,54,0.4384,0.8441,0.080,12.0,20.9,53.2,25.25,0.24,11.87,0.78,12.36,6.24,1.022,0.464,0.020,0.026,16.166,0.526,0.0025,239,1363,367,102,108,5,0.275,170,11,220,75,23,45,238,33.27,136.14,20822,155613,21785,190596,83.0,0.0,1337730,14.276,2710789.003,1.65e-14,0.00262,3.32,317,1.496,1.145,0.351,0.000,1.497
