step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
5000,-10,1,2112,1777.4211,4091.03,924.42,31.13,0,34.10,14.316,3.894,0.4107,520.363,738.61,188.6129
5000,-10,2,4369,4337.1231,9615.71,14703.25,22.35,0,31.95,13.246,4.641,0.8226,818.104,910.99,462.2214
5000,0,0,1782,654.9160,1533.09,27.82,13.48,0,38.25,16.980,2.964,0.2072,415.251,588.24,69.3205
5000,0,1,1813,1348.3285,3147.91,904.47,38.37,0,38.44,17.154,2.982,0.3424,681.675,643.39,140.2162
5000,0,2,4772,4129.8814,9506.10,13732.57,24.81,0,35.59,15.662,3.923,0.6617,956.400,1100.54,437.6864
5000,10,0,3100,858.3644,2172.87,52.11,12.82,0,39.64,17.948,2.735,0.1509,360.592,951.75,87.5427
5000,10,1,2872,1815.8286,4424.63,1463.95,40.01,0,39.66,18.036,2.813,0.2845,651.185,1017.80,185.0670
5000,10,2,3473,2800.5842,6485.02,8246.94,33.29,0,35.43,15.835,4.236,0.5690,835.891,863.54,291.6536
5000,20,0,4066,998.9734,2349.14,63.62,12.64,0,37.26,16.536,3.406,0.1209,226.476,966.66,101.6922
5000,20,1,3396,2367.4530,5402.49,1600.56,35.90,0,38.02,17.020,3.252,0.3174,601.923,1192.71,243.0072
5000,20,2,983,771.7149,1769.61,1604.13,41.44,0,35.01,15.513,4.309,0.4724,651.441,274.06,79.6353
5000,30,0,6595,1966.5317,4420.13,78.44,21.71,0,34.61,14.635,3.863,0.1457,203.452,1672.47,198.2853
5000,30,1,2467,1894.8174,4077.56,1024.42,31.35,0,37.25,16.010,2.990,0.3491,541.811,843.94,194.7323
5000,30,2,212,212.8020,453.34,232.63,-1.69,0,34.43,14.184,3.530,0.5401,672.299,64.14,22.7174
5000,40,0,6660,2011.6041,4342.51,63.07,20.92,0,30.80,11.815,4.407,0.1543,142.393,1432.90,201.5092
5000,40,1,1272,1334.5374,2769.42,510.25,15.21,0,33.69,13.139,3.266,0.5066,492.410,416.60,140.3708
5000,40,2,238,279.2014,585.41,289.28,-2.21,0,32.68,12.791,3.680,0.6616,635.780,68.90,30.0392
5000,50,0,5123,831.2824,1757.96,12.71,12.58,0,24.64,7.787,5.653,0.1092,55.464,670.07,81.0952
5000,50,1,582,776.9118,1614.96,156.21,-0.23,0,29.35,9.895,3.768,0.6790,394.675,186.54,83.4896
5000,50,2,11,16.9434,36.03,15.46,18.16,0,29.23,9.427,3.407,0.9224,469.157,2.94,1.8324
5000,60,0,3853,162.1885,348.54,0.73,4.64,0,18.42,3.766,6.742,0.0636,16.341,172.39,13.7818
5000,60,1,2,3.1508,6.95,0.38,6.62,0,22.00,4.855,4.841,0.8637,180.559,0.66,0.3450
5000,70,0,4656,32.5367,100.33,0.12,-1.63,0,14.79,1.142,6.379,0.0303,7.277,51.73,2.8553
5000,80,0,3564,4.1675,30.87,0.02,-1.84,0,15.07,0.173,3.927,0.0086,3.471,20.09,0.4119
6000,-60,0,5487,1647.1110,2306.66,95.44,16.72,0,2.50,0.235,14.938,0.5345,23.350,1484.21,241.8814
