step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,n,s,e,w,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,crowd_max,wasted,intake_per_gut
350000,3097,1.251,0.011,7.44,471479,448017,1580,46,21765,7879,1620226.1,721.5,0.883,0.041,0.039,0.015,0.023,507,7.80,5.79,0.11,1.50,0.51,2.89,0.20,1.81,6.98,4.13,0.00,0.08,0.033,0.135,455,0.124,0.654,0.001,0.000,0.344,469238,459222,3,0.655,0.022,0.020,390469,0.060,0.074,0.000,163.27,142421,387,0.092,0.543,0.000,1913655,1.06,19.95,0.001,0.039,0.003,4,6,11,64,1075,12,0.00,0.0075
360000,3025,1.280,0.011,7.61,487347,466549,1719,56,19095,12957,1617667.9,948.4,0.888,0.040,0.035,0.016,0.021,512,8.22,6.03,0.07,0.76,0.58,3.22,0.23,2.22,7.34,4.45,0.00,0.11,0.035,0.137,523,0.070,0.651,0.008,0.000,0.341,485548,475289,4,0.714,0.164,0.020,488370,0.058,0.075,0.000,163.27,149092,409,0.073,0.554,0.000,2249747,1.04,19.54,0.000,0.045,0.001,4,7,15,64,1094,12,0.00,0.0073
370000,3078,1.282,0.010,7.95,472133,451963,1806,35,18276,9310,1617614.4,660.2,0.883,0.039,0.034,0.018,0.026,474,8.07,5.99,0.12,0.98,0.45,3.00,0.16,1.49,7.34,4.79,0.01,0.20,0.027,0.124,532,0.122,0.664,0.006,0.001,0.330,470367,459504,5,0.713,0.032,0.025,630386,0.046,0.055,0.000,163.27,156967,277,0.071,0.686,0.001,1932038,1.06,19.72,0.000,0.032,0.002,4,6,14,54,1155,14,0.00,0.0072
380000,2935,1.298,0.010,7.55,464304,441592,1522,1161,20172,48995,1613831.1,6386.2,0.880,0.039,0.034,0.020,0.026,480,8.95,7.33,0.22,2.11,0.55,2.90,0.21,2.02,7.97,5.43,0.03,0.37,0.031,0.119,716,0.076,0.652,0.008,0.000,0.339,462358,451655,6,0.643,0.074,0.020,751636,0.032,0.068,0.000,163.27,154951,526,0.130,0.345,0.002,2054989,1.08,19.27,0.002,0.146,0.007,4,7,15,64,1075,11,0.00,0.0069
390000,3043,1.281,0.012,7.95,443124,420894,1204,1676,19242,83417,1621898.9,11498.2,0.862,0.046,0.042,0.021,0.029,493,8.18,5.90,0.10,1.09,0.60,3.41,0.18,2.04,7.29,4.17,0.01,0.18,0.035,0.138,479,0.132,0.657,0.003,0.000,0.340,440626,428630,6,0.515,0.018,0.020,506018,0.049,0.066,0.000,163.27,148561,481,0.138,0.282,0.000,2244471,1.04,19.85,0.001,0.021,0.005,4,7,13,64,1157,11,0.00,0.0073
400000,2960,1.311,0.010,7.71,467892,446801,1385,31,19758,8071,1612365.8,566.6,0.849,0.053,0.048,0.022,0.029,482,8.53,5.92,0.12,1.52,0.41,2.74,0.08,1.23,7.93,4.84,0.00,0.12,0.025,0.111,487,0.162,0.650,0.001,0.000,0.349,464900,455086,9,0.389,0.017,0.008,403730,0.058,0.062,0.000,163.27,148112,266,0.070,0.613,0.000,2042053,1.05,19.55,0.000,0.045,0.002,4,7,14,64,1159,12,0.00,0.0069
410000,3028,1.280,0.012,7.41,462630,442486,1428,62,18586,10703,1605643.4,993.8,0.847,0.050,0.046,0.025,0.033,509,8.44,6.53,0.15,1.38,0.64,3.74,0.38,2.63,7.27,4.46,0.01,0.23,0.035,0.141,509,0.156,0.669,0.003,0.000,0.327,459801,449449,7,0.631,0.013,0.096,1071198,0.022,0.068,0.000,163.27,145837,347,0.093,0.516,0.001,2194384,1.05,19.52,0.001,0.047,0.005,4,7,13,64,1156,12,0.00,0.0073
420000,2993,1.295,0.013,8.41,466922,444366,1584,42,20965,8353,1603558.5,843.5,0.867,0.044,0.040,0.021,0.028,460,8.47,6.23,0.08,0.80,0.50,3.11,0.10,1.08,7.80,5.11,0.01,0.18,0.026,0.117,515,0.143,0.647,0.001,0.000,0.351,464529,454407,7,0.357,0.017,0.026,1905744,0.013,0.077,0.000,163.27,154732,293,0.101,0.548,0.001,1731785,1.04,19.58,0.001,0.039,0.003,4,7,13,64,1166,12,0.00,0.0069
430000,3029,1.322,0.008,8.78,469968,447552,1332,461,20587,15490,1623421.9,2535.1,0.862,0.047,0.040,0.021,0.030,379,8.62,6.48,0.09,0.98,0.46,2.66,0.22,2.23,7.85,5.26,0.00,0.10,0.026,0.121,606,0.164,0.664,0.002,0.000,0.334,467609,456597,8,0.381,0.039,0.029,693937,0.026,0.061,0.000,163.27,172823,529,0.164,0.390,0.000,1812114,1.04,19.54,0.000,0.093,0.001,4,7,15,64,1170,13,0.00,0.0068
440000,3061,1.283,0.010,9.55,471771,452520,1540,37,17642,4641,1621161.0,491.2,0.869,0.044,0.038,0.021,0.029,344,8.10,6.37,0.09,1.37,0.53,2.71,0.16,1.73,7.32,5.03,0.01,0.18,0.038,0.139,584,0.145,0.670,0.001,0.000,0.329,469314,457058,9,0.337,0.153,0.021,696052,0.027,0.057,0.000,163.27,187948,236,0.106,0.432,0.000,1684510,1.05,19.84,0.003,0.016,0.002,4,7,13,64,1155,11,0.00,0.0072
