step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
78000,1379,0.3764,8082.6,269,658,432,289,70,139,155,24621,47542,54275,0,0,0,1.000,1.000,1.000,468,158,31,0.0142,0.7719,0.7764,0.3118
79000,2097,0.3600,10790.4,191,907,637,553,128,160,183,23496,44173,51970,0,0,0,1.000,1.000,1.000,654,269,89,0.0458,0.4504,0.6821,0.1916
80000,2748,0.3890,12272.7,169,1060,978,710,165,146,194,22674,40156,49049,0,0,0,1.000,1.000,1.000,792,392,109,0.1224,0.2623,0.6415,0.1119
81000,3329,0.3965,14805.5,167,1238,1244,847,131,149,199,22245,37005,46620,0,0,0,1.000,1.000,1.000,883,480,155,0.1661,0.2196,0.5928,0.0967
82000,3766,0.3938,16718.4,163,1381,1327,1058,150,173,217,23513,33987,43513,0,0,0,1.000,1.000,1.000,981,509,170,0.1993,0.2098,0.5654,0.0837
83000,4043,0.3948,18047.9,170,1439,1406,1198,169,147,211,24466,32127,41572,0,0,0,1.000,1.000,1.000,1000,523,196,0.2089,0.2011,0.5585,0.0791
84000,4055,0.4007,18464.2,176,1372,1543,1140,163,149,173,26085,30949,39079,0,0,0,1.000,1.000,1.000,966,604,180,0.2255,0.1909,0.5526,0.0737
85000,4287,0.4238,20313.1,177,1532,1523,1232,191,141,201,28179,30196,38300,0,0,0,1.000,1.000,1.000,1110,582,176,0.1861,0.2510,0.5360,0.0899
86000,4410,0.3796,19419.9,168,1540,1636,1234,160,169,204,29142,29918,36864,0,0,0,1.000,1.000,1.000,1123,603,206,0.2073,0.2121,0.5425,0.0803
87000,4093,0.4144,18279.8,174,1446,1438,1209,146,142,201,30972,29876,36673,0,0,0,1.000,1.000,1.000,1040,594,212,0.2192,0.2004,0.5527,0.0778
88000,3688,0.4333,17105.3,183,1249,1411,1028,149,163,181,31966,30668,37039,0,0,0,1.000,1.000,1.000,885,509,170,0.2301,0.2013,0.5690,0.0774
89000,3333,0.4212,15700.0,187,1186,1261,886,122,163,191,33486,32048,38428,0,0,0,1.000,1.000,1.000,822,481,190,0.1957,0.2374,0.5843,0.0879
