step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn
100000,10.00,16,0,2,0,3,0,1.00,4,0.200,2983,0.00,134.97,109.41,596,0,0,0,1.00,1.00,1.00,2,4,2,7.2,14.901,5,2.000,0.936,4,1.000,8
100000,20.00,16,0,2,0,8,0,1.00,0,0.100,2982,0.16,167.34,67.16,765,0,0,0,1.00,1.00,1.00,4,4,4,19.7,65.584,10,2.000,0.979,4,1.000,6
100000,10.00,16,0,3,0,2,0,1.00,4,0.300,2981,0.00,114.50,80.37,764,1,0,0,1.00,1.00,1.00,2,4,2,35.2,27.186,5,2.000,0.845,4,1.000,9
100000,24.00,25,0,0,0,12,0,1.00,0,0.000,2975,0.84,156.55,59.50,764,0,0,0,1.00,1.00,1.00,3,5,5,6.3,44.959,12,2.000,0.687,5,1.000,12
100000,20.00,16,0,3,0,7,0,1.00,0,0.150,2961,1.76,152.44,51.37,679,0,0,0,1.00,1.00,1.00,4,4,4,19.4,44.407,10,2.000,0.984,4,1.000,6
100000,16.00,16,0,2,0,6,0,1.00,0,0.125,2960,0.67,153.76,28.25,644,1,0,0,1.00,1.00,1.00,3,4,4,29.9,38.149,8,2.000,0.822,4,1.000,8
100000,18.00,16,0,5,0,4,0,1.00,0,0.278,2945,0.00,129.08,63.84,654,1,2,0,1.00,1.00,1.00,4,4,4,26.2,34.647,9,2.000,0.882,4,1.000,7
100000,10.00,16,0,3,0,2,0,1.00,2,0.300,2943,0.93,150.95,26.87,654,2,2,0,1.00,1.00,1.00,1,4,3,39.3,24.550,5,2.000,0.880,4,1.000,11
100000,22.00,16,0,6,2,4,0,1.00,0,0.273,2942,0.02,139.15,110.38,654,2,2,0,1.00,1.00,1.00,2,4,4,53.7,44.874,12,2.000,0.898,4,1.000,4
100000,8.00,16,0,3,0,1,0,1.00,6,0.375,2918,0.00,90.95,107.23,697,0,0,0,1.00,1.00,1.00,2,3,2,17.8,3.740,4,2.000,0.958,4,1.000,9
