step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest
100000,22.40,20,0,0,0,20,0,1.00,8,0.000,1492,2.60,140.06,43.01,95,0,0,0,1.00,1.00,1.00,8,8,8,15.2,107.424,20,1.120,0.461
100000,20.53,14,0,0,0,14,0,1.00,8,0.000,1486,3.21,158.62,38.67,95,0,0,0,1.00,1.00,1.00,5,8,8,23.8,89.160,14,1.466,0.470
100000,21.73,13,0,0,0,13,0,1.00,8,0.000,1468,3.68,128.38,48.84,95,0,0,0,1.00,1.00,1.00,7,8,8,21.9,85.144,13,1.671,0.515
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1464,4.57,152.80,70.85,95,0,0,0,1.00,1.00,1.00,8,8,8,18.2,105.408,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1411,3.83,221.94,58.01,95,0,0,0,1.00,1.00,1.00,8,8,8,12.9,101.592,20,1.567,0.588
100000,29.80,19,0,0,0,19,0,1.00,6,0.000,1408,4.81,121.06,63.66,95,1,1,0,1.00,1.00,1.00,7,8,8,30.9,98.560,19,1.568,0.613
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1388,3.56,217.75,107.39,95,0,0,0,1.00,1.00,1.00,8,8,8,12.4,99.936,20,1.416,0.521
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1386,4.43,127.98,35.64,95,1,1,0,1.00,1.00,1.00,8,8,8,30.6,99.792,20,1.567,0.588
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1376,4.68,169.90,88.45,95,0,0,0,1.00,1.00,1.00,8,8,8,13.6,99.072,20,1.567,0.588
100000,20.21,14,0,0,0,14,0,1.00,12,0.000,1364,2.91,76.14,69.61,95,1,1,0,1.00,1.00,1.00,7,8,8,34.5,81.840,14,1.443,0.583
100000,22.40,20,0,0,0,20,0,1.00,8,0.000,1356,1.33,148.43,58.04,95,0,0,0,1.00,1.00,1.00,8,8,8,20.3,97.632,20,1.120,0.461
100000,31.34,20,0,0,0,20,0,1.00,8,0.000,1332,2.19,99.74,46.07,95,0,0,0,1.00,1.00,1.00,8,8,8,13.0,95.904,20,1.567,0.588
100000,20.32,19,0,0,0,19,0,1.00,0,0.000,1309,3.10,138.08,40.37,310,0,1,0,1.00,1.00,1.00,4,8,8,23.3,91.630,19,1.069,0.412
100000,19.91,14,0,0,0,14,0,1.00,8,0.000,1306,3.39,89.39,31.95,95,0,0,0,1.00,1.00,1.00,7,8,8,19.3,78.360,14,1.422,0.529
100000,28.33,20,0,0,0,20,0,1.00,8,0.000,1299,2.84,157.77,80.12,95,1,1,0,1.00,1.00,1.00,8,8,8,33.8,93.528,20,1.416,0.521
