step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
220000,2,33,26.97,0.15,0.00,1.88,20.61,0.00,1.00,0.000,0.008,14957.4,3302.7,1,7,7.24,1.00,1.00,1.8979,138.40,50.2,31.6722,1.6934,5461,0.3797,387,0.8082,3972.2
230000,0,581,21.33,0.45,0.17,0.28,17.13,0.00,1.05,0.000,0.120,346217.1,207405.7,1,21,6.72,1.02,1.07,57.9379,2171.73,88052.5,0.0001,4.1054,5462,0.4261,226,65.0115,470403.5
230000,1,517,19.82,0.31,0.10,0.36,16.16,0.00,1.06,0.000,0.100,306441.9,169020.4,1,11,6.47,1.06,1.07,47.7910,1862.46,13152.1,20.1671,4.5398,5461,0.4261,256,54.5890,394486.0
230000,2,20,22.73,0.70,0.40,0.05,17.75,0.00,1.07,0.000,0.005,21501.8,5026.4,1,3,6.60,1.00,1.17,2.5056,173.12,34.0,62.5202,2.2733,5461,0.4261,376,1.0961,6680.3
240000,0,541,21.84,0.26,0.26,0.57,17.73,0.00,1.03,0.000,0.117,207029.0,103911.1,1,8,6.92,1.01,1.05,30.6585,2293.96,88401.2,0.0000,3.8849,5462,0.3424,234,33.0016,243637.6
240000,1,478,21.51,0.39,0.19,0.52,17.23,0.00,1.06,0.000,0.100,172058.3,82292.2,1,20,6.86,1.03,1.08,24.7213,1446.39,13517.4,6.8699,4.4632,5461,0.3423,315,28.3657,192344.0
240000,2,43,16.55,0.09,0.00,0.28,13.19,0.00,1.01,0.000,0.007,11647.6,2442.9,1,5,5.07,1.00,1.03,1.4931,152.67,55.8,32.4506,1.3907,5461,0.3423,527,0.5257,2691.3
250000,0,619,20.04,0.19,0.17,0.49,16.54,0.00,1.03,0.000,0.124,348483.2,209213.6,1,11,6.49,1.02,1.04,58.4763,2002.53,88297.8,0.0000,3.9963,5462,0.4108,215,66.3321,475368.2
250000,1,544,20.69,0.39,0.11,0.40,16.92,0.00,1.06,0.000,0.110,303308.5,169823.4,1,14,6.54,1.03,1.08,47.2393,1323.07,13099.0,19.2608,4.5787,5461,0.4107,270,53.1662,390821.9
250000,2,31,16.73,0.00,0.00,0.39,13.74,0.00,1.00,0.000,0.005,24818.9,6116.8,1,4,5.58,1.00,1.00,3.0146,192.09,26.8,63.0639,2.5990,5461,0.4107,315,1.2753,7759.6
260000,0,579,21.74,0.30,0.18,0.66,17.25,0.00,1.05,0.000,0.122,201116.3,101667.9,1,11,6.69,1.02,1.06,29.8805,1572.99,89064.3,0.0000,4.1314,5462,0.3395,237,32.4435,234805.3
260000,1,443,22.46,0.37,0.25,0.92,17.13,0.00,1.08,0.000,0.094,180363.9,87638.4,1,14,6.83,1.06,1.10,26.1956,1551.00,13709.8,6.1927,4.4139,5461,0.3394,336,29.2394,205437.4
260000,2,22,21.33,0.00,0.00,0.82,16.55,0.00,1.00,0.000,0.005,11884.4,2360.9,1,4,6.55,1.00,1.00,1.5068,180.33,40.0,32.5005,1.3988,5461,0.3394,444,0.6374,3014.5
270000,0,585,19.56,0.08,0.05,0.94,15.38,0.00,1.02,0.000,0.110,345502.2,199541.0,1,10,6.18,1.01,1.02,57.0547,1920.52,88388.4,0.0000,4.6819,5462,0.3820,236,64.9402,464011.5
270000,1,550,19.74,0.27,0.33,0.71,15.40,0.00,1.03,0.000,0.105,305493.2,163318.1,1,13,6.28,1.01,1.04,46.8726,1698.53,12718.1,19.2914,4.6569,5461,0.3819,313,55.1728,392804.7
270000,2,27,24.25,0.93,0.00,2.04,17.89,0.00,1.08,0.000,0.006,19868.2,4929.0,1,6,6.89,1.00,1.05,2.3968,138.35,69.5,62.3928,2.0722,5461,0.3819,269,1.0497,6243.8
280000,0,533,22.49,0.54,0.05,1.70,15.87,0.00,1.07,0.000,0.110,189281.2,89056.1,1,9,6.73,1.06,1.07,27.2941,1518.20,89739.2,0.0000,4.5584,5462,0.3183,255,31.9455,217228.7
280000,1,467,20.69,0.21,0.15,1.40,15.18,0.00,1.05,0.000,0.091,182362.0,86383.3,1,11,6.57,1.04,1.05,26.4318,1533.80,13737.0,6.2586,4.4131,5461,0.3183,289,29.7790,208504.6
280000,2,32,24.65,1.06,0.00,1.62,16.84,0.00,1.21,0.000,0.007,11037.2,2182.9,1,9,6.53,1.00,1.33,1.3678,65.57,28.2,32.0886,1.3320,5461,0.3183,460,0.5608,2696.5
290000,0,597,20.16,0.26,0.04,0.96,15.18,0.00,1.03,0.000,0.112,345911.4,194053.8,1,14,6.23,1.02,1.04,56.2614,2262.89,88059.3,0.0000,4.6811,5462,0.3905,274,66.5624,466761.1
290000,1,503,19.90,0.29,0.07,1.35,14.44,0.00,1.07,0.000,0.094,290879.2,148327.9,1,15,6.37,1.06,1.07,43.6495,1711.95,13113.7,20.0954,4.7276,5461,0.3904,285,52.8299,369346.2
290000,2,17,23.72,0.00,0.00,0.59,18.71,0.00,1.00,0.000,0.004,19716.2,4781.9,1,5,7.29,1.00,1.00,2.3314,109.54,22.5,62.3102,2.0579,5461,0.3904,316,1.1449,6532.8
300000,0,568,22.59,0.45,0.17,1.01,16.56,0.00,1.04,0.000,0.116,196111.6,90770.5,1,14,6.64,1.03,1.03,28.0502,1742.78,88476.0,0.0000,4.6640,5462,0.3622,255,32.1229,223867.7
300000,1,457,21.99,0.46,0.22,1.03,15.42,0.00,1.08,0.002,0.091,177948.1,84209.3,1,15,6.49,1.05,1.12,25.7313,1592.65,13994.5,6.4054,4.5685,5461,0.3621,332,28.9094,203167.4
300000,2,11,21.90,0.00,0.00,0.36,16.82,0.00,1.00,0.000,0.002,12781.0,2663.7,1,8,6.82,1.00,1.00,1.6762,44.67,20.3,31.9822,1.5361,5461,0.3621,496,0.7551,3337.7
310000,0,566,20.42,0.21,0.39,0.88,15.70,0.00,1.05,0.000,0.112,343611.2,195941.7,1,8,6.39,1.03,1.05,56.5109,2089.36,87802.3,0.0000,4.6420,5462,0.3622,294,64.8194,461893.2
310000,1,500,20.66,0.18,0.05,1.00,15.25,0.00,1.02,0.000,0.094,295308.2,153928.8,1,12,6.31,1.00,1.03,44.8214,1798.68,12824.4,20.5080,4.8414,5461,0.3622,323,53.3500,376510.1
310000,2,39,23.52,0.05,0.00,2.08,17.51,0.00,1.01,0.000,0.009,17427.5,3709.8,1,8,6.54,1.00,1.03,1.9677,108.54,37.9,63.5988,1.8041,5461,0.3622,299,0.9707,5309.2
320000,0,518,21.58,0.38,0.04,1.20,15.97,0.00,1.05,0.000,0.104,190315.6,90711.8,1,8,6.73,1.03,1.05,27.8595,1248.05,89973.6,0.0000,4.5344,5462,0.3207,275,31.3155,218531.4
320000,1,522,21.21,0.30,0.01,1.56,14.98,0.00,1.04,0.000,0.101,175108.8,80373.6,1,17,6.57,1.01,1.04,24.8428,1317.84,13657.8,6.3976,4.6546,5461,0.3206,358,30.1396,199331.7
320000,2,24,19.88,0.00,0.00,1.54,14.21,0.00,1.00,0.000,0.004,9523.7,1918.7,1,4,6.38,1.00,1.00,1.2306,137.74,31.2,32.2256,1.1479,5461,0.3206,437,0.5439,2492.1
330000,0,566,21.03,0.49,0.24,0.92,15.75,0.00,1.08,0.000,0.111,337536.1,190424.3,1,17,6.50,1.04,1.10,55.2829,2049.47,87568.0,0.0000,4.4911,5462,0.3180,248,64.4146,454282.2
330000,1,495,19.49,0.19,0.08,1.22,14.27,0.00,1.03,0.000,0.090,299819.4,153671.0,1,15,6.20,1.02,1.03,45.2545,1428.51,12134.3,20.9139,4.5582,5461,0.3180,350,54.5978,386615.0
330000,2,27,21.98,0.30,0.48,2.30,14.93,0.00,1.20,0.000,0.006,13507.8,2782.2,1,7,6.52,1.18,1.17,1.5102,73.23,27.8,63.4162,1.4748,5461,0.3180,408,0.7283,3914.8
340000,0,564,21.01,0.32,0.08,1.08,15.88,0.00,1.06,0.000,0.111,197232.9,94167.1,1,17,6.66,1.06,1.09,28.8773,1657.35,89200.4,0.0000,4.3195,5462,0.3278,285,32.1311,228292.2
340000,1,451,20.84,0.20,0.09,1.44,15.05,0.00,1.02,0.000,0.087,178019.9,83438.1,1,9,6.42,1.02,1.02,25.6799,1647.51,13387.1,6.9744,4.4869,5461,0.3277,321,29.1891,204348.8
