step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
220000,0,369,7.75,0.08,0.00,0.12,7.54,0.00,1.02,0.000,0.033,185487.6,2259.5,2,174,3.28,1.01,1.03,0.2910,5.36,587.2,25.8036,18.3760,5462,12.2890,111,0.0000,0.0
220000,1,566,7.77,0.08,0.01,0.01,7.68,0.00,1.03,0.000,0.051,296721.2,2522.4,2,29,3.31,1.01,1.03,0.2936,3.22,973.5,8.2683,29.2188,5461,25.4526,1,0.0000,0.0
220000,2,670,8.28,0.03,0.04,0.02,8.20,0.00,1.02,0.000,0.063,353988.5,3812.8,2,62,3.34,1.01,1.02,0.4267,1.71,2427.6,0.1308,34.4771,5461,44.1785,0,0.0000,0.0
230000,0,366,7.64,0.02,0.02,0.01,7.59,0.00,1.01,0.000,0.032,185477.0,2407.7,2,177,3.27,1.00,1.01,0.3125,4.73,618.9,25.8679,18.3742,5462,12.2890,98,0.0000,0.0
230000,1,578,7.68,0.11,0.07,0.01,7.48,0.00,1.04,0.000,0.051,296662.7,2561.0,2,17,3.21,1.03,1.04,0.2983,3.07,991.2,8.2745,29.2383,5461,25.4526,0,0.0000,0.0
230000,2,673,8.39,0.08,0.00,0.03,8.27,0.00,1.02,0.000,0.064,353750.2,3828.5,2,50,3.38,1.01,1.03,0.4275,1.97,2474.1,0.1259,34.4567,5461,44.1785,0,0.0000,0.0
240000,0,359,7.89,0.04,0.07,0.01,7.76,0.00,1.01,0.000,0.032,185890.1,2224.7,2,188,3.24,1.00,1.01,0.2892,7.26,598.4,25.7154,18.3893,5462,12.2890,84,0.0000,0.0
240000,1,565,7.70,0.01,0.01,0.00,7.68,0.00,1.00,0.000,0.050,296311.3,2568.2,2,22,3.25,1.00,1.00,0.2992,5.25,963.0,8.2482,29.2174,5461,25.4526,0,0.0000,0.0
240000,2,660,8.35,0.09,0.02,0.03,8.20,0.00,1.02,0.000,0.063,353826.1,3871.6,2,41,3.36,1.01,1.02,0.4326,2.01,2430.8,0.1250,34.4769,5461,44.1785,0,0.0000,0.0
250000,0,365,7.66,0.03,0.00,0.01,7.62,0.00,1.01,0.000,0.032,185999.9,2208.8,2,153,3.29,1.01,1.01,0.2838,3.42,621.9,25.6000,18.4069,5462,12.2890,39,0.0000,0.0
250000,1,579,7.77,0.05,0.01,0.05,7.67,0.00,1.01,0.000,0.052,296259.0,2524.4,2,21,3.26,1.02,1.01,0.2941,4.35,969.1,8.2675,29.1884,5461,25.4526,0,0.0000,0.0
250000,2,688,8.27,0.06,0.05,0.02,8.15,0.00,1.02,0.001,0.065,353867.1,3831.4,2,49,3.34,1.02,1.02,0.4282,3.86,2477.4,0.1273,34.4673,5461,44.1785,0,0.0000,0.0
260000,0,351,7.81,0.05,0.00,0.00,7.76,0.00,1.01,0.000,0.032,186027.9,2074.3,2,165,3.25,1.01,1.02,0.2683,7.41,605.6,25.4272,18.4318,5462,12.2890,51,0.0000,0.0
260000,1,570,7.63,0.02,0.03,0.01,7.58,0.00,1.00,0.002,0.049,296076.7,2535.4,2,19,3.28,1.00,1.00,0.2935,4.63,985.0,8.2562,29.2088,5461,25.4526,0,0.0000,0.0
260000,2,666,8.33,0.06,0.07,0.03,8.17,0.00,1.01,0.000,0.063,353576.2,3759.7,2,62,3.38,1.00,1.02,0.4195,3.06,2480.5,0.1375,34.4234,5461,44.1785,0,0.0000,0.0
270000,0,361,7.91,0.08,0.08,0.01,7.74,0.00,1.01,0.000,0.033,186191.6,2029.8,2,163,3.38,1.01,1.01,0.2616,3.59,615.4,25.4174,18.4431,5462,12.2890,48,0.0000,0.0
270000,1,580,7.81,0.10,0.06,0.02,7.64,0.00,1.03,0.000,0.052,296038.1,2562.2,2,24,3.29,1.01,1.04,0.2969,1.93,955.3,8.2816,29.1950,5461,25.4526,1,0.0000,0.0
270000,2,667,8.38,0.11,0.02,0.03,8.22,0.00,1.04,0.000,0.064,353707.8,3889.7,2,38,3.39,1.03,1.04,0.4359,5.11,2453.4,0.1284,34.4334,5461,44.1785,0,0.0000,0.0
280000,0,362,7.89,0.04,0.01,0.04,7.80,0.00,1.01,0.000,0.033,185522.1,2112.8,2,152,3.27,1.00,1.01,0.2725,2.87,606.1,25.5924,18.3463,5462,12.2890,17,0.0000,0.0
280000,1,581,7.86,0.08,0.01,0.06,7.71,0.00,1.02,0.000,0.052,296230.8,2565.4,2,24,3.33,1.02,1.03,0.2980,2.38,963.9,8.3372,29.2023,5461,25.4526,0,0.0000,0.0
280000,2,668,8.17,0.04,0.01,0.04,8.08,0.00,1.01,0.000,0.063,354427.7,3810.6,2,49,3.35,1.01,1.02,0.4256,3.47,2463.3,0.1449,34.5179,5461,44.1785,0,0.0000,0.0
290000,0,362,7.89,0.06,0.00,0.01,7.81,0.00,1.02,0.000,0.032,185353.5,2085.2,2,157,3.36,1.01,1.02,0.2685,6.38,603.9,25.6349,18.3664,5462,12.2890,33,0.0000,0.0
290000,1,572,7.67,0.05,0.06,0.01,7.56,0.00,1.02,0.000,0.050,296341.8,2564.8,2,29,3.33,1.01,1.02,0.2982,1.75,973.4,8.2592,29.2186,5461,25.4526,0,0.0000,0.0
290000,2,655,8.42,0.12,0.04,0.00,8.27,0.01,1.04,0.002,0.063,354139.7,3815.4,2,47,3.36,1.02,1.03,0.4266,6.91,2464.6,0.1275,34.4804,5461,44.1785,0,0.0000,0.0
300000,0,389,8.04,0.03,0.04,0.01,7.96,0.00,1.00,0.000,0.036,186124.9,1983.1,2,156,3.28,1.00,1.01,0.2559,7.79,602.7,25.3078,18.4369,5462,12.2890,40,0.0000,0.0
300000,1,585,7.67,0.06,0.06,0.00,7.55,0.00,1.01,0.000,0.051,296114.7,2540.7,2,16,3.20,1.00,1.02,0.2956,3.34,939.6,8.2638,29.1950,5461,25.4526,0,0.0000,0.0
300000,2,670,8.44,0.09,0.04,0.04,8.26,0.00,1.03,0.000,0.065,353386.7,3798.3,2,44,3.35,1.02,1.03,0.4254,6.59,2440.5,0.1334,34.4385,5461,44.1785,3,0.0000,0.0
310000,0,363,7.91,0.08,0.05,0.02,7.76,0.00,1.03,0.000,0.033,185685.6,2190.4,2,167,3.37,1.02,1.03,0.2839,6.28,611.9,25.7596,18.4061,5462,12.2890,65,0.0000,0.0
310000,1,553,7.72,0.02,0.00,0.01,7.69,0.00,1.01,0.000,0.049,295972.8,2530.6,2,18,3.23,1.01,1.01,0.2961,2.86,953.5,8.3217,29.1817,5461,25.4526,1,0.0000,0.0
310000,2,655,8.24,0.02,0.03,0.04,8.15,0.00,1.00,0.000,0.062,353867.1,3792.5,2,56,3.32,1.00,1.01,0.4258,6.17,2442.8,0.1451,34.4845,5461,44.1785,0,0.0000,0.0
320000,0,357,7.76,0.08,0.01,0.01,7.65,0.00,1.02,0.000,0.032,185864.9,2254.0,1,164,3.16,1.01,1.03,0.2934,5.95,569.4,25.8699,18.3910,5462,12.2890,75,0.0000,0.0
320000,1,575,7.70,0.08,0.01,0.00,7.61,0.00,1.02,0.002,0.051,296497.5,2532.7,1,21,3.28,1.01,1.02,0.2976,2.31,964.6,8.3209,29.2239,5461,25.4526,1,0.0000,0.0
320000,2,660,8.29,0.07,0.01,0.04,8.18,0.00,1.01,0.002,0.063,354046.7,3819.1,1,51,3.35,1.01,1.02,0.4322,2.67,2439.3,0.1326,34.4718,5461,44.1785,1,0.0000,0.0
330000,0,367,7.80,0.00,0.01,0.00,7.79,0.00,1.00,0.000,0.033,187008.4,1971.0,2,172,3.26,1.00,1.00,0.2541,4.17,636.7,25.2167,18.5071,5462,12.2890,21,0.0000,0.0
330000,1,579,8.00,0.13,0.04,0.01,7.82,0.00,1.04,0.000,0.052,296071.1,2520.8,2,32,3.31,1.02,1.05,0.2960,1.71,991.3,8.2782,29.1824,5461,25.4526,0,0.0000,0.0
