step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
3000,-20,2,3894,784.3330,257.02,11158.74,6.93,880,23.12,7.914,6.771,0.9007,391.719,0.00,0.0000
3000,-10,0,1811,274.9969,33.30,24.50,12.59,75,31.50,12.709,4.431,0.3388,340.548,0.00,0.0000
3000,-10,1,2058,710.3821,79.89,916.37,31.37,267,32.02,12.959,4.303,0.4773,483.458,0.00,0.0000
3000,-10,2,4355,548.9792,143.95,15913.53,11.08,858,29.23,11.571,5.250,0.8614,694.958,0.00,0.0000
3000,0,0,1825,291.9924,115.00,30.60,24.16,21,37.41,16.495,3.150,0.2302,425.363,0.00,0.0000
3000,0,1,1745,595.2641,121.35,844.46,37.49,112,37.90,16.780,3.076,0.3812,693.182,0.00,0.0000
3000,0,2,4797,535.7023,135.62,15265.32,16.99,576,34.46,14.927,4.116,0.6949,948.455,0.00,0.0000
3000,10,0,3026,291.4213,173.01,50.09,35.83,127,40.63,18.682,2.575,0.1709,432.692,0.00,0.0000
3000,10,1,2748,708.5551,347.70,1368.79,39.59,106,40.90,18.911,2.604,0.3071,755.170,0.00,0.0000
3000,10,2,3671,449.5854,229.77,9695.11,10.42,254,35.66,15.945,4.091,0.5751,933.279,0.00,0.0000
3000,20,0,4005,195.6842,176.37,61.69,30.01,8,39.70,18.275,2.973,0.1202,280.053,0.00,0.0000
3000,20,1,3295,523.2085,449.47,1559.79,23.74,27,40.39,18.650,2.791,0.2855,685.372,0.00,0.0000
3000,20,2,1145,150.8800,117.28,2023.57,18.17,41,36.78,16.550,3.783,0.4529,778.895,0.00,0.0000
3000,30,0,6759,438.8690,457.90,84.89,23.69,39,38.74,17.388,3.021,0.1427,299.248,0.00,0.0000
3000,30,1,2292,399.4520,415.24,986.61,33.32,35,41.06,18.618,2.288,0.2722,598.955,0.00,0.0000
3000,30,2,223,127.1405,144.51,247.92,36.98,0,39.23,17.346,2.607,0.4455,813.709,0.00,0.0000
3000,40,0,6694,480.8978,469.83,63.17,19.30,64,36.45,15.410,3.132,0.1375,209.555,0.00,0.0000
3000,40,1,1249,373.3784,333.97,498.56,39.83,20,39.59,16.999,2.119,0.4010,626.107,0.00,0.0000
3000,40,2,227,110.7930,106.86,272.95,41.55,3,38.35,16.455,2.533,0.5485,815.007,0.00,0.0000
3000,50,0,5128,406.8850,406.57,13.07,12.37,7,31.96,11.949,3.647,0.1006,88.177,0.00,0.0000
3000,50,1,577,247.3217,163.30,147.86,37.17,4,36.75,14.451,2.160,0.5784,575.612,0.00,0.0000
3000,50,2,11,4.0217,0.45,14.62,40.85,2,34.40,12.649,2.345,0.8754,666.790,0.00,0.0000
3000,60,0,3853,176.0320,215.74,0.78,12.87,1,28.19,8.396,3.506,0.0598,24.032,0.00,0.0000
3000,60,1,2,4.0545,4.79,0.35,1.61,0,27.47,7.910,3.407,0.8878,312.177,0.00,0.0000
3000,70,0,4656,89.9322,95.78,0.15,24.33,0,29.38,6.019,1.140,0.0303,3.781,0.00,0.0000
3000,80,0,3564,37.6916,33.92,0.06,32.21,0,31.98,4.100,0.008,0.0216,0.008,0.00,0.0000
4000,-60,0,5423,0.5928,51.41,93.57,-7.67,0,-14.97,0.000,29.966,0.5455,4.710,0.00,0.0000
4000,-60,1,2309,0.2723,47.76,539.29,-9.62,0,-17.28,0.000,32.281,0.9660,4.930,0.00,0.0000
4000,-60,2,2,0.0000,0.00,2.22,5.87,0,-4.86,0.000,19.856,0.9995,20.502,0.00,0.0000
4000,-50,0,7183,98.8460,172.53,94.51,3.24,13,-4.82,0.000,20.255,0.4362,10.990,0.00,0.0000
4000,-50,1,1511,27.4822,46.24,448.00,15.77,0,-5.38,0.000,20.784,0.7976,18.233,0.00,0.0000
4000,-50,2,4,0.0000,0.00,6.21,12.12,0,0.40,0.000,15.037,0.9853,31.408,0.00,0.0000
4000,-40,0,6354,316.5437,353.20,61.69,17.35,38,6.76,0.742,12.573,0.4062,33.092,0.00,0.0000
4000,-40,1,1725,79.3579,75.46,618.41,29.81,8,5.27,0.584,13.641,0.7063,48.126,0.00,0.0000
