run,kind,share,held,side,cells,bodies,born_size,hard,open_born,travel,wood,kills,land,surface,bottom,cold
control,flesh / no tooth / roams / bottom,0.0019186325382636376,False,4,2222222244224442,220,16.0,0.010920897284533647,1.0666666666666667,25.0,0.0,0.6546765860169343,0.01818181818181818,0.0,0.9818181818181818,0.013636363636363636
control,plant / tooth / roams / land,0.0009505952121397113,False,8,1111111411111114222122242222224422222244422224444444444444444444,109,25,0.29041677727634724,0.5,11.25,0.10020079554803028,0.2604794538497825,1.0,0.0,0.0,0.1743119266055046
control,mixed / tooth / roams / bottom,0.0008285004142502071,False,4,0022222222441444,95,16,0.08034610630407912,1.0,11.25,0.002329274813895654,0.4607180487009988,0.05263157894736842,0.0,0.9473684210526315,0.0
control,plant / tooth / stays / surface,0.000767453015305455,False,8,2200000022000000220000002200000022011000224000004444444044444444,88,30.0,0.17649122807017545,1.0666666666666667,5.375,0.0,0.30876985381789257,0.045454545454545456,0.9545454545454546,0.0,0.022727272727272728
control,mixed / no tooth / roams / land,0.0006366371604238434,False,4,2224222422244444,73,16,0.005415162454873646,1.0,12.75,0.003458636960942895,0.4029885284973588,0.9726027397260274,0.0,0.0273972602739726,0.0547945205479452
control,plant / tooth / stays / shore,0.0005668687044869838,False,9,222221111222211111222441111224444411244444441244444441244444441224444441222444441,65,81,0.19643820831084724,0.3898305084745763,3.0,0.035087763619276666,0.18657785236620916,0.6461538461538462,0.23076923076923078,0.12307692307692308,0.0
control,flesh / no tooth / roams / land,0.0005319844765185541,False,4,2222222242444442,61,16,0.04744525547445255,1.0,15.0,0.0013152235467846108,0.7906964824624914,0.9836065573770492,0.0,0.01639344262295082,0.01639344262295082
control,plant / no tooth / roams / land,0.0004709370775738019,False,4,2244222422244444,54,16.0,0.0036798528058877645,1.0,15.375,0.0,0.11717351670121691,0.9814814814814815,0.0,0.018518518518518517,0.037037037037037035
control,flesh / tooth / stays / land,0.0004622160205816945,False,4,1221222224442444,53,16,0.2664714494875549,0.7333333333333333,4.5,0.09382089367450903,0.6265630746598013,0.9811320754716981,0.0,0.018867924528301886,0.09433962264150944
control,plant / tooth / stays / bottom,0.00020930536781057864,False,4,4441442142220222,24,16.0,0.10360360360360361,1.0,0.25,0.0015613880017526043,0.06358888767883782,0.0,0.0,1.0,0.0
control,flesh / tooth / stays / shore,0.00013081585488161165,False,7,1111111111111422211142222224222222222222222222222,15,49,0.28183361629881154,0.5625,7.0,0.0391068785324134,0.5956469360517024,0.6,0.0,0.4,0.0
control,plant / tooth / roams / shore,6.10473989447521e-05,False,4,0221224144444444,7,16,0.2767857142857143,0.5333333333333333,11.25,0.2345839426557668,0.13700764749598446,0.8571428571428571,0.0,0.14285714285714285,0.7142857142857143
control,mixed / tooth / stays / bottom,5.232634195264466e-05,False,4,1111224144444444,6,16.0,0.19327731092436976,0.625,0.125,0.0,0.1809601530841963,0.0,0.0,1.0,0.0
control,flesh / tooth / stays / bottom,4.3605284960537216e-05,False,4,2211441144414444,5,16,0.26,0.6875,2.5,3.3233755155847846e-05,0.764645931265209,0.0,0.0,1.0,0.0
control,flesh / tooth / roams / bottom,4.3605284960537216e-05,False,4,0000002202212114,5,16,0.1826086956521739,0.8125,26.25,0.0031057656580669134,0.7623745981486567,0.0,0.0,1.0,0.0
control,plant / tooth / roams / bottom,4.3605284960537216e-05,False,4,1222222444444404,5,16,0.05,1.0666666666666667,77.0,0.021136130706575485,0.0981617889443622,0.0,0.0,1.0,0.0
control,mixed / no tooth / stays / surface,1.7442113984214886e-05,False,6,444444444444442244442244444444444444,2,36.0,0.0,0.6666666666666666,7.0,0.0,0.34110994681587214,0.0,1.0,0.0,0.0
control,plant / tooth / roams / surface,8.721056992107443e-06,False,10,0000444000004444440001224444400122244440012224444001222444400014444400001114000000000000000000000000,1,51,0.1568627450980392,0.4117647058823529,10.0,0.0,0.0,0.0,1.0,0.0,0.0
control,mixed / no tooth / roams / shore,0.1691253125201812,True,4,4444444422222222,18332,16.0,0.000393164272696074,1.0,15.25,4.458110926235441e-05,0.4174338194542947,0.2966943050403666,0.00458215142919485,0.6987235435304385,0.048548985380754965
control,mixed / no tooth / stays / bottom,0.12062587067430554,False,4,4444444444444444,13075,16,0.008644128947789313,1.0,1.5,1.115161860884586e-06,0.27425228312958533,0.031434034416826004,0.0,0.968565965583174,0.008107074569789674
control,plant / no tooth / stays / shore,0.11622521749559474,False,4,4444444444442222,12598,16.0,0.017591397695709214,1.0,1.03,0.00034057102750923276,0.08940513604496048,0.2716304175265915,0.018336243848229877,0.7100333386251786,0.03333862517859978
control,mixed / tooth / roams / land,0.11441698264648086,False,5,1111144441422242222222222,12402,36.0,0.26601295516855233,0.48,16.75,0.17188671678760353,0.4669931740766763,0.9454120303176907,0.004031607805192711,0.050556361877116596,0.05878084179970972
control,plant / no tooth / stays / bottom,0.09355770206563155,False,4,4444444444444444,10141,16,0.0036502059759086405,1.0,0.0,2.1110089643130157e-09,0.05360296338878631,0.030075929395523122,0.0,0.9699240706044768,0.003747164973868455
control,mixed / no tooth / roams / bottom,0.07214488020444125,False,4,2222222222224444,7820,16.0,0.0013257720898153115,1.0,15.0,8.349637964303002e-06,0.3721239319097442,0.04616368286445013,0.0,0.9538363171355498,0.01649616368286445
control,plant / no tooth / roams / surface,0.05436697941749006,False,6,444444444444444444240002220002222222,5893,29,0.004918821621428953,1.2142857142857142,23.0,1.798432704993961e-05,0.1840729570902893,0.03139317834719158,0.9682674359409469,0.00033938571186153065,0.012726964194807398
control,mixed / no tooth / stays / shore,0.05170998127185335,False,4,4444444444444444,5605,22,0.03663353603644982,0.9473684210526315,1.0,0.0017325467382693662,0.20407747342062332,0.4272970561998216,0.0,0.5727029438001784,0.03907225691347012
control,plant / no tooth / stays / land,0.03785299788731745,False,8,4444444444444444444444444444444444444444444444444444444444444444,4103,60,0.14910289707315985,0.4897959183673469,0.0,0.0009682439649765364,0.04331174502893093,0.9748964172556666,0.004874482086278333,0.020229100658055083,0.035827443334145746
control,mixed / tooth / stays / land,0.03560193001393079,False,7,1111111111411144444414444444222222222222222222222,3859,49,0.2933088855562846,0.38461538461538464,4.0,0.039341807734072476,0.3651516888492545,0.954651464109873,0.0005182689816014512,0.044830266908525526,0.14148743197719615
control,mixed / tooth / roams / shore,0.025610509903776075,False,6,001111004441002222002222002222000444,2776,36.0,0.21056541210920676,0.6,17.5,0.13539545904640846,0.4341875995337454,0.8195244956772334,0.010446685878962535,0.17002881844380405,0.0569164265129683
control,flesh / no tooth / roams / shore,0.022898157630105265,False,4,2222222222224444,2482,16.0,0.0014414089772752864,1.0,18.0,3.7701393366176394e-05,0.6386380981433115,0.42949234488315874,0.0,0.5705076551168412,0.030620467365028204
