step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share
26000,15792,8443,36754,69906,53227,32861,291,29601,6010,27,502604,4954848,31748.126,17832.403,0.4077,5024.552,0.077,0.715,0.129,0.079,0.561,0.323,1923,0.0758,0.6744,0.118,13.8,40.5,62.5,27.30,0.67,12.46,0.40,13.77,6.49,1.589,0.307,0.025,0.026,13.102,0.474,0.0026,261,975,5662,25918,3666,41,0.285,9744,450,1896,13446,1198,1574,13020,4.67,15.74,5853,10.5540,67338,7456,117453,674.3,-0.0,948561,25.767,2631002.543,7.79e-15,0.00043,11.77,31078,33.646,1.363,30.039,2.244,33.646,4773,3771,7248,0.2620,1.000,1.925,1.995,1.743,0.992,1.799,12235.293,11778.703,9717.636,12123.012,14932.030,3874.337,757.287,8176.226,0.486,0.688,0.556,0.453,0.445,0.495,5310,1181,0.6360,1.0000,1.0000,0.0837,1.0000,0.9999,0.8486,1.1424,1.0186,0.0224,0.0161,0.0352,0.0000,0.0000,0.8570,0.1182,0.6323,0.9779,0.00253
27000,16712,8375,37352,69195,52341,31473,370,28271,6882,23,498648,4877287,30805.440,17430.367,0.4086,4697.682,0.076,0.718,0.129,0.078,0.560,0.324,1847,0.0703,0.6866,0.117,12.0,39.0,60.0,26.71,0.61,12.06,0.38,13.66,6.51,1.574,0.302,0.019,0.020,12.886,0.467,0.0025,249,946,5939,26020,4272,41,0.312,9891,100,1985,14627,919,2048,13745,4.50,14.78,6133,10.0494,67324,7716,115300,707.5,-0.0,952493,23.681,2631002.543,2.44e-14,0.00000,35.39,31959,32.980,1.360,29.025,2.596,32.980,4782,4283,7647,0.2777,1.000,1.938,1.997,1.777,0.990,1.774,12160.159,11941.424,8321.608,12041.531,15139.982,3811.153,728.494,8193.038,0.484,0.679,0.562,0.399,0.449,0.489,5571,1256,0.7105,1.0000,1.0000,0.0773,1.0000,0.9999,0.8734,1.1531,1.0337,0.0166,0.0140,0.0376,0.0000,0.8017,0.9668,0.0713,0.6747,0.9954,0.00252
28000,16333,8435,37639,72865,55264,34718,508,30231,6914,24,483455,5149889,31452.140,18028.579,0.4250,5186.415,0.074,0.703,0.142,0.081,0.569,0.319,1756,0.0713,0.6953,0.103,11.3,37.8,59.8,26.21,0.75,11.84,0.34,13.28,6.53,1.578,0.302,0.021,0.022,12.993,0.472,0.0025,254,915,6997,26341,5426,43,0.343,9942,57,2276,14000,681,2086,13566,4.00,14.11,6496,10.0146,67321,7704,112960,680.9,0.0,956466,24.838,2631002.543,5.66e-15,0.00087,20.43,33167,34.491,1.372,30.578,2.541,34.492,4094,4286,7953,0.2744,1.000,1.963,1.999,1.833,0.988,1.765,12677.452,12172.737,8238.131,12574.351,15826.074,3851.790,675.879,8314.495,0.488,0.680,0.575,0.434,0.473,0.504,5571,849,0.7178,1.0000,1.0000,0.0813,1.0000,1.0000,0.8835,1.1467,1.0297,0.0203,0.0188,0.0440,0.0000,0.1419,0.9069,0.2078,0.6834,0.9884,0.00251
29000,17375,8476,38322,71488,54404,32675,491,29546,6584,38,496259,5060816,32367.412,17210.857,0.3980,4867.131,0.077,0.701,0.144,0.078,0.569,0.317,2162,0.0682,0.6942,0.110,12.0,38.7,60.8,27.08,0.66,11.81,0.32,14.28,6.57,1.563,0.300,0.020,0.020,12.534,0.448,0.0025,248,939,6954,28751,5337,43,0.335,10509,165,2714,14496,1046,2754,13575,4.00,14.10,7212,11.9050,67270,7310,110946,779.9,0.0,958558,24.809,2631002.543,3.54e-15,0.00004,15.85,32590,34.560,1.358,30.228,2.973,34.560,5436,4385,7554,0.2697,1.000,1.943,1.999,1.815,0.988,1.715,12943.438,11764.862,9341.679,12828.325,15064.539,3957.373,846.030,7540.323,0.486,0.660,0.581,0.414,0.466,0.485,5650,1112,0.6108,1.0000,0.9998,0.0758,1.0000,1.0000,0.8839,1.1277,1.0341,0.0123,0.0170,0.0424,0.0000,0.0254,0.9220,0.0753,0.6429,0.9601,0.00254
30000,16747,8419,39930,74925,57193,34457,538,31675,6507,41,509712,5260174,32420.748,18010.133,0.3955,5409.564,0.083,0.708,0.132,0.078,0.564,0.322,2039,0.0742,0.6943,0.103,12.4,38.0,63.0,27.12,0.78,11.69,0.34,14.30,6.54,1.568,0.296,0.021,0.023,12.254,0.482,0.0026,245,912,7034,28623,5164,46,0.336,10257,402,1839,14506,1472,2561,12714,3.89,14.45,7018,13.1616,67354,6788,107745,700.3,-0.0,962337,26.223,2631002.543,1.59e-14,0.00036,32.73,34706,35.969,1.369,31.829,2.771,36.008,6157,3987,6603,0.2549,1.000,1.935,1.999,1.814,0.988,1.688,11695.778,10964.732,12162.155,11598.121,14070.036,5222.153,910.636,6467.780,0.504,0.657,0.573,0.464,0.448,0.469,5409,2335,0.6391,1.0000,0.9998,0.0569,1.0000,0.9999,0.8890,1.1212,1.0113,0.0147,0.0242,0.0477,0.0000,0.7707,0.9424,0.2766,0.6696,0.9520,0.00248
31000,15028,7690,35079,63057,47736,27574,404,30511,5018,33,441976,4703641,29995.387,14753.751,0.3764,4355.636,0.095,0.707,0.127,0.072,0.553,0.330,1871,0.0783,0.6869,0.119,14.3,39.7,63.4,28.22,0.87,11.86,0.42,15.07,6.60,1.558,0.293,0.029,0.029,12.431,0.477,0.0027,260,975,6251,27680,4751,42,0.413,9212,1480,1688,11860,1159,2183,11686,4.75,15.97,8016,13.6532,67274,6335,104963,597.3,-0.0,965582,25.436,2631002.543,1.95e-14,0.00024,7.71,28420,32.480,1.353,28.869,2.257,32.480,5585,3535,5908,0.2615,1.000,1.928,2.000,1.815,0.990,1.654,10899.295,10133.933,11016.618,10794.882,12539.522,4577.813,885.965,4934.338,0.495,0.642,0.561,0.445,0.406,0.453,5180,1236,0.6210,1.0000,0.9999,0.0522,1.0000,1.0000,0.8930,1.1222,0.9737,0.0162,0.0262,0.0490,0.0000,0.0000,0.7667,0.1974,0.6396,0.9443,0.00249
32000,15513,7755,39026,72271,54371,32739,506,30425,6005,29,512892,4919534,30860.494,17327.981,0.3805,5131.374,0.086,0.727,0.119,0.069,0.553,0.327,2077,0.0802,0.6878,0.131,14.0,39.0,62.0,27.62,0.84,11.95,0.26,14.56,6.52,1.576,0.301,0.027,0.027,11.658,0.479,0.0027,242,914,5472,31345,4024,43,0.322,9502,1206,1182,13125,1218,2465,11830,4.50,15.95,6997,12.9182,67200,5864,102862,666.1,-0.0,969560,24.416,2631002.543,1.04e-14,0.00002,26.07,34256,34.681,1.359,30.730,2.592,34.682,5782,3726,6005,0.2588,1.000,1.977,2.000,1.853,0.988,1.673,10681.823,9987.466,12907.774,10560.621,12523.474,5802.174,941.512,5452.922,0.516,0.637,0.554,0.479,0.408,0.452,4760,2082,0.5612,1.0000,0.9999,0.0452,1.0000,1.0000,0.9048,1.0908,1.0075,0.0165,0.0261,0.0498,0.0000,0.6305,0.9539,0.0885,0.6892,0.9523,0.00252
33000,13378,6532,32964,57361,41876,24032,365,27720,5174,22,424378,4255570,26592.175,14216.309,0.3857,3986.930,0.073,0.743,0.113,0.071,0.536,0.338,1697,0.0885,0.6856,0.133,14.0,39.9,63.9,28.47,0.93,12.30,0.24,14.99,6.59,1.557,0.303,0.033,0.036,12.128,0.463,0.0028,249,938,4832,25656,3185,44,0.336,8211,43,1286,12049,685,2313,10380,4.76,16.96,6618,11.5311,67195,6160,101698,623.1,-0.0,973189,22.277,2631002.543,1.12e-14,0.00003,17.88,28398,30.524,1.359,27.213,1.951,30.524,4870,3294,5214,0.2687,1.000,1.981,2.000,1.839,0.990,1.652,9461.059,8567.695,10625.660,9358.040,10595.406,4911.551,690.186,4627.642,0.495,0.645,0.527,0.425,0.389,0.434,5213,2183,0.6226,1.0000,0.9999,0.0538,0.9999,1.0000,0.8898,1.1016,0.9811,0.0238,0.0218,0.0531,0.0000,0.2415,0.8907,0.2106,0.7394,0.9581,0.00249
34000,13809,7301,33094,61218,47141,27756,368,25835,4778,34,389289,4337262,28285.245,13609.259,0.3805,4350.352,0.072,0.727,0.130,0.072,0.564,0.321,1525,0.0753,0.6827,0.132,14.0,38.0,66.2,28.37,1.00,11.55,0.17,15.66,6.63,1.543,0.287,0.034,0.034,12.692,0.489,0.0026,237,891,4857,25871,3177,41,0.362,8468,41,1207,12561,987,2023,10799,4.00,15.05,7509,12.4033,67139,5997,99678,560.6,-0.0,974797,21.768,2631002.543,2.46e-14,0.00015,10.03,28598,30.277,1.346,26.824,2.108,30.278,4602,3304,5903,0.2569,1.000,1.955,2.000,1.817,0.990,1.639,10478.910,9759.393,9983.419,10381.307,12270.871,3538.228,855.937,4864.742,0.512,0.659,0.560,0.463,0.438,0.460,4647,2016,0.5831,1.0000,0.9999,0.0558,1.0000,1.0000,0.8570,1.1210,1.0186,0.0318,0.0212,0.0528,0.0000,0.0368,0.9190,0.0601,0.6543,0.9411,0.00249
35000,16197,7823,36193,65330,49828,28691,446,27107,4724,34,390931,4628783,30122.504,13871.158,0.3836,4497.415,0.066,0.734,0.125,0.076,0.564,0.326,1487,0.0660,0.6868,0.111,14.0,37.0,64.6,27.32,0.86,10.95,0.25,15.26,6.41,1.589,0.276,0.034,0.039,11.806,0.461,0.0026,238,903,4877,26759,3185,41,0.362,9725,140,1973,14084,1085,3674,11438,4.01,15.03,8345,15.5842,67296,5781,98138,695.2,-0.0,974756,22.763,2631002.543,2.25e-14,0.00005,33.64,31749,34.108,1.348,29.369,3.392,34.109,7064,3428,5705,0.2307,1.000,1.995,2.000,1.814,0.990,1.669,10305.902,9234.760,12889.355,10236.350,11494.214,4307.125,842.281,4224.337,0.535,0.638,0.555,0.467,0.399,0.433,4499,1940,0.5758,1.0000,0.9999,0.0511,1.0000,1.0000,0.8815,1.1198,1.0096,0.0263,0.0236,0.0474,0.0000,0.8076,0.9496,0.1593,0.6856,0.9442,0.00252
36000,14238,7756,38340,70637,53828,31758,539,32131,5751,29,440489,5182598,30178.210,16116.676,0.3960,5213.536,0.074,0.733,0.115,0.078,0.567,0.325,1690,0.0807,0.6916,0.129,14.5,37.0,63.4,27.92,1.06,11.15,0.25,15.46,6.53,1.553,0.279,0.038,0.043,12.284,0.530,0.0028,245,869,4934,28633,3092,35,0.345,8578,133,1456,12649,1228,1997,11013,4.25,15.36,6945,12.7745,67389,5577,95570,524.7,-0.0,980814,25.250,2631002.543,1.24e-15,0.00000,11.63,34816,36.597,1.370,32.754,2.473,36.597,5004,3572,5662,0.2689,1.000,1.992,2.000,1.840,0.989,1.654,10343.053,9188.275,13397.430,10271.944,11722.371,5412.945,710.819,4779.377,0.546,0.649,0.554,0.466,0.426,0.450,4273,2388,0.5379,1.0000,0.9999,0.0422,1.0000,0.9999,0.8714,1.1088,1.0128,0.0437,0.0243,0.0483,0.0000,0.0000,0.7605,0.2323,0.6312,0.9481,0.00248
37000,14034,6919,30938,52596,40686,21307,351,25152,3304,33,307422,3931473,27045.055,10887.731,0.3756,3670.719,0.073,0.721,0.125,0.081,0.547,0.338,1161,0.0707,0.6800,0.148,15.9,38.9,64.0,29.45,0.85,11.32,0.31,16.97,6.71,1.504,0.282,0.034,0.038,11.738,0.481,0.0027,254,1015,4532,23228,2900,34,0.479,8116,472,1339,12223,1572,1975,10487,4.25,16.80,9552,14.8360,67424,5638,94280,609.8,-0.0,980405,22.033,2631002.543,3.54e-16,0.00012,24.14,23786,28.440,1.369,24.937,2.133,28.440,5039,3527,5468,0.2907,1.000,1.279,2.000,1.725,0.990,1.633,10354.971,8702.095,9614.572,10282.877,10818.325,2672.502,795.014,3749.497,0.478,0.651,0.543,0.404,0.385,0.426,4173,2653,0.5587,1.0000,1.0000,0.0560,1.0000,1.0000,0.8377,1.1466,0.9997,0.0251,0.0157,0.0480,0.0000,0.5925,0.9406,0.0727,0.6308,0.9610,0.00253
38000,16276,7753,39683,74786,58067,34578,525,29360,5372,37,427861,4609005,32032.741,15382.146,0.3749,5357.840,0.070,0.719,0.123,0.088,0.546,0.339,1826,0.0701,0.6882,0.158,14.0,36.0,61.9,27.37,0.81,10.67,0.29,15.60,6.50,1.550,0.274,0.031,0.038,11.342,0.471,0.0027,232,832,4388,28225,2721,40,0.416,9248,375,2529,13372,1626,2320,12330,4.04,15.84,6800,13.8392,67495,5731,93765,668.1,-0.0,983773,23.847,2631002.543,5.84e-15,0.00000,31.31,35442,36.755,1.367,32.224,3.164,36.755,6891,3710,5675,0.2686,1.000,1.983,2.000,1.784,0.991,1.632,10829.776,8928.993,15601.021,10753.509,11036.051,5032.904,744.284,4247.118,0.518,0.660,0.522,0.508,0.422,0.414,4251,2672,0.5816,1.0000,0.9999,0.0437,1.0000,1.0000,0.9312,1.1358,1.0033,0.0277,0.0177,0.0457,0.0000,0.6305,0.9489,0.2137,0.6664,0.9851,0.00255
39000,12932,6837,31353,54558,41434,22823,382,28439,4369,18,349553,4214664,26726.021,12194.883,0.3814,3862.789,0.073,0.712,0.131,0.085,0.544,0.340,1335,0.0827,0.6932,0.150,14.7,37.0,60.1,28.61,0.90,11.22,0.24,16.25,6.74,1.486,0.287,0.033,0.036,13.082,0.501,0.0028,256,915,4409,27444,2798,39,0.432,7317,122,2043,10767,610,1824,10498,4.12,16.86,7150,10.3838,67387,6225,93170,463.9,-0.0,987563,23.373,2631002.543,1.47e-14,0.00005,12.25,25592,30.224,1.362,27.130,1.731,30.224,3587,3746,5599,0.3178,1.000,1.168,2.000,1.763,0.990,1.641,11097.814,8920.370,8467.498,11013.537,11107.776,3117.959,757.286,4456.849,0.490,0.679,0.526,0.428,0.432,0.409,4525,1871,0.6677,1.0000,1.0000,0.0570,1.0000,1.0000,0.8635,1.1583,1.0057,0.0368,0.0151,0.0469,0.0000,0.0000,0.8605,0.0798,0.6400,0.9913,0.00256
40000,15552,7588,33886,60108,46071,25705,517,26456,4112,27,349149,4205335,28865.091,12262.283,0.3767,4041.071,0.060,0.718,0.131,0.090,0.545,0.341,1368,0.0668,0.6911,0.144,14.0,34.1,60.0,26.94,0.86,10.60,0.21,15.26,6.46,1.562,0.277,0.033,0.036,11.940,0.478,0.0026,242,922,4947,27067,3219,40,0.384,8689,53,2223,13276,668,2907,11977,4.03,15.99,8373,13.1389,67390,6016,92995,587.9,-0.0,986467,22.499,2631002.543,1.95e-15,0.00058,36.36,28210,32.479,1.367,28.185,2.927,32.513,5929,3861,5762,0.2722,1.000,1.999,2.000,1.859,0.988,1.641,11575.332,9445.651,9510.133,11510.829,11885.200,2992.591,756.581,4472.039,0.476,0.658,0.542,0.431,0.434,0.430,4585,671,0.6537,1.0000,0.9998,0.0584,1.0000,1.0000,0.9352,1.1590,0.9922,0.0285,0.0166,0.0531,0.0000,0.8097,0.9647,0.1084,0.6726,0.9866,0.00256
41000,14060,7240,38859,68764,51820,29345,560,31997,5438,31,427260,4672713,29960.648,15158.753,0.3827,4939.336,0.062,0.717,0.126,0.096,0.534,0.347,1756,0.0868,0.6998,0.163,14.1,36.1,62.0,27.71,1.02,10.91,0.20,15.59,6.61,1.535,0.285,0.031,0.032,12.364,0.493,0.0028,233,828,5372,29467,4014,41,0.406,7692,202,2127,11731,1077,2197,10786,4.30,16.96,6697,11.7264,67398,6189,92048,591.6,-0.0,990829,24.695,2631002.543,3.47e-14,0.00007,15.95,34354,37.027,1.384,33.356,2.287,37.028,4664,3782,5614,0.2885,1.000,1.994,2.000,1.848,0.991,1.641,10957.334,9164.290,12509.000,10885.701,11505.283,5007.850,650.992,4560.575,0.477,0.664,0.536,0.434,0.429,0.426,4838,2885,0.5670,1.0000,0.9998,0.0442,1.0000,1.0000,0.8859,1.1624,0.9895,0.0323,0.0180,0.0621,0.0000,0.0000,0.8419,0.2526,0.6592,0.9613,0.00253
42000,14453,7256,30667,52946,39861,21832,447,25424,3164,27,301058,4150080,27477.353,10654.573,0.3709,3675.153,0.057,0.727,0.130,0.086,0.551,0.338,1102,0.0694,0.6878,0.184,16.0,37.0,62.0,28.02,1.03,10.68,0.20,16.11,6.57,1.548,0.269,0.039,0.042,12.099,0.476,0.0026,257,986,5912,24580,4198,36,0.380,8089,481,2167,11805,954,1952,11547,3.75,16.19,9705,14.4463,67342,6001,90898,550.1,-0.0,989711,22.375,2631002.543,2.80e-14,0.00039,16.82,25252,30.851,1.379,26.873,2.599,30.851,4993,3678,5782,0.2804,1.000,1.998,2.000,1.849,0.989,1.643,10777.448,9351.036,8865.153,10703.335,11584.018,2585.390,835.865,3558.165,0.470,0.664,0.555,0.395,0.409,0.440,4811,1659,0.5893,1.0000,1.0000,0.0536,0.9999,1.0000,0.9140,1.1412,0.9867,0.0320,0.0197,0.0587,0.0000,0.1603,0.9333,0.1028,0.6443,0.9489,0.00254
43000,17035,8247,40261,73177,55544,32167,749,31086,4474,30,404196,5069827,32728.297,14597.140,0.3734,5165.268,0.060,0.742,0.114,0.084,0.556,0.339,1525,0.0663,0.6797,0.209,16.0,39.0,64.0,27.06,1.07,10.20,0.21,15.59,6.35,1.631,0.252,0.036,0.040,10.945,0.474,0.0027,252,877,5225,29977,3600,36,0.322,9773,1810,2018,13207,1511,3662,11862,4.26,15.79,8212,16.7886,67371,4872,89927,689.2,-0.0,990118,25.540,2631002.543,1.10e-14,0.00005,28.99,38093,42.322,1.368,36.525,4.429,42.323,8370,3444,5221,0.2200,1.000,2.000,2.000,1.898,0.988,1.626,10453.733,8807.272,16657.591,10390.930,10845.045,4947.197,916.279,3568.395,0.530,0.634,0.548,0.482,0.379,0.408,4205,2089,0.5230,1.0000,1.0000,0.0411,1.0000,1.0000,0.9098,1.0922,0.9755,0.0339,0.0240,0.0645,0.0000,0.6894,0.9354,0.2576,0.7183,0.9491,0.00250
44000,11578,6208,29822,52801,38621,22403,576,27893,3738,20,320728,4225077,25001.251,11784.384,0.3841,4085.875,0.061,0.741,0.113,0.084,0.549,0.340,1209,0.0875,0.6784,0.200,16.6,40.0,62.0,29.45,1.17,11.63,0.24,16.41,6.76,1.505,0.287,0.037,0.040,12.570,0.495,0.0029,269,942,4431,22442,2843,33,0.489,6439,766,1096,9716,914,1494,9170,5.02,18.63,8087,12.2275,67247,5243,89388,451.2,-0.0,995000,22.965,2631002.543,7.79e-15,0.00011,6.88,27297,31.702,1.364,28.737,1.601,31.703,3785,3297,4496,0.3111,1.000,1.218,2.000,1.859,0.989,1.585,9005.417,7356.608,11262.952,8938.940,8885.233,4399.150,650.517,2648.842,0.532,0.639,0.525,0.467,0.361,0.404,4510,3628,0.5291,0.9999,0.9999,0.0380,1.0000,1.0000,0.9049,1.1108,0.9895,0.0455,0.0184,0.0621,0.0000,0.0000,0.8035,0.1463,0.6613,0.9447,0.00255
45000,13462,6338,30074,53758,41471,23245,439,23434,2838,24,295571,3664702,26084.530,10276.855,0.3513,3787.050,0.059,0.733,0.125,0.084,0.539,0.345,1182,0.0694,0.6763,0.162,15.5,38.0,64.1,28.76,0.97,10.71,0.23,16.85,6.64,1.535,0.266,0.035,0.037,11.449,0.462,0.0027,248,960,4511,25094,2661,30,0.456,7542,44,1216,12202,1173,2279,10010,4.50,17.91,8991,14.6060,67192,4879,89168,513.2,-0.0,993384,20.177,2631002.543,4.60e-15,0.00011,27.80,25250,29.222,1.361,25.513,2.348,29.223,5706,3018,4738,0.2699,1.000,1.999,2.000,1.783,0.988,1.586,9237.654,7561.077,11270.464,9180.402,9420.715,2838.979,745.361,2905.465,0.499,0.621,0.531,0.455,0.418,0.421,4139,1894,0.6241,1.0000,0.9999,0.0508,1.0000,1.0000,0.8563,1.1371,1.0161,0.0303,0.0169,0.0565,0.0000,0.6890,0.9547,0.0691,0.7077,0.9563,0.00253
46000,12903,6691,32681,61363,47494,28084,598,27402,3125,28,324554,4157106,27898.147,11914.501,0.3600,4612.151,0.079,0.720,0.120,0.081,0.552,0.341,1168,0.0740,0.6837,0.197,16.0,38.0,62.0,28.96,1.10,11.01,0.34,16.50,6.68,1.518,0.276,0.038,0.043,12.064,0.500,0.0028,249,864,4116,27727,2254,26,0.471,7142,64,1655,11184,860,2466,9577,4.70,17.43,6656,12.4885,67249,4811,88176,483.6,-0.0,997718,22.386,2631002.543,7.61e-15,0.00004,16.52,29258,32.509,1.350,29.113,2.046,32.509,5039,3219,4645,0.2831,1.000,1.994,2.000,1.788,0.988,1.592,9200.344,7521.188,14161.349,9134.811,9214.137,3922.323,667.707,2712.320,0.535,0.621,0.537,0.509,0.390,0.416,4045,2685,0.5413,0.9999,0.9998,0.0378,1.0000,1.0000,0.8791,1.1085,0.9935,0.0450,0.0162,0.0565,0.0000,0.1989,0.8646,0.2177,0.7076,0.9489,0.00251
47000,12835,6567,28182,48504,36595,19866,456,24154,2816,28,272472,3866652,24831.212,9605.922,0.3706,3295.343,0.069,0.735,0.118,0.078,0.555,0.335,970,0.0714,0.6801,0.171,16.0,37.0,62.0,27.98,1.11,10.86,0.24,15.77,6.61,1.534,0.274,0.038,0.042,11.949,0.512,0.0027,260,953,4237,22763,2354,25,0.462,6755,98,1656,11081,795,2154,9886,5.10,18.20,8116,13.3066,67276,5217,86960,396.7,-0.0,998364,20.950,2631002.543,3.54e-16,0.00012,12.20,23036,28.620,1.372,25.161,2.087,28.620,5032,3160,4643,0.2821,1.000,2.000,2.000,1.819,0.990,1.597,9165.866,7401.871,10023.336,9106.114,8997.104,2890.022,716.876,2703.681,0.523,0.625,0.550,0.444,0.380,0.395,4109,1252,0.5819,1.0000,0.9999,0.0477,1.0000,1.0000,0.9107,1.1333,1.0128,0.0450,0.0196,0.0576,0.0000,0.0491,0.9221,0.0796,0.6427,0.9419,0.00254
48000,14290,7449,32277,55601,42781,22815,509,25882,2772,25,296586,4174270,28666.116,10287.304,0.3463,3867.148,0.075,0.724,0.122,0.079,0.558,0.333,1101,0.0685,0.6758,0.158,16.1,38.0,62.4,27.86,1.11,10.76,0.26,15.73,6.50,1.571,0.267,0.037,0.041,11.837,0.500,0.0027,253,910,4420,25704,2385,30,0.366,7683,251,1395,12644,1246,3050,9994,4.50,17.34,8316,15.6805,67460,5068,85711,542.5,-0.0,998463,22.632,2631002.543,3.36e-15,0.00016,35.52,26429,33.105,1.362,28.836,2.907,33.105,6566,3116,4608,0.2496,1.000,2.000,2.000,1.839,0.991,1.582,9607.698,7892.875,13481.225,9548.024,9504.017,3257.757,714.930,2447.468,0.539,0.630,0.540,0.454,0.362,0.376,3844,2143,0.5325,1.0000,1.0000,0.0412,1.0000,1.0000,0.9116,1.1285,0.9820,0.0425,0.0206,0.0580,0.0000,0.8251,0.9503,0.2215,0.6527,0.9517,0.00251
49000,14011,7127,31257,54417,41458,22614,546,25787,2778,31,282818,4122792,27981.089,10180.536,0.3534,3933.535,0.077,0.711,0.128,0.085,0.560,0.333,962,0.0673,0.6745,0.160,18.0,38.0,62.0,28.51,1.08,10.67,0.28,16.47,6.67,1.525,0.268,0.039,0.042,12.243,0.499,0.0027,262,942,4125,21361,2195,26,0.414,7516,330,2133,11548,1438,2070,10503,4.85,18.09,7520,13.3981,67473,4917,84745,528.7,-0.0,1001514,22.974,2631002.543,1.45e-14,0.00016,12.67,26378,30.713,1.318,26.914,2.482,30.713,5910,3453,4648,0.2852,1.000,1.997,2.000,1.834,0.991,1.530,10031.016,7762.646,12685.823,9974.917,9253.884,3462.882,671.356,2112.762,0.532,0.653,0.541,0.459,0.367,0.384,3811,2940,0.5643,0.9999,0.9998,0.0412,1.0000,1.0000,0.9102,1.1470,0.9921,0.0475,0.0179,0.0510,0.0000,0.0000,0.8238,0.2005,0.6398,0.9637,0.00255
50000,12919,6909,28281,50510,38797,21827,402,24733,2780,21,267618,3908803,26232.591,9855.833,0.3673,3712.772,0.076,0.707,0.133,0.084,0.556,0.337,967,0.0698,0.6785,0.160,16.0,38.0,62.0,29.18,1.01,10.93,0.33,16.92,6.82,1.486,0.270,0.034,0.037,13.158,0.503,0.0026,268,979,4412,22792,2320,25,0.479,6892,466,1902,10551,1266,1512,10141,4.14,17.80,7721,12.4433,67436,5267,84289,502.6,-0.0,1003224,22.068,2631002.543,1.98e-14,0.00004,27.47,24317,27.484,1.292,24.202,1.989,27.513,4670,3417,4832,0.2967,1.000,1.140,2.000,1.730,0.990,1.602,9933.832,7886.887,10405.667,9869.839,9669.857,2909.601,662.024,2571.435,0.527,0.646,0.539,0.467,0.400,0.416,3778,1839,0.5686,1.0000,0.9996,0.0495,1.0000,1.0000,0.8804,1.1659,1.0058,0.0364,0.0198,0.0498,0.0000,0.6512,0.9569,0.0347,0.6482,0.9851,0.00260
51000,13749,7310,28924,49712,37752,20463,325,23053,2653,32,286673,3786221,26869.128,9887.795,0.3466,3677.297,0.074,0.706,0.138,0.083,0.552,0.337,915,0.0659,0.6780,0.170,16.0,38.0,62.0,28.80,1.01,10.98,0.38,16.43,6.72,1.512,0.275,0.037,0.039,13.186,0.510,0.0025,246,959,5170,23706,3079,27,0.431,7318,83,1937,11729,1054,2165,10530,4.03,17.13,7893,12.1281,67450,5383,84282,504.7,-0.0,1003826,21.425,2631002.543,1.86e-14,0.00016,29.17,22838,27.143,1.294,23.477,2.372,27.143,4644,3536,5569,0.2899,1.000,1.351,2.000,1.793,0.991,1.608,10260.764,8560.178,9852.652,10200.642,10493.131,2696.092,739.206,2775.199,0.499,0.646,0.546,0.438,0.388,0.404,3822,2356,0.5749,1.0000,1.0000,0.0519,1.0000,1.0000,0.8627,1.1750,0.9915,0.0381,0.0187,0.0492,0.0000,0.5546,0.9483,0.1972,0.6793,0.9961,0.00259
52000,14635,7848,30561,55749,42020,24693,495,24137,3174,47,283119,4286448,27878.794,11122.381,0.3895,4229.576,0.068,0.706,0.139,0.087,0.574,0.324,1326,0.0618,0.6856,0.193,15.6,36.0,62.0,27.17,1.04,10.49,0.24,15.41,6.53,1.555,0.265,0.039,0.042,13.136,0.490,0.0024,255,958,5828,22706,3814,27,0.393,7791,83,2257,12295,799,2112,11724,3.72,15.93,7921,12.5698,67349,6209,84565,565.6,-0.0,1004236,21.994,2631002.543,1.66e-14,0.00002,11.84,28107,30.819,1.297,26.622,2.900,30.819,5165,3646,5824,0.2722,1.000,2.000,2.000,1.854,0.989,1.645,10244.598,9045.170,10667.291,10178.314,11262.765,2857.877,669.616,3365.313,0.540,0.656,0.566,0.470,0.421,0.434,4042,2317,0.6189,1.0000,0.9999,0.0565,1.0000,1.0000,0.8804,1.1594,1.0032,0.0444,0.0222,0.0498,0.0000,0.0000,0.8796,0.0900,0.6490,0.9780,0.00260
