step,cause,age,size,n,worn
10000,hunger,600,80,24,5
10000,hunger,600,100,1,1
10000,hunger,650,4,2,0
10000,hunger,650,8,1,0
10000,hunger,650,12,3,0
10000,hunger,650,16,1,0
10000,hunger,650,20,6,0
10000,hunger,650,24,12,0
10000,hunger,650,28,6,3
10000,hunger,650,32,9,0
10000,hunger,650,36,53,2
10000,hunger,650,40,3,0
10000,hunger,650,44,3,1
10000,hunger,650,48,75,9
10000,hunger,650,52,2,1
10000,hunger,650,56,3,0
10000,hunger,650,60,3,2
10000,hunger,650,64,54,6
10000,hunger,650,68,1,0
10000,hunger,650,80,16,2
10000,hunger,650,100,6,0
10000,hunger,700,4,1,0
10000,hunger,700,8,1,0
10000,hunger,700,12,1,0
10000,hunger,700,20,1,0
10000,hunger,700,24,9,0
10000,hunger,700,28,10,1
10000,hunger,700,32,7,0
10000,hunger,700,36,37,3
10000,hunger,700,40,5,1
10000,hunger,700,44,3,0
10000,hunger,700,48,58,5
10000,hunger,700,52,2,0
10000,hunger,700,56,3,1
10000,hunger,700,60,1,0
10000,hunger,700,64,50,4
10000,hunger,700,80,22,1
10000,hunger,700,100,1,0
10000,hunger,750,8,2,0
10000,hunger,750,12,1,0
10000,hunger,750,20,1,0
10000,hunger,750,24,10,0
10000,hunger,750,28,6,0
10000,hunger,750,32,10,2
10000,hunger,750,36,22,2
10000,hunger,750,44,4,0
10000,hunger,750,48,54,3
10000,hunger,750,52,1,0
10000,hunger,750,56,2,0
10000,hunger,750,60,1,0
10000,hunger,750,64,33,7
10000,hunger,750,76,1,0
10000,hunger,750,80,12,1
10000,hunger,800,4,1,0
10000,hunger,800,12,1,0
10000,hunger,800,20,2,0
10000,hunger,800,24,9,1
10000,hunger,800,28,6,0
10000,hunger,800,32,6,1
10000,hunger,800,36,33,8
10000,hunger,800,44,5,2
10000,hunger,800,48,36,4
10000,hunger,800,52,1,0
10000,hunger,800,60,2,1
10000,hunger,800,64,32,6
10000,hunger,800,80,11,2
10000,hunger,850,16,2,0
10000,hunger,850,20,3,0
10000,hunger,850,24,5,0
10000,hunger,850,28,2,0
10000,hunger,850,32,6,2
10000,hunger,850,36,18,0
10000,hunger,850,40,1,1
10000,hunger,850,48,44,3
10000,hunger,850,56,2,0
10000,hunger,850,60,2,2
10000,hunger,850,64,19,2
10000,hunger,850,80,9,2
10000,hunger,900,20,1,0
10000,hunger,900,24,5,1
10000,hunger,900,28,3,1
10000,hunger,900,36,17,3
10000,hunger,900,44,1,0
10000,hunger,900,48,16,1
10000,hunger,900,52,1,0
10000,hunger,900,60,3,0
10000,hunger,900,64,13,4
10000,hunger,900,72,1,0
10000,hunger,900,80,4,2
10000,hunger,950,16,1,0
10000,hunger,950,20,1,0
10000,hunger,950,24,1,0
10000,hunger,950,28,2,0
10000,hunger,950,32,2,0
10000,hunger,950,36,7,1
10000,hunger,950,40,1,0
10000,hunger,950,48,14,0
10000,hunger,950,52,1,0
10000,hunger,950,60,1,0
10000,hunger,950,64,8,1
10000,hunger,950,92,1,1
10000,hunger,1000,8,1,0
10000,hunger,1000,20,1,0
10000,hunger,1000,24,4,0
10000,hunger,1000,28,4,0
10000,hunger,1000,36,11,2
10000,hunger,1000,48,20,4
10000,hunger,1000,64,7,2
10000,hunger,1000,76,1,0
10000,hunger,1000,80,3,0
10000,hunger,1050,20,1,0
10000,hunger,1050,24,4,1
10000,hunger,1050,28,3,0
10000,hunger,1050,32,5,0
10000,hunger,1050,36,1,0
10000,hunger,1050,48,18,4
10000,hunger,1050,52,1,0
10000,hunger,1050,60,1,0
10000,hunger,1050,64,11,2
10000,hunger,1050,80,1,1
10000,hunger,1100,24,1,0
10000,hunger,1100,28,1,0
10000,hunger,1100,36,2,1
10000,hunger,1100,40,1,0
10000,hunger,1100,48,7,0
10000,hunger,1100,64,6,2
10000,hunger,1100,100,1,1
10000,hunger,1150,8,1,0
10000,hunger,1150,12,1,0
10000,hunger,1150,16,1,0
10000,hunger,1150,20,1,0
10000,hunger,1150,32,1,0
10000,hunger,1150,36,1,0
10000,hunger,1150,48,7,3
10000,hunger,1150,64,4,0
10000,hunger,1150,80,2,0
10000,hunger,1200,28,1,0
10000,hunger,1200,32,1,0
10000,hunger,1200,36,2,0
10000,hunger,1200,48,3,1
10000,hunger,1200,64,2,0
10000,hunger,1200,80,1,0
10000,hunger,1250,12,1,0
10000,hunger,1250,32,1,1
10000,hunger,1250,36,1,0
10000,hunger,1250,48,5,3
10000,hunger,1250,60,1,0
10000,hunger,1250,64,2,2
10000,hunger,1250,100,1,1
10000,hunger,1300,48,3,2
10000,hunger,1300,64,1,0
10000,hunger,1350,28,1,1
10000,hunger,1350,36,3,2
10000,hunger,1350,48,2,0
10000,hunger,1400,36,1,0
10000,hunger,1400,48,2,0
10000,hunger,1400,64,2,0
10000,hunger,1450,48,3,0
10000,hunger,1500,32,1,0
10000,hunger,1500,36,2,1
10000,hunger,1500,48,2,1
10000,hunger,1500,56,1,0
10000,hunger,1500,64,3,0
10000,hunger,1500,72,1,1
10000,hunger,1500,80,1,1
10000,hunger,1550,40,1,0
10000,hunger,1550,64,1,0
10000,hunger,1550,80,1,1
10000,hunger,1600,28,1,0
10000,hunger,1600,64,1,1
10000,hunger,1600,80,1,1
10000,hunger,1700,28,1,0
10000,hunger,1750,48,1,1
10000,hunger,1750,80,2,2
10000,hunger,1800,36,1,1
10000,hunger,1800,80,1,1
10000,hunger,1850,64,1,1
10000,hunger,1900,48,1,1
10000,hunger,1950,24,1,1
10000,hunger,1950,36,1,0
10000,hunger,2050,48,1,1
10000,hunger,2050,64,1,1
10000,hunger,2100,48,1,1
10000,hunger,2150,48,1,1
10000,hunger,2250,32,1,1
10000,hunger,2250,36,1,1
10000,hunger,2400,64,1,1
10000,hunger,2700,48,1,1
10000,hunger,3150,36,1,1
10000,broken,0,0,25,0
10000,broken,0,4,19,0
10000,broken,0,8,39,0
10000,broken,0,12,58,0
10000,broken,0,16,55,0
10000,broken,0,20,52,0
10000,broken,0,24,414,1
10000,broken,0,28,69,0
10000,broken,0,32,89,0
10000,broken,0,36,549,2
10000,broken,0,40,28,0
10000,broken,0,44,44,0
10000,broken,0,48,634,2
10000,broken,0,52,5,0
10000,broken,0,56,9,0
10000,broken,0,60,12,0
10000,broken,0,64,281,0
10000,broken,0,68,1,0
10000,broken,0,72,1,0
10000,broken,0,76,5,0
10000,broken,0,80,48,0
10000,broken,0,92,1,0
10000,broken,0,100,5,0
10000,broken,0,104,1,0
10000,broken,50,0,14,0
10000,broken,50,4,12,0
10000,broken,50,8,12,0
10000,broken,50,12,18,0
10000,broken,50,16,24,0
10000,broken,50,20,27,0
10000,broken,50,24,294,0
10000,broken,50,28,41,1
