step,mass,born_size,born_hard,born_muscle,born_sensor,born_digestive,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace,rich,born_rich
100000,53.32,36,0,11,0,25,0,11,0,25,0,1.00,0,0.206,1950,2.03,112.37,2.79,251,6,6,0,1.00,1.00,1.00,4,6,6,34.7,84.130,36,1.481,0.420,6,1.000,0,9.01,9.00,0,0.0000,0.354,0.0000,1068,0.5478,1,1
100000,49.52,49,0,14,0,35,0,14,0,32,0,1.00,0,0.283,1947,0.00,95.58,0.16,176,6,6,0,1.00,1.00,1.00,9,7,7,58.1,30.087,46,1.076,0.512,7,1.000,0,23.44,-21.75,0,0.0630,0.166,0.0000,1095,0.5684,0,0
100000,50.27,49,1,13,0,35,1,13,0,31,0,1.07,0,0.259,1945,0.00,131.59,1.29,176,6,6,2,1.00,1.29,1.00,6,7,7,32.7,68.754,45,1.093,0.508,7,1.000,0,32.41,32.25,0,0.0617,0.180,0.0000,1076,0.5642,0,1
100000,52.74,49,0,14,0,35,0,14,0,35,0,1.00,0,0.265,1934,0.00,96.20,1.03,176,6,6,0,1.00,1.00,1.00,6,7,7,44.2,22.157,49,1.076,0.512,7,1.000,0,27.41,-17.00,0,0.0630,0.166,0.0000,1065,0.5508,0,1
100000,12.22,49,0,13,0,36,0,3,0,8,0,1.00,2,0.245,1919,0.00,73.78,46.61,176,6,6,0,1.00,1.00,1.00,4,7,6,19.2,1.130,11,1.111,0.495,7,1.000,1,5.46,-5.25,0,0.0635,0.188,0.0000,1201,1.0000,1,1
100000,51.67,49,0,14,0,35,0,13,0,35,0,1.00,0,0.252,1901,2.32,105.31,0.45,176,6,6,0,1.00,1.00,1.00,6,7,7,50.0,31.744,48,1.076,0.512,7,1.000,1,20.76,-20.50,0,0.0630,0.166,0.0000,1048,0.5565,1,1
100000,40.28,25,0,7,0,18,0,7,0,14,0,1.00,0,0.174,1886,0.00,61.88,2.09,276,6,6,0,1.00,1.00,1.00,4,5,5,14.8,3.827,21,1.918,0.616,5,1.000,0,20.26,20.25,0,0.0858,0.867,0.0000,1157,0.6303,0,1
100000,45.55,25,0,4,1,20,0,4,1,19,0,1.00,0,0.088,1878,0.00,72.94,6.09,249,6,6,0,1.00,1.00,1.00,4,5,5,2.3,42.113,24,1.938,0.554,5,1.000,0,4.30,2.50,1,0.0882,0.537,0.0000,1109,0.5927,0,1
100000,46.13,25,0,6,0,19,0,6,0,18,0,1.00,0,0.130,1841,0.00,57.84,3.03,249,6,6,0,1.00,1.00,1.00,4,5,5,31.7,23.903,24,1.922,0.543,5,1.000,1,19.72,10.00,0,0.0772,0.763,0.0000,1076,0.5890,1,1
100000,50.79,49,0,13,0,36,0,13,0,32,0,1.00,0,0.256,1831,0.00,74.05,17.68,176,6,6,0,1.00,1.00,1.00,6,7,7,20.7,17.585,45,1.129,0.492,7,1.000,0,8.34,1.25,0,0.0621,0.203,0.0000,985,0.5613,0,1
100000,46.17,64,0,17,0,47,0,15,0,30,0,1.00,0,0.325,1830,1.92,102.64,6.70,176,6,6,0,1.00,1.00,1.00,8,8,8,2.2,43.526,45,1.026,0.539,8,1.000,0,45.20,45.00,0,0.0577,0.125,0.0000,994,0.5887,0,1
