step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake,fill,pool,plant,hunger
240000,8,550,58.08,0.00,9.14,0.09,19.86,0.00,1.00,0.000,0.083,80510.2,15584.9,1,0,4.68,1.00,1.00,2.7300,118.12,61854.8,0.4568,8.6114,11998,5.2976,3757,1.5971,2620.7,96.74,2.6789,0.0,0.0000,1.000,0.3550,1.9840,0.3490
240000,0,1,144.00,0.00,40.00,0.00,32.00,0.00,1.00,0.000,0.001,374.4,83.0,1,1,8.00,1.00,1.00,0.0266,0.01,39474.0,0.0000,0.0070,4386,2.0928,591,0.0000,0.0,108.92,0.0012,0.0,0.0000,1.000,0.4476,0.8616,0.0034
250000,8,694,49.54,0.00,9.98,0.00,14.79,0.00,1.00,0.000,0.091,194438.5,34419.7,1,0,4.59,1.00,1.00,4.8137,290.47,55708.1,9.3409,17.8898,11820,11.4815,2613,4.2677,10861.4,98.45,11.2451,0.0,0.0000,1.000,0.3681,1.3435,0.8645
250000,0,1,52.00,0.00,12.00,0.00,14.00,0.00,1.00,0.000,0.000,885.8,97.8,1,1,6.00,1.00,1.00,0.0338,0.03,45942.3,0.0000,0.0218,4564,5.0987,631,0.0000,0.1,104.01,0.0046,0.0,0.0000,1.000,0.4099,0.8940,0.0076
260000,8,456,78.44,0.05,7.71,0.00,31.48,0.00,1.01,0.000,0.107,70286.4,15628.4,1,0,5.56,1.00,1.01,2.6070,94.93,54565.5,0.3869,7.5245,10479,4.6760,3201,1.5883,2497.9,95.22,2.9166,0.0,0.0000,1.000,0.3566,1.9545,0.3199
260000,0,2,98.46,0.00,29.50,0.00,20.50,0.00,1.00,0.000,0.001,306.2,63.1,0,2,6.50,1.00,1.00,0.0237,0.01,50707.4,0.0000,0.0069,5905,1.9588,910,0.0000,0.0,108.49,0.0011,0.0,0.0000,1.000,0.4208,0.9949,0.0020
270000,8,440,70.77,0.00,15.40,0.00,19.98,0.00,1.00,0.000,0.098,156775.0,40785.7,7,0,5.36,1.00,1.00,3.5912,141.54,43137.1,11.9313,14.3324,9870,8.3549,2334,4.4884,10694.6,88.76,14.3401,0.0,0.0000,1.000,0.3176,1.4862,0.7685
270000,0,3,44.67,0.00,7.67,0.00,14.67,0.00,1.00,0.000,0.001,1430.8,250.2,1,3,3.67,1.00,1.00,0.0560,0.75,64215.3,0.0000,0.0213,6514,5.2633,966,0.0000,0.2,117.04,0.0047,0.0,0.0000,1.000,0.4739,0.9430,0.0099
280000,8,732,50.01,0.10,7.11,0.01,17.69,0.01,1.02,0.001,0.107,59940.3,12862.7,2,0,4.22,1.03,1.04,1.3672,131.15,55582.1,0.8305,6.2152,10645,3.4134,3125,1.4075,2325.6,95.57,2.8014,0.0,0.0000,1.000,0.3774,1.8077,0.2807
280000,0,2,53.00,0.00,12.50,0.00,14.00,0.00,1.00,0.000,0.001,319.9,71.0,2,2,4.00,1.00,1.00,0.0229,0.86,49889.7,0.0000,0.0089,5739,2.0925,840,0.0000,0.0,108.22,0.0017,0.0,0.0000,1.000,0.3842,0.9236,0.0015
290000,8,551,48.10,0.00,9.95,0.00,14.10,0.00,1.00,0.000,0.081,174843.7,35030.9,3,0,4.46,1.00,1.00,3.9020,201.73,44690.5,16.2520,16.4081,10265,9.5415,2431,2.8833,9313.7,87.24,9.8736,0.0,0.0000,1.000,0.3102,1.4393,0.8251
290000,0,2,34.00,0.00,7.50,0.00,9.50,0.00,1.00,0.000,0.000,745.3,182.1,1,2,4.00,1.00,1.00,0.0445,2.22,60402.6,0.0000,0.0220,6119,5.7226,959,0.0000,0.1,121.41,0.0055,0.0,0.0000,1.000,0.4965,0.9997,0.0051
300000,8,395,49.80,0.00,8.86,0.02,16.04,0.00,1.00,0.000,0.059,57358.0,11368.6,1,0,4.30,1.00,1.00,1.8551,78.84,51391.8,1.0182,6.5439,10358,3.4577,3674,1.3869,1831.9,87.14,2.8432,0.0,0.0000,1.000,0.3213,2.2931,0.2774
300000,0,9,47.78,0.00,9.78,0.00,14.11,0.00,1.00,0.000,0.002,551.0,210.2,1,6,4.22,1.00,1.00,0.0534,8.56,51546.9,0.0000,0.0067,6026,1.9863,942,0.0000,0.0,122.11,0.0011,0.0,0.0000,1.000,0.4803,0.9925,0.0032
