step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange
100000,28.00,16,0,9,0,5,0,1.00,0,0.321,2210,2.41,71.86,54.46,949,0,1,0,1.00,1.00,1.00,2,4,4,21.3,31.138,14,2.000,0.000,4,1.000,2,57.35,8.25,0,0.0930,0.013,0.4250
100000,18.00,16,0,7,0,2,0,1.00,0,0.389,2209,0.00,43.49,61.56,949,1,1,0,1.00,1.00,1.00,2,4,4,28.1,5.303,9,2.000,0.000,4,1.000,5,16.36,12.75,0,0.0929,0.010,0.5741
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2200,0.00,67.11,36.79,1239,0,0,0,1.00,1.00,1.00,4,4,4,23.2,45.837,16,2.000,0.000,4,1.000,0,11.85,8.50,0,0.0972,0.017,0.4351
100000,26.00,16,0,8,0,5,0,1.00,0,0.308,2167,3.12,64.70,129.89,949,0,0,0,1.00,1.00,1.00,4,4,4,26.4,62.786,13,2.000,0.000,4,1.000,2,27.75,14.75,0,0.0930,0.014,0.5095
100000,28.00,16,0,8,0,6,0,1.00,0,0.286,2156,0.00,61.92,74.01,949,0,0,0,1.00,1.00,1.00,4,4,4,14.5,15.209,14,2.000,0.000,4,1.000,2,45.01,-9.50,0,0.0930,0.011,0.4728
100000,18.00,16,0,8,0,1,0,1.00,2,0.444,2150,0.00,46.63,108.96,949,0,2,0,1.00,1.00,1.00,1,3,4,14.5,17.981,9,2.000,0.000,4,1.000,1,48.70,45.25,0,0.0930,0.014,0.5509
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,2137,0.00,61.95,84.50,949,2,0,0,1.00,1.00,1.00,1,4,4,44.5,36.381,15,2.000,0.000,4,1.000,1,67.90,59.75,0,0.0930,0.011,0.5092
100000,24.00,16,0,9,0,3,0,1.00,0,0.375,2135,0.00,56.76,81.93,949,1,0,0,1.00,1.00,1.00,4,4,4,28.5,27.924,12,2.000,0.000,4,1.000,2,7.15,-5.75,0,0.0925,0.012,0.4879
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2122,1.82,81.14,93.96,949,1,0,0,1.00,1.00,1.00,1,4,4,35.2,69.656,16,2.000,0.000,4,1.000,0,60.88,50.50,0,0.0930,0.011,0.4544
100000,30.00,16,0,10,0,5,0,1.00,0,0.333,2122,4.37,56.44,141.48,949,2,1,0,1.00,1.00,1.00,1,4,4,40.8,51.928,15,2.000,0.000,4,1.000,1,46.06,-42.50,0,0.0925,0.017,0.3976
