step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
76000,160,0.3438,1992.9,447,112,33,15,5,13,9,30857,36756,39958,0,0,0,0.917,0.948,0.985,88,28,14,0.2143,0.2264,0.6776,0.0465
77000,494,0.4332,4342.9,273,386,74,34,14,46,26,28145,37531,40197,0,0,0,0.944,0.908,0.790,338,61,22,0.2040,0.2331,0.6888,0.0478
78000,574,0.3972,4511.9,236,337,186,51,19,52,31,28969,34642,39136,0,0,0,0.950,0.859,0.892,301,112,35,0.2802,0.1284,0.7410,0.0450
79000,830,0.3747,7080.5,258,260,268,302,48,59,44,28082,33336,35587,0,0,0,0.863,0.936,0.849,180,222,195,0.2753,0.1253,0.7442,0.0442
80000,1176,0.3418,9154.1,221,670,231,275,34,51,35,23268,35451,35699,0,0,0,0.955,0.901,0.894,600,186,207,0.2280,0.1568,0.6982,0.0457
81000,1655,0.4435,12262.2,241,467,717,471,66,85,92,25003,31114,38426,0,0,0,0.866,0.880,0.961,342,537,437,0.2344,0.1677,0.6141,0.0488
82000,1473,0.4304,11245.6,264,364,556,553,58,75,65,28063,31497,32465,0,0,0,0.955,0.951,0.918,324,498,451,0.2729,0.1427,0.6584,0.0440
83000,1422,0.4381,10432.9,236,759,270,393,47,53,43,25240,34212,33167,0,0,0,0.957,0.857,0.916,668,189,325,0.2340,0.1722,0.6705,0.0447
84000,1821,0.4261,12825.8,236,515,934,372,89,93,88,24538,28878,35494,0,0,0,0.908,0.941,0.880,417,814,297,0.2412,0.1641,0.6233,0.0445
85000,1850,0.3843,12673.4,223,585,612,653,84,58,70,28951,29262,30073,0,0,0,0.936,0.953,0.925,502,556,549,0.2675,0.1623,0.6238,0.0441
86000,1628,0.3833,12025.6,249,717,388,523,76,62,48,27603,31363,31148,0,0,0,0.950,0.756,0.896,632,233,426,0.2432,0.1730,0.6553,0.0437
87000,1862,0.4232,13454.4,240,597,899,366,82,97,98,26026,30475,33905,0,0,0,0.916,0.970,0.844,493,824,267,0.2316,0.1850,0.6218,0.0488
88000,1669,0.4260,12029.3,262,436,490,743,68,57,121,30872,29927,31563,0,0,0,0.926,0.876,0.871,380,399,547,0.2534,0.1685,0.6132,0.0485
89000,1441,0.4497,10985.2,255,581,447,413,80,80,48,30452,30130,32756,0,0,0,0.934,0.860,0.895,515,308,326,0.2430,0.1851,0.6584,0.0487
90000,1177,0.4163,9307.3,275,438,456,283,58,84,47,27093,33546,34940,0,0,0,0.907,0.974,0.881,355,429,203,0.2420,0.1552,0.6511,0.0479
91000,948,0.4241,7981.6,296,351,243,354,65,46,78,31507,32892,35552,0,0,0,0.952,0.892,0.938,315,184,305,0.2505,0.1478,0.6522,0.0520
92000,770,0.4195,7110.2,308,343,241,186,40,42,58,32861,33223,35579,0,0,0,0.910,0.878,0.884,288,180,135,0.2441,0.1729,0.6838,0.0519
93000,579,0.4991,5876.1,357,381,132,66,20,58,32,31203,36884,38597,0,0,0,0.900,0.942,0.722,313,114,33,0.1836,0.2111,0.6961,0.0518
94000,402,0.3706,3924.1,387,259,94,49,14,31,37,32628,36948,39922,0,0,0,0.952,0.740,0.987,232,48,46,0.1528,0.2337,0.6721,0.0529
95000,169,0.4970,2162.8,543,122,19,28,13,12,21,33742,38583,40372,0,0,0,0.870,0.685,0.837,71,11,21,0.1585,0.2470,0.6564,0.0552
96000,382,0.3822,3482.9,276,322,46,14,4,27,11,30887,38782,40391,0,0,0,0.929,0.741,0.968,267,26,13,0.1505,0.2579,0.6132,0.0543
97000,267,0.3820,2696.6,396,175,60,32,8,30,25,31224,37374,40385,0,0,0,0.844,0.931,0.952,122,50,27,0.2467,0.1813,0.6932,0.0488
98000,449,0.3452,4131.5,265,191,149,109,12,42,30,30472,36268,37065,0,0,0,0.912,0.906,0.788,161,124,48,0.2581,0.1356,0.7494,0.0488
99000,901,0.3618,7507.6,225,605,145,151,44,40,28,27529,38083,37311,0,0,0,0.963,0.858,0.911,553,101,122,0.1927,0.1798,0.6868,0.0553
100000,1119,0.3753,10402.3,259,399,518,202,57,61,68,26814,34062,39032,0,0,0,0.881,0.931,0.887,292,446,157,0.2264,0.1657,0.6270,0.0569
