step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
5000,-50,2,4,0.0000,0.00,6.07,-6.09,0,4.05,0.026,12.724,0.9750,36.644
5000,-40,0,6359,647.6827,505.50,61.46,0.99,225,11.80,2.313,10.339,0.3992,53.585
5000,-40,1,1720,269.4807,86.09,615.42,2.49,142,10.46,2.010,11.139,0.6821,76.845
5000,-40,2,2,0.0703,0.00,2.32,25.20,0,12.83,1.548,8.366,0.9941,124.314
5000,-30,0,4324,477.2221,245.21,86.63,11.62,233,20.25,6.058,7.317,0.4344,131.989
5000,-30,1,3216,604.0288,325.64,1507.06,10.39,264,20.23,6.243,7.538,0.6636,204.382
5000,-30,2,637,142.7617,78.71,917.67,11.43,68,22.70,7.318,6.563,0.8838,320.516
5000,-20,0,1810,188.0560,116.17,40.58,11.98,41,27.63,10.224,5.288,0.3357,218.349
5000,-20,1,2468,507.9997,295.75,1037.36,22.05,124,27.40,10.191,5.498,0.5259,326.864
5000,-20,2,3941,756.4455,303.50,11321.95,17.10,538,27.08,10.123,5.693,0.8731,516.446
5000,-10,0,1814,331.7778,395.86,23.55,13.18,14,33.98,14.181,3.847,0.2939,363.592
5000,-10,1,2039,624.6061,457.87,902.86,31.22,34,34.12,14.332,3.889,0.4116,522.460
5000,-10,2,4371,844.3522,353.96,16018.37,22.22,598,31.95,13.245,4.643,0.8218,817.700
5000,0,0,1837,414.5653,540.15,31.08,14.08,4,38.23,16.973,2.971,0.2117,423.871
5000,0,1,1749,944.1358,1041.28,851.20,38.61,2,38.45,17.158,2.974,0.3440,683.885
5000,0,2,4781,1056.9342,707.63,15261.06,24.80,375,35.60,15.668,3.921,0.6604,954.827
5000,10,0,3055,671.5786,936.48,49.50,12.35,6,39.63,17.943,2.734,0.1467,351.044
5000,10,1,2799,1534.5718,2076.10,1409.12,41.20,11,39.78,18.105,2.773,0.2835,655.396
5000,10,2,3591,609.4022,543.99,9572.84,32.64,223,35.47,15.856,4.220,0.5622,831.022
5000,20,0,4126,784.1653,1066.14,65.26,12.55,48,37.32,16.570,3.384,0.1237,236.261
5000,20,1,3216,1792.5687,2209.38,1492.49,36.32,80,38.07,17.045,3.238,0.3141,597.242
5000,20,2,1103,291.2383,233.08,1958.33,41.25,30,35.00,15.505,4.311,0.4653,643.522
5000,30,0,6847,1406.7685,1774.02,82.73,23.01,41,34.78,14.733,3.814,0.1518,216.811
5000,30,1,2202,1461.3681,1726.94,948.91,28.61,38,37.04,15.878,3.040,0.3520,538.446
5000,30,2,225,199.0055,117.50,251.56,-1.62,40,34.39,14.151,3.532,0.5429,670.122
5000,40,0,6698,1083.3901,1077.28,61.75,20.99,101,30.82,11.828,4.399,0.1563,144.583
5000,40,1,1231,631.0837,223.02,493.21,14.72,117,33.65,13.109,3.270,0.5065,490.575
5000,40,2,241,189.0317,48.80,293.85,-2.37,57,32.69,12.808,3.684,0.6617,637.680
5000,50,0,5123,483.1014,638.05,12.58,12.58,40,24.64,7.787,5.653,0.1092,55.464
5000,50,1,582,146.6947,55.50,156.34,-0.23,46,29.35,9.895,3.768,0.6790,394.675
5000,50,2,11,2.1420,0.00,15.58,18.16,5,29.23,9.427,3.407,0.9224,469.157
5000,60,0,3853,104.9873,185.14,0.76,4.64,4,18.42,3.766,6.742,0.0636,16.341
5000,60,1,2,1.8266,1.54,0.38,6.62,0,22.00,4.855,4.841,0.8637,180.559
5000,70,0,4656,29.6150,80.29,0.14,-1.63,4,14.79,1.142,6.379,0.0303,7.277
5000,80,0,3564,3.8738,23.02,0.05,-1.84,0,15.07,0.173,3.927,0.0086,3.471
6000,-60,0,5487,262.4451,247.61,94.39,16.72,42,2.50,0.235,14.938,0.5345,23.350
6000,-60,1,2245,167.2989,131.76,501.73,14.59,51,0.20,0.095,16.479,0.9454,31.745
