run,year,genotypes,groups_hill,groups,genotypes_hill,leader,leader_share,top_group_share,defended,key_track,eater_genotypes,eater_hill,mutant_share,lifespan
c1225_life1,51,575,7.721516441511197,160,11.530026296262346,82,0.3693116779229008,0.3693865312490908,0.5700464340201862,0.00012495818784974118,966,16.342140971130995,0.0009929272509723544,39.353201445946084
c1225_life1,52,560,7.679501808070043,154,11.459960401986196,82,0.3688334695688579,0.36891372268077877,0.5687830305416778,0.00011320108246787449,1042,17.345563038505784,0.000986525312095937,39.867965691173346
c1225_life1,53,554,7.5897237538938125,155,11.29827427278685,82,0.37156247533074827,0.3716684959786965,0.5704309036887228,8.571201245355495e-05,1003,15.932582986295055,0.001016822066187099,40.068557123015175
c1225_life1,54,572,7.594484881064454,160,11.29245985443135,82,0.3680589580431268,0.36817686349475315,0.5685722065053098,0.00013647837072069326,1026,20.078592898218297,0.0010813394957924153,40.427249462604415
c1225_life1,55,558,7.5605484335021504,156,11.222176689418953,82,0.3666841691996574,0.36684809930181644,0.5674958666249699,0.00018096670243306944,948,19.505875658388344,0.0010852769434757292,40.830624123765745
c1225_life1,56,592,7.548743755259029,156,11.18855909281404,82,0.365275395152501,0.36546846451131304,0.565742966937388,0.00015108811586883163,950,20.11492355173952,0.0010694183426020994,41.31752844277261
c1225_life1,57,527,7.4417568560883165,153,10.963980917953942,82,0.3701403761443088,0.370339600818639,0.569408647241636,0.00015484016398020574,1018,18.277703663835737,0.0010749928663535521,41.36025380607884
c1225_life1,58,523,7.363607046152126,152,10.794818639051073,82,0.3725806956451003,0.37280835468841966,0.5717994389872373,9.0163157052985e-05,968,17.416738942829227,0.001097731833418221,41.46662577025419
c1225_life1,59,558,7.360496599578198,146,10.905483754007674,82,0.3644571888010521,0.36472243534591414,0.5652606328933806,0.00014887655464604927,989,22.591960336397864,0.001175755130736142,42.47872689573971
c1225_life1,60,550,7.328297077192723,144,10.885622648714024,82,0.36173713605581886,0.3621003640034718,0.5601904782990568,0.0001458032465108544,1019,17.481502009504318,0.0012728631466531611,43.159293211064345
c1225_life1,61,515,7.213977464147997,142,10.578680983689823,82,0.3714092550902261,0.37188156242725495,0.5659379153976432,0.0002401521065038766,1040,18.156870157322004,0.001410394861824537,42.70843783113828
c1225_life1,62,511,7.1443584787097025,141,10.36100440357085,82,0.37677589509592196,0.3773234864941806,0.570056852632375,0.0002409632388727094,987,17.967032257981778,0.001486664698677665,42.878381060837285
c1225_life1,63,507,7.157707624629268,144,10.217402709649656,82,0.3782210553369411,0.37897157673332293,0.5692636794767463,0.0001650653894976178,1014,18.922290699897218,0.0016592976367808753,43.12951253297871
c1225_life1,64,477,7.107875605762862,143,10.050623304972305,82,0.3797933064418188,0.38053558526196546,0.570130266918995,0.0001417858284472852,1020,18.065846771514536,0.001659061583494926,43.307222362266735
c1225_life1,65,505,7.105205172980815,145,9.992112676759646,82,0.3770078087833607,0.3777764137686647,0.5678486611880309,0.0001586651457646304,1071,18.338064547075955,0.0016789357404608668,43.84765299732598
