step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
83000,4705,0.4162,31415.3,366,1832,1562,1311,282,290,310,21247,24933,37256,0,0,0,1.000,1.000,1.000,1292,388,43,0.2238,0.2020,0.5760,0.0782
84000,5155,0.4149,34696.8,377,1813,1770,1572,279,301,278,20509,22581,33556,0,0,0,1.000,1.000,1.000,1287,403,40,0.2666,0.1824,0.5640,0.0678
85000,5138,0.4157,35662.7,387,1816,1839,1483,246,328,297,21170,21797,32888,0,0,0,1.000,1.000,1.000,1344,413,38,0.2538,0.1934,0.5537,0.0705
86000,4863,0.4331,35665.9,412,1599,1735,1529,249,335,303,22231,22281,32625,0,0,0,1.000,1.000,1.000,1184,382,37,0.2534,0.2063,0.5846,0.0709
87000,4798,0.4291,34222.6,414,1714,1691,1393,265,302,296,23490,22919,32560,0,0,0,1.000,1.000,1.000,1286,392,56,0.2475,0.1822,0.5782,0.0709
88000,4614,0.4313,32541.3,410,1807,1497,1310,258,295,297,23897,23964,33641,0,0,0,1.000,1.000,1.000,1307,395,22,0.2386,0.1942,0.5779,0.0739
89000,3847,0.4609,29541.7,457,1404,1356,1087,243,266,264,25433,26547,36092,0,0,0,1.000,1.000,1.000,1096,307,17,0.2070,0.1993,0.5953,0.0821
90000,3105,0.4509,25261.7,493,1109,1074,922,190,287,292,27341,29501,39081,0,0,0,1.000,1.000,1.000,799,270,28,0.1893,0.2120,0.6558,0.0932
91000,2641,0.4725,20183.0,513,1078,920,643,182,262,235,29417,33393,43180,0,0,0,1.000,1.000,1.000,768,220,17,0.1063,0.2693,0.6695,0.1300
92000,1818,0.4708,14945.9,560,871,539,408,137,206,205,30673,37213,47110,0,0,0,1.000,1.000,1.000,651,125,4,0.0710,0.3350,0.7251,0.1704
93000,1233,0.4996,10446.6,619,671,337,225,76,185,153,31233,40747,51060,0,0,0,1.000,1.000,1.000,535,88,6,0.0381,0.5313,0.7557,0.2614
94000,847,0.4534,6361.1,497,560,175,112,35,129,100,30930,43552,54455,0,0,0,1.000,1.000,1.000,447,50,3,0.0274,0.6023,0.7271,0.3624
95000,615,0.4407,5751.8,471,443,141,31,20,122,31,30103,44911,56553,0,0,0,1.000,1.000,1.000,353,34,2,0.0101,0.9313,0.4934,0.4738
96000,651,0.4716,7172.9,542,426,167,58,14,154,58,28555,44716,57000,0,0,0,1.000,1.000,1.000,341,35,2,0.0041,1.0000,0.7776,0.3835
97000,981,0.4312,8168.9,445,565,274,142,27,203,128,27667,43913,56673,0,0,0,1.000,1.000,1.000,445,68,8,0.0076,0.9741,0.7961,0.3517
98000,1479,0.3624,11181.1,398,772,416,291,86,220,199,26260,41823,55047,0,0,0,1.000,1.000,1.000,589,111,2,0.0134,0.8003,0.7814,0.3375
99000,2086,0.3998,15571.8,373,943,693,450,130,269,218,24423,38594,52281,0,0,0,1.000,1.000,1.000,708,174,10,0.0365,0.5147,0.7337,0.2174
100000,2767,0.3889,20200.4,390,1138,869,760,181,245,258,21902,33851,47651,0,0,0,1.000,1.000,1.000,871,226,18,0.1436,0.2513,0.6666,0.1105
