step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees
210000,2,651,8.23,0.00,0.00,0.00,8.23,0.00,1.00,0.000,0.062,359914.9,3589.4,2,58,3.24,1.00,1.00,0.4220,6.15,4235.9,0.1791,34.9680,5461,25.6060,14
220000,0,675,8.34,0.01,0.00,0.00,8.33,0.00,1.00,0.000,0.064,361351.8,3577.6,1,48,3.25,1.00,1.00,0.4184,5.42,93404.3,0.0000,35.1051,5462,9.4387,12
220000,1,662,8.31,0.00,0.00,0.01,8.31,0.00,1.00,0.000,0.063,361245.5,3504.0,1,51,3.23,1.00,1.00,0.4121,6.65,38373.6,0.0097,35.0934,5461,17.4515,16
220000,2,678,8.32,0.00,0.00,0.00,8.32,0.00,1.00,0.000,0.064,360073.3,3580.4,1,66,3.23,1.00,1.00,0.4225,6.15,4276.7,0.1850,34.9890,5461,25.6118,16
230000,0,683,8.39,0.00,0.00,0.00,8.39,0.00,1.00,0.000,0.065,361586.1,3610.1,1,72,3.25,1.00,1.00,0.4215,7.30,93386.1,0.0000,35.1046,5462,9.4352,5
230000,1,690,8.32,0.01,0.00,0.00,8.31,0.00,1.00,0.000,0.066,361035.9,3644.1,2,60,3.28,1.00,1.00,0.4270,4.81,38389.0,0.0119,35.0801,5461,17.4452,6
230000,2,673,8.27,0.00,0.00,0.00,8.27,0.00,1.00,0.000,0.064,359817.3,3507.7,2,49,3.25,1.00,1.00,0.4103,8.18,4279.2,0.2302,34.9637,5461,25.6026,8
240000,0,656,8.24,0.00,0.00,0.00,8.24,0.00,1.00,0.000,0.062,361328.6,3672.5,2,55,3.25,1.00,1.00,0.4270,6.76,93419.3,0.0000,35.0842,5462,9.4359,3
240000,1,663,8.31,0.01,0.00,0.00,8.30,0.00,1.00,0.000,0.063,360959.8,3703.7,2,60,3.26,1.00,1.00,0.4326,9.18,38395.9,0.0091,35.0729,5461,17.4464,8
240000,2,680,8.21,0.00,0.00,0.00,8.21,0.00,1.00,0.000,0.064,360174.0,3611.0,2,73,3.21,1.00,1.00,0.4203,9.48,4250.6,0.1039,34.9951,5461,25.6043,10
250000,0,688,8.29,0.00,0.00,0.00,8.29,0.00,1.00,0.000,0.065,361008.4,3743.4,2,53,3.24,1.00,1.00,0.4353,3.78,93452.1,0.0000,35.0719,5462,9.4355,2
250000,1,662,8.17,0.00,0.00,0.00,8.17,0.00,1.00,0.000,0.062,360963.3,3664.5,2,43,3.28,1.00,1.00,0.4255,3.67,38394.2,0.0104,35.0742,5461,17.4458,10
250000,2,678,8.26,0.00,0.00,0.00,8.26,0.00,1.00,0.000,0.064,360249.9,3731.7,2,66,3.24,1.00,1.00,0.4318,6.90,4284.3,0.0913,34.9966,5461,25.6034,4
260000,0,677,8.35,0.00,0.00,0.00,8.35,0.00,1.00,0.000,0.065,361167.1,3685.1,2,61,3.22,1.00,1.00,0.4274,5.43,93464.2,0.0000,35.0770,5462,9.4378,8
260000,1,674,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.064,361033.1,3672.1,2,62,3.26,1.00,1.00,0.4242,5.65,38428.7,0.0102,35.0725,5461,17.4500,3
260000,2,681,8.32,0.00,0.00,0.00,8.31,0.00,1.00,0.000,0.065,360228.5,3625.8,2,62,3.22,1.00,1.00,0.4195,6.40,4299.3,0.0913,35.0114,5461,25.6095,8
270000,0,666,8.25,0.00,0.00,0.00,8.25,0.00,1.00,0.000,0.063,361209.3,3636.2,1,43,3.24,1.00,1.00,0.4196,4.15,93460.9,0.0000,35.0892,5462,9.4383,4
270000,1,670,8.32,0.00,0.00,0.01,8.32,0.00,1.00,0.000,0.064,361102.3,3659.3,1,58,3.25,1.00,1.00,0.4231,12.29,38432.9,0.0102,35.0750,5461,17.4509,6
270000,2,680,8.37,0.00,0.00,0.00,8.37,0.00,1.00,0.000,0.065,360378.8,3629.5,1,58,3.26,1.00,1.00,0.4215,7.18,4279.5,0.0940,35.0090,5461,25.6109,6
280000,0,659,8.31,0.00,0.00,0.00,8.31,0.00,1.00,0.000,0.063,361062.9,3751.8,1,66,3.22,1.00,1.00,0.4347,6.45,93478.3,0.0000,35.0777,5462,9.4338,10
280000,1,667,8.35,0.00,0.00,0.00,8.35,0.00,1.00,0.000,0.063,360752.8,3728.4,1,63,3.25,1.00,1.00,0.4314,5.55,38418.6,0.0104,35.0577,5461,17.4425,4
280000,2,657,8.19,0.00,0.00,0.00,8.19,0.00,1.00,0.000,0.062,359841.1,3596.5,1,70,3.24,1.00,1.00,0.4161,4.24,4255.0,0.0898,34.9918,5461,25.5986,5
290000,0,678,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.065,361011.8,3696.6,1,67,3.24,1.00,1.00,0.4272,6.31,93443.8,0.0000,35.0987,5462,9.4385,11
290000,1,677,8.29,0.00,0.00,0.00,8.29,0.00,1.00,0.000,0.064,360964.3,3719.6,1,56,3.25,1.00,1.00,0.4309,4.26,38428.6,0.0095,35.0823,5461,17.4512,4
290000,2,650,8.39,0.00,0.00,0.00,8.39,0.00,1.00,0.000,0.062,360008.2,3648.5,1,71,3.25,1.00,1.00,0.4230,7.89,4274.8,0.0989,34.9959,5461,25.6113,10
300000,0,669,8.42,0.01,0.00,0.00,8.41,0.00,1.00,0.000,0.064,361127.4,3612.0,1,60,3.28,1.00,1.00,0.4185,7.76,93464.0,0.0000,35.0872,5462,9.4384,5
300000,1,664,8.43,0.00,0.00,0.00,8.43,0.00,1.00,0.000,0.064,360969.0,3685.0,1,58,3.23,1.00,1.00,0.4275,3.61,38424.9,0.0112,35.0739,5461,17.4511,2
300000,2,653,8.37,0.01,0.00,0.00,8.37,0.00,1.00,0.000,0.063,360160.9,3702.1,1,54,3.25,1.00,1.00,0.4295,5.90,4276.9,0.0913,35.0142,5461,25.6113,7
310000,0,653,8.30,0.00,0.00,0.00,8.30,0.00,1.00,0.000,0.062,360895.7,3618.6,1,48,3.26,1.00,1.00,0.4187,5.51,93427.6,0.0000,35.0792,5462,9.4338,7
310000,1,676,8.22,0.00,0.00,0.00,8.22,0.00,1.00,0.000,0.063,360565.4,3620.5,1,66,3.22,1.00,1.00,0.4207,13.90,38403.3,0.0098,35.0565,5461,17.4425,13
310000,2,664,8.17,0.00,0.00,0.00,8.17,0.00,1.00,0.000,0.062,359700.0,3621.6,1,62,3.25,1.00,1.00,0.4180,3.63,4252.1,0.0851,34.9927,5461,25.5985,7
320000,0,665,8.26,0.00,0.00,0.00,8.26,0.00,1.00,0.000,0.063,360884.9,3565.5,1,60,3.28,1.00,1.00,0.4118,6.88,93415.0,0.0000,35.0767,5462,9.4328,11
320000,1,688,8.24,0.00,0.00,0.01,8.23,0.00,1.00,0.000,0.065,360886.4,3597.1,1,53,3.25,1.00,1.00,0.4151,5.21,38367.8,0.0102,35.0649,5461,17.4406,6
320000,2,663,8.27,0.00,0.00,0.00,8.27,0.00,1.00,0.000,0.063,359779.8,3679.1,1,68,3.26,1.00,1.00,0.4271,6.14,4231.2,0.0894,34.9740,5461,25.5958,9
330000,0,682,8.24,0.00,0.00,0.00,8.24,0.00,1.00,0.000,0.065,360789.5,3582.3,2,56,3.28,1.00,1.00,0.4149,9.43,93446.1,0.0000,35.0737,5462,9.4348,7
330000,1,670,8.28,0.00,0.00,0.00,8.28,0.00,1.00,0.000,0.063,360645.8,3582.4,2,50,3.26,1.00,1.00,0.4141,7.12,38410.5,0.0107,35.0603,5461,17.4444,5
330000,2,653,8.21,0.00,0.00,0.00,8.21,0.00,1.00,0.000,0.061,359841.5,3565.0,2,60,3.23,1.00,1.00,0.4115,3.56,4253.6,0.0872,34.9849,5461,25.6014,3
340000,0,667,8.28,0.00,0.00,0.00,8.28,0.00,1.00,0.000,0.064,361108.9,3635.7,2,59,3.25,1.00,1.00,0.4203,4.62,93438.4,0.0000,35.0862,5462,9.4353,4
340000,1,684,8.22,0.00,0.00,0.00,8.22,0.00,1.00,0.000,0.064,360691.2,3518.6,2,63,3.27,1.00,1.00,0.4056,3.92,38428.2,0.0101,35.0610,5461,17.4453,3
340000,2,667,8.33,0.00,0.00,0.00,8.33,0.00,1.00,0.000,0.064,359888.7,3531.7,2,61,3.26,1.00,1.00,0.4073,2.58,4260.1,0.0883,34.9832,5461,25.6027,3
350000,0,673,8.36,0.00,0.00,0.00,8.36,0.00,1.00,0.000,0.065,361018.4,3693.8,2,59,3.23,1.00,1.00,0.4277,6.18,93454.7,0.0000,35.0863,5462,9.4348,12
350000,1,675,8.31,0.00,0.00,0.00,8.31,0.00,1.00,0.000,0.064,360540.1,3563.0,2,55,3.23,1.00,1.00,0.4111,4.57,38448.1,0.0095,35.0463,5461,17.4443,5
350000,2,676,8.30,0.00,0.00,0.00,8.30,0.00,1.00,0.000,0.064,359678.7,3551.8,1,66,3.27,1.00,1.00,0.4101,4.12,4315.6,0.0868,34.9867,5461,25.6013,3
360000,0,687,8.40,0.00,0.00,0.00,8.40,0.00,1.00,0.000,0.066,360691.4,3636.9,2,66,3.25,1.00,1.00,0.4198,4.57,93474.3,0.0000,35.0592,5462,9.4282,4
360000,1,663,8.24,0.00,0.00,0.00,8.24,0.00,1.00,0.000,0.063,360417.9,3561.6,2,55,3.23,1.00,1.00,0.4102,5.90,38377.7,0.0102,35.0487,5461,17.4322,6
360000,2,667,8.38,0.00,0.00,0.00,8.38,0.00,1.00,0.000,0.064,359611.9,3577.5,2,57,3.29,1.00,1.00,0.4133,8.51,4252.6,0.0916,34.9563,5461,25.5834,10
370000,0,666,8.29,0.00,0.00,0.00,8.29,0.00,1.00,0.000,0.064,360596.1,3597.1,2,63,3.27,1.00,1.00,0.4158,4.99,93506.2,0.0000,35.0519,5462,9.4322,4
370000,1,683,8.26,0.00,0.00,0.00,8.26,0.00,1.00,0.000,0.064,360748.6,3605.8,2,56,3.26,1.00,1.00,0.4159,4.19,38436.0,0.0101,35.0655,5461,17.4395,3
370000,2,674,8.24,0.00,0.00,0.00,8.24,0.00,1.00,0.000,0.064,359850.2,3626.1,2,69,3.22,1.00,1.00,0.4190,4.41,4264.3,0.0915,34.9725,5461,25.5942,5
380000,0,653,8.24,0.00,0.00,0.00,8.24,0.00,1.00,0.000,0.062,360850.2,3529.7,2,55,3.22,1.00,1.00,0.4063,8.94,93451.3,0.0000,35.0608,5462,9.4351,8
380000,1,681,8.32,0.00,0.00,0.00,8.32,0.00,1.00,0.000,0.065,361018.9,3557.5,2,71,3.22,1.00,1.00,0.4104,5.30,38440.4,0.0096,35.0676,5461,17.4449,4
380000,2,667,8.22,0.00,0.00,0.00,8.22,0.00,1.00,0.000,0.063,360186.0,3531.3,2,66,3.25,1.00,1.00,0.4078,6.47,4285.3,0.0862,35.0008,5461,25.6022,5
390000,0,646,8.32,0.00,0.00,0.00,8.32,0.00,1.00,0.000,0.062,360770.9,3547.6,1,52,3.32,1.00,1.00,0.4084,3.65,93480.3,0.0000,35.0738,5462,9.4381,5
390000,1,678,8.29,0.00,0.00,0.00,8.29,0.00,1.00,0.000,0.064,360929.7,3569.8,1,51,3.27,1.00,1.00,0.4120,3.20,38412.5,0.0098,35.0777,5461,17.4505,8
390000,2,656,8.43,0.00,0.00,0.00,8.43,0.00,1.00,0.000,0.064,360285.7,3520.0,1,63,3.26,1.00,1.00,0.4037,6.93,4257.1,0.0877,35.0102,5461,25.6104,4
400000,0,666,8.39,0.00,0.00,0.00,8.39,0.00,1.00,0.000,0.065,361042.7,3570.1,2,54,3.20,1.00,1.00,0.4121,7.39,93479.5,0.0000,35.0854,5462,9.4400,3
400000,1,670,8.34,0.00,0.00,0.00,8.34,0.00,1.00,0.000,0.063,361212.0,3608.4,1,60,3.25,1.00,1.00,0.4159,3.57,38423.5,0.0105,35.0859,5461,17.4540,10
400000,2,674,8.30,0.00,0.00,0.00,8.30,0.00,1.00,0.000,0.064,360182.6,3537.3,1,53,3.28,1.00,1.00,0.4059,2.98,4246.5,0.0889,35.0099,5461,25.6155,5
410000,0,658,8.25,0.00,0.00,0.00,8.25,0.00,1.00,0.000,0.063,360607.0,3484.1,3,51,3.24,1.00,1.00,0.4000,6.43,93434.3,0.0000,35.0547,5462,9.4359,10
410000,1,664,8.37,0.00,0.00,0.00,8.37,0.00,1.00,0.000,0.063,360931.5,3674.5,2,71,3.26,1.00,1.00,0.4251,5.07,38387.5,0.0088,35.0817,5461,17.4464,5
410000,2,671,8.38,0.00,0.00,0.01,8.38,0.00,1.00,0.000,0.064,360233.1,3660.3,1,70,3.25,1.00,1.00,0.4238,5.74,4247.0,0.0885,35.0113,5461,25.6043,9
420000,0,660,8.32,0.00,0.00,0.00,8.32,0.00,1.00,0.000,0.063,360407.3,3582.6,3,59,3.27,1.00,1.00,0.4126,3.24,93478.7,0.0000,35.0444,5462,9.4345,3
420000,1,694,8.36,0.00,0.00,0.00,8.36,0.00,1.00,0.000,0.065,360732.3,3573.1,2,58,3.24,1.00,1.00,0.4118,2.97,38433.5,0.0102,35.0518,5461,17.4439,4
420000,2,664,8.28,0.00,0.01,0.00,8.28,0.00,1.00,0.000,0.064,360187.2,3596.8,2,60,3.25,1.00,1.00,0.4145,5.65,4289.2,0.0978,35.0130,5461,25.6007,7
430000,0,663,8.30,0.00,0.01,0.00,8.29,0.00,1.00,0.000,0.063,360718.0,3619.7,1,39,3.22,1.00,1.00,0.4188,4.28,93425.0,0.0000,35.0587,5462,9.4338,3
430000,1,662,8.38,0.00,0.00,0.00,8.38,0.00,1.00,0.000,0.064,360702.4,3548.4,2,54,3.29,1.00,1.00,0.4090,10.60,38398.5,0.0103,35.0541,5461,17.4426,11
430000,2,679,8.43,0.00,0.00,0.00,8.42,0.00,1.00,0.000,0.065,360241.0,3575.9,3,59,3.26,1.00,1.00,0.4102,4.00,4262.3,0.0925,35.0120,5461,25.5988,7
440000,0,666,8.29,0.00,0.00,0.00,8.29,0.00,1.00,0.000,0.064,360793.8,3554.8,1,64,3.21,1.00,1.00,0.4088,5.22,93439.4,0.0000,35.0739,5462,9.4384,4
440000,1,668,8.37,0.01,0.00,0.01,8.35,0.00,1.00,0.000,0.063,360762.4,3631.9,1,56,3.26,1.00,1.00,0.4193,6.04,38474.8,0.0098,35.0732,5461,17.4511,8
440000,2,660,8.29,0.00,0.00,0.00,8.29,0.00,1.00,0.000,0.063,360167.4,3656.2,1,44,3.25,1.00,1.00,0.4231,4.58,4286.7,0.0891,35.0097,5461,25.6112,3
