run,step,grown,kinds,top_lineage,top_share
light 14,86000,1014,7,859,0.2869822485207101
light 14,87000,1282,8,859,0.4290171606864275
light 14,88000,1346,7,859,0.37295690936106984
light 14,89000,1708,6,859,0.2728337236533958
light 14,90000,1664,8,859,0.31430288461538464
light 14,91000,1554,6,859,0.2882882882882883
light 14,92000,1544,7,859,0.3393782383419689
light 14,93000,1538,8,859,0.37711313394018203
light 14,94000,1793,7,859,0.29113218070273283
light 14,95000,2174,7,859,0.3224471021159154
light 14,96000,1889,7,859,0.31604023292747485
light 14,97000,1958,8,859,0.1807967313585291
light 14,98000,1899,8,859,0.2632964718272775
light 14,99000,2058,7,3246,0.25170068027210885
light 14,100000,1638,6,859,0.231990231990232
