run,way,from,to,censuses,steps,whole,share_max,share_min
control 10,plant / no tooth / stays / bottom,86000,90000,5,5000,0,0.1385836385836386,0.05093600348280366
control 10,plant / no tooth / stays / bottom,94000,100000,7,7000,0,0.1574874829312699,0.06496062992125984
control 10,plant / no tooth / stays / land,53000,56000,4,4000,0,0.10398706896551724,0.05149647887323944
control 10,plant / no tooth / stays / land,60000,60000,1,1000,0,0.07003891050583658,0.07003891050583658
control 10,plant / no tooth / stays / land,66000,66000,1,1000,0,0.06632064590542099,0.06632064590542099
control 10,plant / no tooth / stays / land,71000,73000,3,3000,0,0.11237959329290047,0.06581740976645435
control 10,plant / no tooth / stays / land,78000,78000,1,1000,0,0.07177033492822966,0.07177033492822966
control 10,plant / no tooth / stays / land,84000,85000,2,2000,0,0.06930693069306931,0.06246418338108883
control 10,plant / no tooth / stays / land,89000,92000,4,4000,0,0.07726763717805152,0.052752293577981654
control 10,plant / no tooth / stays / land,95000,97000,3,3000,0,0.08281389136242208,0.06827492034592626
control 10,mixed / no tooth / stays / land,78000,78000,1,1000,0,0.08293460925039872,0.08293460925039872
control 10,mixed / no tooth / stays / land,82000,83000,2,2000,0,0.11941747572815534,0.08623548922056384
control 10,flesh / no tooth / roams / shore,89000,89000,1,1000,0,0.053669724770642205,0.053669724770642205
control 10,flesh / no tooth / stays / bottom,59000,59000,1,1000,0,0.06512357787367595,0.06512357787367595
control 11,plant / no tooth / stays / shore,50000,78000,29,29000,0,0.28104575163398693,0.06998738965952081
control 11,plant / no tooth / stays / shore,80000,81000,2,2000,0,0.10077519379844961,0.07444168734491315
control 11,plant / no tooth / stays / shore,83000,100000,18,18000,0,0.16631430584918958,0.050440744368266406
control 11,mixed / no tooth / roams / bottom,50000,65000,16,16000,0,0.2132759680393362,0.055929570170895906
control 11,mixed / no tooth / roams / bottom,67000,70000,4,4000,0,0.08460365853658537,0.05548549810844893
control 11,mixed / no tooth / roams / bottom,76000,79000,4,4000,0,0.13056379821958458,0.055078125
control 11,mixed / no tooth / roams / bottom,87000,87000,1,1000,0,0.06074766355140187,0.06074766355140187
control 11,mixed / no tooth / roams / bottom,94000,95000,2,2000,0,0.06989473684210526,0.05098280098280098
control 11,mixed / no tooth / roams / bottom,97000,100000,4,4000,0,0.1432083589428396,0.09167604049493813
control 11,flesh / no tooth / roams / shore,64000,64000,1,1000,0,0.05126877265665458,0.05126877265665458
control 11,flesh / no tooth / roams / shore,77000,77000,1,1000,0,0.05546875,0.05546875
control 11,flesh / no tooth / roams / shore,89000,90000,2,2000,0,0.07286755250750107,0.051564310544611816
control 11,flesh / no tooth / roams / shore,92000,93000,2,2000,0,0.07708014293006636,0.05321683876092136
control 11,mixed / no tooth / stays / bottom,51000,64000,14,14000,0,0.1386651323360184,0.050700466977985324
control 11,mixed / no tooth / stays / bottom,66000,96000,31,31000,0,0.2601270849880858,0.054466230936819175
control 11,mixed / no tooth / stays / bottom,99000,99000,1,1000,0,0.06146281499692686,0.06146281499692686
control 11,mixed / no tooth / roams / shore,50000,100000,51,51000,1,0.24790419161676647,0.08193883439122908
control 11,plant / no tooth / stays / bottom,50000,62000,13,13000,0,0.18112074716477652,0.07077100115074798
control 11,plant / no tooth / stays / bottom,64000,67000,4,4000,0,0.09010875194199897,0.05485498108448928
control 11,plant / no tooth / stays / bottom,70000,70000,1,1000,0,0.05304878048780488,0.05304878048780488
control 11,plant / no tooth / stays / bottom,72000,72000,1,1000,0,0.07093425605536333,0.07093425605536333
control 11,plant / no tooth / stays / bottom,75000,100000,26,26000,0,0.22663358147229115,0.052825552825552825
control 11,flesh / no tooth / roams / bottom,92000,92000,1,1000,0,0.07656967840735068,0.07656967840735068
control 11,mixed / no tooth / stays / shore,50000,52000,3,3000,0,0.06912878787878787,0.05121638924455826
control 11,mixed / no tooth / stays / shore,58000,60000,3,3000,0,0.10352264557872035,0.06295694557270512
control 11,mixed / no tooth / stays / shore,62000,68000,7,7000,0,0.13262599469496023,0.06540583136327817
control 11,mixed / no tooth / stays / shore,70000,70000,1,1000,0,0.05,0.05
control 11,mixed / no tooth / stays / shore,79000,79000,1,1000,0,0.08693733451015004,0.08693733451015004
control 11,mixed / no tooth / stays / shore,83000,88000,6,6000,0,0.10167389956602604,0.05190989226248776
control 11,mixed / no tooth / stays / shore,91000,91000,1,1000,0,0.05876951331496786,0.05876951331496786
control 11,mixed / no tooth / stays / shore,96000,96000,1,1000,0,0.06978798586572438,0.06978798586572438
control 11,mixed / no tooth / stays / shore,99000,100000,2,2000,0,0.06060606060606061,0.05716041794714198
control 11,mixed / tooth / stays / land,55000,55000,1,1000,0,0.09554355165428764,0.09554355165428764
control 11,mixed / tooth / stays / land,63000,63000,1,1000,0,0.06314643440391943,0.06314643440391943
control 11,mixed / tooth / stays / land,73000,73000,1,1000,0,0.0739102969046115,0.0739102969046115
control 11,mixed / tooth / stays / land,86000,86000,1,1000,0,0.09694171956145413,0.09694171956145413
control 11,mixed / tooth / stays / land,94000,96000,3,3000,0,0.10933660933660934,0.08042105263157895
control 11,mixed / tooth / stays / land,99000,99000,1,1000,0,0.07744314689612784,0.07744314689612784
control 11,mixed / tooth / roams / land,50000,55000,6,6000,0,0.11789772727272728,0.06347062795408508
control 11,mixed / tooth / roams / land,57000,100000,44,44000,0,0.21941992433795712,0.06524184476940383
control 11,plant / no tooth / roams / surface,50000,51000,2,2000,0,0.06439393939393939,0.052496798975672214
control 11,plant / no tooth / roams / surface,61000,64000,4,4000,0,0.09580838323353294,0.05802469135802469
control 11,plant / no tooth / roams / surface,68000,76000,9,9000,0,0.1270878721859114,0.05337078651685393
control 11,plant / no tooth / roams / surface,84000,90000,7,7000,0,0.10747663551401869,0.05443634804972139
control 11,plant / no tooth / roams / surface,93000,100000,8,8000,0,0.10141364474492932,0.05052631578947368
control 11,mixed / tooth / stays / shore,71000,72000,2,2000,0,0.0853517877739331,0.056741573033707866
control 11,mixed / tooth / roams / shore,85000,85000,1,1000,0,0.05517668939863608,0.05517668939863608
control 11,mixed / tooth / roams / shore,88000,88000,1,1000,0,0.07134570765661252,0.07134570765661252
control 11,mixed / tooth / roams / shore,97000,100000,4,4000,0,0.11309157959434542,0.09341317365269461
control 11,plant / no tooth / roams / shore,58000,58000,1,1000,0,0.07961007311129163,0.07961007311129163
control 11,plant / no tooth / roams / shore,65000,65000,1,1000,0,0.05355648535564853,0.05355648535564853
control 11,plant / no tooth / roams / shore,67000,67000,1,1000,0,0.05296343001261034,0.05296343001261034
control 11,mixed / no tooth / stays / land,71000,72000,2,2000,0,0.104959630911188,0.08426966292134831
control 11,mixed / no tooth / stays / land,91000,91000,1,1000,0,0.05693296602387511,0.05693296602387511
control 11,plant / no tooth / stays / land,59000,59000,1,1000,0,0.05114449213161659,0.05114449213161659
control 11,plant / no tooth / stays / land,66000,66000,1,1000,0,0.05517241379310345,0.05517241379310345
control 11,plant / no tooth / stays / land,71000,71000,1,1000,0,0.06629213483146068,0.06629213483146068
control 11,plant / no tooth / stays / land,73000,73000,1,1000,0,0.09917877447883765,0.09917877447883765
control 11,plant / no tooth / stays / land,77000,77000,1,1000,0,0.09140625,0.09140625
control 11,plant / no tooth / stays / land,83000,85000,3,3000,0,0.13222882150672086,0.0750154990700558
control 11,plant / no tooth / stays / land,89000,91000,3,3000,0,0.11616161616161616,0.06300900128589798
control 11,plant / no tooth / stays / land,93000,94000,2,2000,0,0.07578947368421053,0.05480540111199365
control 11,plant / no tooth / stays / land,97000,97000,1,1000,0,0.1203599550056243,0.1203599550056243
control 12,plant / no tooth / stays / shore,50000,50000,1,1000,0,0.13435374149659865,0.13435374149659865
control 12,plant / no tooth / stays / shore,61000,61000,1,1000,0,0.052801724137931036,0.052801724137931036
control 12,plant / no tooth / stays / shore,68000,78000,11,11000,0,0.22968980797636632,0.05136138613861386
control 12,plant / no tooth / stays / shore,81000,100000,20,20000,0,0.12981859410430838,0.056346749226006194
control 12,mixed / no tooth / stays / shore,50000,51000,2,2000,0,0.10034013605442177,0.06980656013456686
control 12,mixed / no tooth / stays / shore,54000,55000,2,2000,0,0.141044776119403,0.08391070053887606
control 12,mixed / no tooth / stays / shore,59000,64000,6,6000,0,0.15061898211829436,0.06216505894962487
control 12,mixed / no tooth / stays / shore,66000,69000,4,4000,0,0.08755760368663594,0.05357142857142857
control 12,mixed / no tooth / stays / shore,71000,84000,14,14000,0,0.17889587700908455,0.05529225908372828
control 12,mixed / no tooth / stays / shore,86000,94000,9,9000,0,0.13415384615384615,0.05858585858585859
control 12,mixed / no tooth / stays / shore,96000,100000,5,5000,0,0.08793565683646112,0.05779770802192327
control 12,plant / no tooth / roams / shore,61000,63000,3,3000,0,0.09029345372460497,0.05818965517241379
control 12,plant / no tooth / roams / shore,93000,93000,1,1000,0,0.07799442896935933,0.07799442896935933
control 12,mixed / no tooth / stays / bottom,50000,70000,21,21000,0,0.2702702702702703,0.05639614855570839
control 12,mixed / no tooth / stays / bottom,72000,100000,29,29000,0,0.2565569861707201,0.0625
control 12,mixed / no tooth / roams / bottom,51000,51000,1,1000,0,0.05803195962994113,0.05803195962994113
control 12,mixed / no tooth / roams / bottom,57000,58000,2,2000,0,0.05992844364937388,0.05056669572798605
control 12,mixed / no tooth / roams / bottom,62000,62000,1,1000,0,0.05251875669882101,0.05251875669882101
control 12,mixed / no tooth / roams / bottom,68000,69000,2,2000,0,0.065284178187404,0.053406998158379376
control 12,mixed / no tooth / roams / bottom,72000,76000,5,5000,0,0.10057471264367816,0.05886075949367089
control 12,mixed / no tooth / roams / bottom,81000,81000,1,1000,0,0.0680379746835443,0.0680379746835443
control 12,mixed / no tooth / roams / bottom,83000,94000,12,12000,0,0.21616161616161617,0.06092307692307692
control 12,plant / no tooth / roams / surface,50000,70000,21,21000,0,0.2220353238015139,0.06837606837606838
control 12,plant / no tooth / roams / surface,73000,77000,5,5000,0,0.12629246676514033,0.07516147974163241
control 12,plant / no tooth / roams / surface,80000,82000,3,3000,0,0.07515822784810126,0.054502369668246446
control 12,plant / no tooth / roams / surface,86000,89000,4,4000,0,0.05454545454545454,0.05161290322580645
control 12,plant / no tooth / roams / surface,92000,92000,1,1000,0,0.06538461538461539,0.06538461538461539
control 12,plant / no tooth / roams / surface,94000,100000,7,7000,0,0.12618896639188332,0.055108359133126936
control 12,plant / no tooth / stays / bottom,50000,67000,18,18000,0,0.13180272108843538,0.05701078582434515
control 12,plant / no tooth / stays / bottom,69000,72000,4,4000,0,0.11308349769888232,0.05063291139240506
control 12,plant / no tooth / stays / bottom,74000,81000,8,8000,0,0.19427148194271482,0.051424050632911396
control 12,plant / no tooth / stays / bottom,83000,100000,18,18000,0,0.18535127055306427,0.055384615384615386
control 12,mixed / tooth / roams / land,50000,54000,5,5000,0,0.13180272108843538,0.06257242178447277
control 12,mixed / tooth / roams / land,57000,63000,7,7000,0,0.08184319119669876,0.05143853530950305
control 12,mixed / tooth / roams / land,65000,66000,2,2000,0,0.062196307094266275,0.0521978021978022
control 12,mixed / tooth / roams / land,69000,73000,5,5000,0,0.09204470742932282,0.054531490015360985
control 12,mixed / tooth / roams / land,76000,76000,1,1000,0,0.05747126436781609,0.05747126436781609
control 12,mixed / tooth / roams / land,78000,78000,1,1000,0,0.058787128712871284,0.058787128712871284
control 12,mixed / tooth / roams / land,82000,82000,1,1000,0,0.08056872037914692,0.08056872037914692
control 12,mixed / tooth / roams / land,95000,96000,2,2000,0,0.0718266253869969,0.05492115280043502
control 12,mixed / tooth / roams / land,98000,98000,1,1000,0,0.054958183990442055,0.054958183990442055
control 12,mixed / no tooth / stays / land,56000,56000,1,1000,0,0.05727699530516432,0.05727699530516432
control 12,mixed / no tooth / stays / land,58000,58000,1,1000,0,0.11180679785330948,0.11180679785330948
control 12,mixed / no tooth / stays / land,65000,65000,1,1000,0,0.05150631681243926,0.05150631681243926
control 12,mixed / no tooth / stays / land,68000,68000,1,1000,0,0.058011049723756904,0.058011049723756904
control 12,mixed / no tooth / stays / land,78000,78000,1,1000,0,0.08972772277227722,0.08972772277227722
control 12,plant / no tooth / stays / land,53000,53000,1,1000,0,0.261297798377752,0.261297798377752
control 12,plant / no tooth / stays / land,57000,57000,1,1000,0,0.05056669572798605,0.05056669572798605
control 12,plant / no tooth / stays / land,59000,59000,1,1000,0,0.11171032357473036,0.11171032357473036
control 12,plant / no tooth / stays / land,61000,62000,2,2000,0,0.15434083601286175,0.14331896551724138
control 12,plant / no tooth / stays / land,64000,68000,5,5000,0,0.09942481511914544,0.053979871912168347
control 12,plant / no tooth / stays / land,72000,72000,1,1000,0,0.05886075949367089,0.05886075949367089
control 12,plant / no tooth / stays / land,78000,79000,2,2000,0,0.12685643564356436,0.051681195516811954
control 12,plant / no tooth / stays / land,90000,90000,1,1000,0,0.07423117709437964,0.07423117709437964
control 12,mixed / tooth / stays / shore,52000,52000,1,1000,0,0.08514056224899598,0.08514056224899598
control 12,mixed / tooth / stays / shore,55000,56000,2,2000,0,0.13051643192488263,0.11085450346420324
control 12,mixed / tooth / stays / shore,58000,59000,2,2000,0,0.07155635062611806,0.05778120184899846
control 12,mixed / tooth / stays / shore,66000,71000,6,6000,0,0.15591397849462366,0.08698412698412698
control 12,mixed / tooth / stays / shore,73000,73000,1,1000,0,0.05501618122977346,0.05501618122977346
control 12,mixed / tooth / stays / shore,96000,98000,3,3000,0,0.1054921152800435,0.06404565630944832
control 12,mixed / tooth / roams / shore,54000,54000,1,1000,0,0.05149253731343283,0.05149253731343283
control 12,mixed / tooth / roams / shore,57000,65000,9,9000,0,0.10092449922958398,0.055304740406320545
control 12,mixed / tooth / roams / shore,67000,68000,2,2000,0,0.06353591160220995,0.05094494658997535
control 12,mixed / tooth / roams / shore,70000,87000,18,18000,0,0.18167456556082148,0.05096011816838995
control 12,mixed / tooth / roams / shore,90000,100000,11,11000,0,0.1931888544891641,0.06178375685102142
control 12,mixed / no tooth / roams / shore,51000,60000,10,10000,0,0.11924882629107982,0.05298570227081581
control 12,mixed / no tooth / roams / shore,63000,74000,12,12000,0,0.11962025316455696,0.052486187845303865
control 12,mixed / no tooth / roams / shore,79000,84000,6,6000,0,0.10149439601494396,0.05150214592274678
control 12,mixed / no tooth / roams / shore,86000,100000,15,15000,0,0.23270777479892762,0.06501677852348993
control 12,plant / no tooth / roams / bottom,92000,92000,1,1000,0,0.07076923076923076,0.07076923076923076
control 12,flesh / no tooth / roams / shore,65000,66000,2,2000,0,0.08163265306122448,0.061813186813186816
control 12,mixed / tooth / stays / land,59000,60000,2,2000,0,0.09476117103235747,0.054332874828060526
control 12,mixed / tooth / stays / land,84000,85000,2,2000,0,0.08108108108108109,0.05385329619312906
control 12,mixed / tooth / stays / land,91000,91000,1,1000,0,0.05328798185941043,0.05328798185941043
control 12,mixed / tooth / stays / land,95000,97000,3,3000,0,0.10875475802066341,0.05072923272035511
control 13,plant / no tooth / roams / bottom,52000,52000,1,1000,0,0.06568364611260054,0.06568364611260054
control 13,plant / no tooth / roams / bottom,57000,58000,2,2000,0,0.07627711686494051,0.056431535269709544
control 13,plant / no tooth / roams / bottom,63000,63000,1,1000,0,0.0568685376661743,0.0568685376661743
control 13,plant / no tooth / roams / bottom,69000,70000,2,2000,0,0.056363636363636366,0.05041436464088398
control 13,plant / no tooth / roams / bottom,93000,93000,1,1000,0,0.06354515050167224,0.06354515050167224
control 13,plant / no tooth / stays / land,51000,51000,1,1000,0,0.07190412782956059,0.07190412782956059
control 13,plant / no tooth / stays / land,57000,57000,1,1000,0,0.15325402379286215,0.15325402379286215
control 13,plant / no tooth / stays / land,59000,59000,1,1000,0,0.15768194070080863,0.15768194070080863
