step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift
100000,28.00,25,0,8,0,6,0,1.00,2,0.286,659,0.02,35.27,2.44,441,0,0,0,1.00,1.00,1.00,2,5,4,20.6,7.150,14,2.000,0.720,5,1.000,0,18.22,8.25
100000,72.00,36,0,27,0,9,0,1.00,0,0.375,654,7.81,74.82,17.23,447,1,1,0,1.00,1.00,1.00,6,6,6,25.6,45.707,36,2.000,0.677,6,1.000,0,43.25,28.25
100000,40.00,25,0,13,0,7,0,1.00,0,0.325,653,0.00,39.22,20.89,441,2,0,0,1.00,1.00,1.00,4,5,5,51.0,19.689,20,2.000,0.681,5,1.000,1,38.50,0.00
100000,26.00,36,0,11,0,2,0,1.00,0,0.423,648,0.00,66.45,11.61,447,2,0,0,1.00,1.00,1.00,3,6,6,41.4,15.121,13,2.000,0.677,6,1.000,0,10.50,0.00
100000,17.15,36,0,6,0,3,0,1.00,8,0.350,648,0.00,38.44,16.67,469,0,0,0,1.00,1.00,1.00,3,4,4,20.2,11.923,9,1.905,0.210,6,1.000,0,11.25,0.00
100000,18.00,16,0,5,0,4,0,1.00,0,0.278,644,1.25,25.60,14.95,441,0,0,0,1.00,1.00,1.00,3,4,4,17.5,16.061,9,2.000,0.891,4,1.000,0,10.49,-2.25
100000,173.97,144,0,32,0,55,0,1.00,6,0.184,641,-0.00,159.74,1.56,447,2,1,0,1.00,1.00,1.00,11,12,9,46.2,5.911,87,2.000,0.723,12,1.000,1,13.76,0.50
100000,34.00,25,0,13,0,4,0,1.00,0,0.382,640,0.00,29.54,53.30,441,2,0,0,1.00,1.00,1.00,3,5,5,43.8,19.283,17,2.000,0.541,5,1.000,0,25.29,1.50
100000,51.78,49,0,15,0,11,0,1.00,4,0.290,638,1.17,39.35,7.18,461,2,0,0,1.00,1.00,1.00,5,7,5,40.4,19.138,26,1.992,0.377,7,1.000,0,16.25,-16.25
100000,28.00,25,0,9,0,5,0,1.00,0,0.321,635,0.16,23.76,12.57,441,0,0,0,1.00,1.00,1.00,3,5,5,16.8,6.744,14,2.000,0.666,5,1.000,0,10.41,9.50
100000,32.00,36,0,11,0,5,0,1.00,8,0.344,634,0.00,15.21,88.80,447,1,0,0,1.00,1.00,1.00,4,4,4,32.7,2.820,16,2.000,0.677,6,1.000,0,21.04,-4.75
100000,50.00,25,0,14,0,11,0,1.00,0,0.280,633,1.66,39.94,13.52,441,2,1,0,1.00,1.00,1.00,4,5,5,41.8,19.394,25,2.000,0.679,5,1.000,0,8.25,-4.75
100000,16.00,36,0,4,0,4,0,1.00,8,0.250,632,0.00,44.50,19.83,441,1,0,0,1.00,1.00,1.00,2,2,6,26.4,15.429,8,2.000,0.635,6,1.000,0,12.43,6.25
100000,72.00,36,0,22,0,14,0,1.00,0,0.306,620,0.00,56.19,23.67,447,2,1,0,1.00,1.00,1.00,6,6,6,39.2,45.922,36,2.000,0.541,6,1.000,0,11.27,-0.75
100000,26.00,25,0,3,0,10,0,1.00,4,0.115,615,0.00,21.53,2.42,441,2,2,0,1.00,1.00,1.00,2,4,4,42.9,1.134,13,2.000,0.853,5,1.000,0,8.55,8.25
100000,50.00,25,0,18,0,7,0,1.00,0,0.360,606,0.00,16.23,153.89,447,1,1,0,1.00,1.00,1.00,4,5,5,33.0,20.837,25,2.000,0.623,5,1.000,0,9.17,8.25
100000,20.00,25,0,4,0,6,0,1.00,6,0.200,595,0.83,28.96,46.33,441,1,1,0,1.00,1.00,1.00,2,5,2,28.5,7.331,10,2.000,0.688,5,1.000,0,10.89,9.25
100000,81.95,49,0,21,0,20,0,1.00,0,0.256,582,0.00,55.44,17.42,471,1,1,0,1.00,1.00,1.00,6,7,7,33.2,29.867,41,1.999,0.670,7,1.000,0,1.80,1.00
100000,48.00,25,0,17,0,7,0,1.00,0,0.354,573,5.99,46.07,34.32,447,0,0,0,1.00,1.00,1.00,4,5,5,20.9,45.616,24,2.000,0.623,5,1.000,1,5.88,5.75
100000,64.00,25,7,14,0,4,4,2.45,0,0.219,571,0.00,2.92,28.56,447,2,2,4,3.80,1.00,2.50,4,5,5,44.2,8.298,25,2.000,0.487,5,1.000,0,2.50,2.00
100000,26.00,25,0,11,0,2,0,1.00,0,0.423,556,0.00,6.10,27.47,441,2,1,0,1.00,1.00,1.00,4,5,5,38.0,8.257,13,2.000,0.487,5,1.000,0,15.44,14.00
100000,31.99,49,0,5,0,11,0,1.00,4,0.156,554,0.49,52.23,3.40,441,1,2,0,1.00,1.00,1.00,4,7,5,35.1,17.691,16,2.000,0.660,7,1.000,0,14.25,0.00
100000,83.89,49,0,3,0,39,0,1.00,0,0.036,554,0.00,29.74,0.78,471,2,1,0,1.00,1.00,1.00,7,7,7,37.6,0.415,42,1.997,0.762,7,1.000,0,0.75,0.75
100000,22.00,25,0,8,0,3,0,1.00,2,0.364,552,1.87,42.62,2.45,441,0,2,0,1.00,1.00,1.00,3,5,4,17.1,25.666,11,2.000,0.669,5,1.000,0,31.86,4.75
