step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
91000,1165,0.4069,8190.9,231,348,535,282,42,53,65,36463,35821,36702,0,0,0,1.000,1.000,1.000,167,342,136,0.2214,0.1531,0.4570,0.0696
92000,506,0.4684,4160.1,326,168,163,175,24,26,32,38041,37765,35747,0,0,0,1.000,1.000,1.000,119,40,45,0.2392,0.1468,0.5319,0.0578
93000,1051,0.4015,8313.4,236,699,152,200,27,26,24,34109,39761,36698,0,0,0,1.000,1.000,1.000,418,23,19,0.1282,0.2705,0.4406,0.0720
94000,348,0.5575,3525.7,447,228,82,38,16,20,18,36845,43532,42077,0,0,0,1.000,1.000,1.000,101,32,2,0.1197,0.2983,0.4684,0.0974
95000,95,0.3579,1199.4,577,46,41,8,4,14,4,36598,44170,42513,0,0,0,1.000,1.000,1.000,19,2,1,0.0891,0.3178,0.4673,0.0865
96000,309,0.4854,2926.8,296,266,28,15,3,15,5,33376,45531,43696,0,0,0,1.000,1.000,1.000,186,3,0,0.0854,0.4276,0.5286,0.0968
97000,311,0.4309,3254.9,351,255,41,15,3,26,10,31772,44639,44531,0,0,0,1.000,1.000,1.000,138,30,9,0.1676,0.2418,0.6407,0.0867
98000,776,0.5309,7087.8,259,273,295,208,31,27,35,32057,42850,42810,0,0,0,1.000,1.000,1.000,196,76,92,0.1216,0.2460,0.5142,0.0968
99000,763,0.4535,7429.5,279,453,154,156,37,31,34,30963,45437,42508,0,0,0,1.000,1.000,1.000,260,73,75,0.1181,0.2857,0.4116,0.1134
100000,884,0.4830,8510.8,275,379,302,203,31,47,41,30318,44612,43713,0,0,0,1.000,1.000,1.000,175,247,133,0.1092,0.2676,0.3989,0.1250
